config,attack,seed,acc,f1
Full,lfp,42,89.53,65.47600000000001
Full,lfp,43,88.73999999999998,61.472
Full,lfp,44,86.42999999999998,49.598
-Outlier,lfp,42,88.92,62.46
-Outlier,lfp,43,88.54999999999998,60.548
-Outlier,lfp,44,86.34,49.096000000000004
-Trust,lfp,42,90.42999999999999,69.354
-Trust,lfp,43,89.15,63.396
-Trust,lfp,44,86.53,50.150000000000006
-Kappa,lfp,42,93.05999999999999,80.336
-Kappa,lfp,43,93.8,82.22399999999999
-Kappa,lfp,44,91.98999999999998,75.344
Full,grad-p,42,88.29,59.32000000000001
Full,grad-p,43,88.66,61.06
Full,grad-p,44,83.64,32.215999999999994
-Outlier,grad-p,42,86.99000000000001,52.962
-Outlier,grad-p,43,82.66,25.058
-Outlier,grad-p,44,82.47999999999999,23.800000000000004
-Trust,grad-p,42,87.17999999999999,53.674
-Trust,grad-p,43,87.58000000000001,55.652
-Trust,grad-p,44,83.75,33.012
-Kappa,grad-p,42,90.0,67.15799999999999
-Kappa,grad-p,43,89.55,65.216
-Kappa,grad-p,44,91.92999999999999,75.532
