config,attack,seed,acc,f1
Full,lfp,42,94.5,73.17
Full,lfp,43,94.47999999999999,72.77799999999999
Full,lfp,44,93.63000000000001,67.04400000000001
-Outlier,lfp,42,93.38999999999999,65.73
-Outlier,lfp,43,94.23000000000002,71.044
-Outlier,lfp,44,91.54,50.928
-Trust,lfp,42,94.45,72.85600000000001
-Trust,lfp,43,94.62,73.646
-Trust,lfp,44,93.41,65.518
-Kappa,lfp,42,95.75,81.12
-Kappa,lfp,43,96.91,87.00999999999999
-Kappa,lfp,44,95.41,78.912
Full,grad-p,42,91.26,48.386
Full,grad-p,43,92.44,58.6
Full,grad-p,44,92.45,58.422000000000004
-Outlier,grad-p,42,87.47999999999999,4.997999999999999
-Outlier,grad-p,43,88.35,17.034
-Outlier,grad-p,44,91.19,47.834
-Trust,grad-p,42,90.61999999999999,42.370000000000005
-Trust,grad-p,43,91.11999999999999,48.258
-Trust,grad-p,44,89.44000000000001,29.988
-Kappa,grad-p,42,92.37,59.160000000000004
-Kappa,grad-p,43,91.86999999999999,59.312
-Kappa,grad-p,44,91.86999999999999,53.64399999999999
