config,attack,seed,acc,f1
Full,lfp,42,98.50999999999999,95.75399999999999
Full,lfp,43,97.27000000000001,91.894
Full,lfp,44,98.85,96.78
-Outlier,lfp,42,98.16999999999999,94.738
-Outlier,lfp,43,97.63999999999999,93.068
-Outlier,lfp,44,98.71000000000001,96.34599999999999
-Trust,lfp,42,98.45,95.578
-Trust,lfp,43,97.41999999999999,92.372
-Trust,lfp,44,98.84,96.752
-Kappa,lfp,42,98.75,96.50399999999999
-Kappa,lfp,43,98.32000000000001,95.202
-Kappa,lfp,44,98.97,97.16400000000002
Full,grad-p,42,96.14,88.13600000000001
Full,grad-p,43,96.61999999999999,89.69800000000001
Full,grad-p,44,98.5,95.71399999999998
-Outlier,grad-p,42,96.03,87.72
-Outlier,grad-p,43,95.83,86.978
-Outlier,grad-p,44,93.94000000000001,79.876
-Trust,grad-p,42,95.57000000000001,86.112
-Trust,grad-p,43,95.21,84.664
-Trust,grad-p,44,98.12,94.572
-Kappa,grad-p,42,96.05,87.868
-Kappa,grad-p,43,96.64,89.77399999999999
-Kappa,grad-p,44,98.19000000000001,94.86200000000001
