attack,churn,seed,round,acc,f1
grad-p,0.0,42,0,19.65,24.23
grad-p,0.0,42,1,28.75,26.36
grad-p,0.0,42,2,54.05,34.59
grad-p,0.0,42,3,78.95,47.18
grad-p,0.0,42,4,84.15,50.08
grad-p,0.0,42,5,86.7,58.57
grad-p,0.0,42,6,87.1,53.26
grad-p,0.0,42,7,87.2,53.79
grad-p,0.0,42,8,89.5,52.27
grad-p,0.0,42,9,90.9,54.73
grad-p,0.0,42,10,91.35,54.11
grad-p,0.0,42,11,91.0,50.0
grad-p,0.0,42,12,90.05,38.39
grad-p,0.0,42,13,88.9,24.49
grad-p,0.0,42,14,89.0,25.68
grad-p,0.0,42,15,88.85,23.37
grad-p,0.0,42,16,88.45,18.37
grad-p,0.0,42,17,88.5,19.01
grad-p,0.0,42,18,89.4,29.8
grad-p,0.0,42,19,89.85,35.14
grad-p,0.0,42,20,89.3,28.67
grad-p,0.0,42,21,89.25,28.09
grad-p,0.0,42,22,89.4,29.8
grad-p,0.0,42,23,89.45,30.36
grad-p,0.0,42,24,89.15,26.94
grad-p,0.0,42,25,89.1,26.35
grad-p,0.0,42,26,89.35,29.24
grad-p,0.0,42,27,89.15,26.94
grad-p,0.0,42,28,89.95,35.78
grad-p,0.0,42,29,90.25,38.87
grad-p,0.0,42,30,89.95,35.78
grad-p,0.0,42,31,90.1,37.34
grad-p,0.0,42,32,91.05,46.57
grad-p,0.0,42,33,90.95,45.97
grad-p,0.0,42,34,92.25,57.3
grad-p,0.0,42,35,92.95,62.6
grad-p,0.0,42,36,92.8,61.5
grad-p,0.0,42,37,93.7,67.86
grad-p,0.0,42,38,93.4,65.98
grad-p,0.0,42,39,91.7,52.3
grad-p,0.0,42,40,91.95,54.39
grad-p,0.0,42,41,92.1,55.62
grad-p,0.0,42,42,91.9,53.98
grad-p,0.0,42,43,91.45,50.15
grad-p,0.0,42,44,91.4,49.71
grad-p,0.0,42,45,91.65,51.87
grad-p,0.0,42,46,91.8,53.14
grad-p,0.0,42,47,90.8,44.24
grad-p,0.0,42,48,91.05,46.57
grad-p,0.0,42,49,91.0,46.11
grad-p,0.0,43,0,86.0,39.91
grad-p,0.0,43,1,84.3,20.71
grad-p,0.0,43,2,75.6,20.52
grad-p,0.0,43,3,47.95,16.65
grad-p,0.0,43,4,37.1,13.0
grad-p,0.0,43,5,61.2,8.49
grad-p,0.0,43,6,78.05,3.52
grad-p,0.0,43,7,84.85,3.19
grad-p,0.0,43,8,84.0,12.57
grad-p,0.0,43,9,86.75,5.69
grad-p,0.0,43,10,86.8,22.35
grad-p,0.0,43,11,87.45,26.39
grad-p,0.0,43,12,88.35,38.2
grad-p,0.0,43,13,89.4,39.43
grad-p,0.0,43,14,89.6,33.33
grad-p,0.0,43,15,90.1,38.51
grad-p,0.0,43,16,89.3,29.14
grad-p,0.0,43,17,89.55,31.48
grad-p,0.0,43,18,88.8,22.76
grad-p,0.0,43,19,88.8,22.76
grad-p,0.0,43,20,90.15,39.38
grad-p,0.0,43,21,90.4,41.82
grad-p,0.0,43,22,89.8,34.62
grad-p,0.0,43,23,90.35,40.25
grad-p,0.0,43,24,90.7,43.64
grad-p,0.0,43,25,91.0,46.43
grad-p,0.0,43,26,89.85,34.73
grad-p,0.0,43,27,90.35,39.88
grad-p,0.0,43,28,89.7,33.12
grad-p,0.0,43,29,90.0,36.31
grad-p,0.0,43,30,90.6,42.33
grad-p,0.0,43,31,91.2,47.93
grad-p,0.0,43,32,91.9,54.24
grad-p,0.0,43,33,92.4,58.01
grad-p,0.0,43,34,91.6,51.45
grad-p,0.0,43,35,91.6,51.45
grad-p,0.0,43,36,91.8,53.14
grad-p,0.0,43,37,91.55,51.3
grad-p,0.0,43,38,92.1,56.11
grad-p,0.0,43,39,92.2,56.67
grad-p,0.0,43,40,92.75,61.13
grad-p,0.0,43,41,92.2,56.42
grad-p,0.0,43,42,91.9,53.98
grad-p,0.0,43,43,92.3,57.22
grad-p,0.0,43,44,92.45,58.4
grad-p,0.0,43,45,92.9,62.43
grad-p,0.0,43,46,92.5,59.24
grad-p,0.0,43,47,92.2,56.67
grad-p,0.0,43,48,92.4,58.24
grad-p,0.0,43,49,92.2,56.42
grad-p,0.0,44,0,49.6,30.19
grad-p,0.0,44,1,28.0,23.97
grad-p,0.0,44,2,18.85,23.41
grad-p,0.0,44,3,22.6,24.19
grad-p,0.0,44,4,34.9,26.94
grad-p,0.0,44,5,44.45,29.64
grad-p,0.0,44,6,61.65,35.82
grad-p,0.0,44,7,75.5,43.02
grad-p,0.0,44,8,81.1,46.61
grad-p,0.0,44,9,82.2,37.32
grad-p,0.0,44,10,88.6,35.96
grad-p,0.0,44,11,89.8,59.36
grad-p,0.0,44,12,92.35,66.95
grad-p,0.0,44,13,90.1,37.74
grad-p,0.0,44,14,90.3,39.75
grad-p,0.0,44,15,89.05,25.76
grad-p,0.0,44,16,88.7,21.53
grad-p,0.0,44,17,89.3,28.67
grad-p,0.0,44,18,89.45,30.36
grad-p,0.0,44,19,89.7,33.12
grad-p,0.0,44,20,92.25,57.06
grad-p,0.0,44,21,90.55,41.85
grad-p,0.0,44,22,90.85,44.71
grad-p,0.0,44,23,90.85,44.71
grad-p,0.0,44,24,91.45,50.15
grad-p,0.0,44,25,90.45,40.87
