method,seed,round,acc,f1
FedAvg,42,0,46.0,21.05
FedAvg,42,1,60.7,23.54
FedAvg,42,2,69.45,25.94
FedAvg,42,3,79.65,30.19
FedAvg,42,4,83.95,31.56
FedAvg,42,5,87.55,30.64
FedAvg,42,6,88.55,29.1
FedAvg,42,7,89.15,28.85
FedAvg,42,8,89.8,26.62
FedAvg,42,9,89.9,26.28
FedAvg,42,10,90.1,26.67
FedAvg,42,11,90.45,27.38
FedAvg,42,12,90.5,27.48
FedAvg,42,13,90.45,26.82
FedAvg,42,14,90.45,26.82
FedAvg,42,15,90.5,26.92
FedAvg,42,16,90.55,27.03
FedAvg,42,17,90.5,26.92
FedAvg,42,18,90.55,27.03
FedAvg,42,19,90.55,27.03
FedAvg,42,20,90.5,26.36
FedAvg,42,21,90.5,26.36
FedAvg,42,22,90.5,26.36
FedAvg,42,23,90.5,26.36
FedAvg,42,24,90.5,26.36
FedAvg,42,25,90.5,26.36
FedAvg,42,26,90.55,27.03
FedAvg,42,27,90.5,26.36
FedAvg,42,28,90.55,27.03
FedAvg,42,29,90.6,27.69
FedAvg,42,30,90.6,27.69
FedAvg,42,31,90.65,28.35
FedAvg,42,32,90.65,28.35
FedAvg,42,33,90.65,28.35
FedAvg,42,34,90.65,28.35
FedAvg,42,35,90.65,28.35
FedAvg,42,36,90.65,28.35
FedAvg,42,37,90.65,28.35
FedAvg,42,38,90.65,28.35
FedAvg,42,39,90.6,28.24
FedAvg,42,40,90.6,28.24
FedAvg,42,41,90.7,29.55
FedAvg,42,42,90.7,29.55
FedAvg,42,43,90.7,29.55
FedAvg,42,44,90.7,29.55
FedAvg,42,45,90.7,29.55
FedAvg,42,46,90.7,29.55
FedAvg,42,47,90.7,29.55
FedAvg,42,48,90.7,29.55
FedAvg,42,49,90.7,29.55
FedAvg,43,0,81.1,20.59
FedAvg,43,1,84.6,18.95
FedAvg,43,2,87.55,14.43
FedAvg,43,3,88.9,9.76
FedAvg,43,4,89.1,9.17
FedAvg,43,5,89.45,12.45
FedAvg,43,6,89.45,11.72
FedAvg,43,7,89.6,13.33
