method,seed,round,acc,f1
FedAvg,42,0,71.3,8.89
FedAvg,42,1,82.6,11.68
FedAvg,42,2,86.85,13.2
FedAvg,42,3,91.15,8.29
FedAvg,42,4,94.35,0.0
FedAvg,42,5,95.7,0.0
FedAvg,42,6,96.25,0.0
FedAvg,42,7,96.4,0.0
FedAvg,42,8,96.45,0.0
FedAvg,42,9,96.45,0.0
FedAvg,42,10,96.45,0.0
FedAvg,42,11,96.45,0.0
FedAvg,42,12,96.45,0.0
FedAvg,42,13,96.45,0.0
FedAvg,42,14,96.45,0.0
FedAvg,42,15,96.45,0.0
FedAvg,42,16,96.45,0.0
FedAvg,42,17,96.45,0.0
FedAvg,42,18,96.45,0.0
FedAvg,42,19,96.45,0.0
FedAvg,42,20,96.45,0.0
FedAvg,42,21,96.45,0.0
FedAvg,42,22,96.45,0.0
FedAvg,42,23,96.45,0.0
FedAvg,42,24,96.45,0.0
FedAvg,42,25,96.45,0.0
FedAvg,42,26,96.45,0.0
FedAvg,42,27,96.45,0.0
FedAvg,42,28,96.45,0.0
FedAvg,42,29,96.45,0.0
FedAvg,42,30,96.45,0.0
FedAvg,42,31,96.45,0.0
FedAvg,42,32,96.45,0.0
FedAvg,42,33,96.45,0.0
FedAvg,42,34,96.45,0.0
FedAvg,42,35,96.45,0.0
FedAvg,42,36,96.45,0.0
FedAvg,42,37,96.45,0.0
FedAvg,42,38,96.45,0.0
FedAvg,42,39,96.45,0.0
FedAvg,42,40,96.45,0.0
FedAvg,42,41,96.45,0.0
FedAvg,42,42,96.45,0.0
FedAvg,42,43,96.45,0.0
FedAvg,42,44,96.45,0.0
FedAvg,42,45,96.45,0.0
FedAvg,42,46,96.45,0.0
FedAvg,42,47,96.45,0.0
FedAvg,42,48,96.45,0.0
FedAvg,42,49,96.45,0.0
FedAvg,43,0,93.95,0.0
FedAvg,43,1,96.35,0.0
FedAvg,43,2,96.4,0.0
FedAvg,43,3,96.45,0.0
FedAvg,43,4,96.45,0.0
FedAvg,43,5,96.45,0.0
FedAvg,43,6,96.45,0.0
FedAvg,43,7,96.45,0.0
FedAvg,43,8,96.45,0.0
FedAvg,43,9,96.45,0.0
FedAvg,43,10,96.45,0.0
FedAvg,43,11,96.45,0.0
FedAvg,43,12,96.45,0.0
FedAvg,43,13,96.45,0.0
FedAvg,43,14,96.45,0.0
FedAvg,43,15,96.45,0.0
FedAvg,43,16,96.45,0.0
FedAvg,43,17,96.45,0.0
FedAvg,43,18,96.45,0.0
FedAvg,43,19,96.45,0.0
FedAvg,43,20,96.45,0.0
FedAvg,43,21,96.45,0.0
FedAvg,43,22,96.45,0.0
FedAvg,43,23,96.45,0.0
FedAvg,43,24,96.45,0.0
FedAvg,43,25,96.45,0.0
FedAvg,43,26,96.45,0.0
FedAvg,43,27,96.45,0.0
FedAvg,43,28,96.45,0.0
FedAvg,43,29,96.45,0.0
FedAvg,43,30,96.45,0.0
FedAvg,43,31,96.45,0.0
FedAvg,43,32,96.45,0.0
FedAvg,43,33,96.45,0.0
FedAvg,43,34,96.45,0.0
FedAvg,43,35,96.45,0.0
FedAvg,43,36,96.45,0.0
FedAvg,43,37,96.45,0.0
FedAvg,43,38,96.45,0.0
FedAvg,43,39,96.45,0.0
FedAvg,43,40,96.45,0.0
FedAvg,43,41,96.45,0.0
FedAvg,43,42,96.45,0.0
FedAvg,43,43,96.45,0.0
FedAvg,43,44,96.45,0.0
FedAvg,43,45,96.45,0.0
FedAvg,43,46,96.45,0.0
FedAvg,43,47,96.45,0.0
FedAvg,43,48,96.45,0.0
FedAvg,43,49,96.45,0.0
FedAvg,44,0,18.0,3.76
FedAvg,44,1,36.2,3.19
FedAvg,44,2,54.3,2.35
FedAvg,44,3,68.15,2.15
FedAvg,44,4,87.05,3.72
FedAvg,44,5,93.55,5.84
FedAvg,44,6,95.0,3.85
FedAvg,44,7,95.55,2.2
FedAvg,44,8,95.9,0.0
FedAvg,44,9,96.2,0.0
FedAvg,44,10,96.4,0.0
FedAvg,44,11,96.45,0.0
FedAvg,44,12,96.45,0.0
FedAvg,44,13,96.45,0.0
FedAvg,44,14,96.45,0.0
FedAvg,44,15,96.45,0.0
FedAvg,44,16,96.45,0.0
FedAvg,44,17,96.45,0.0
FedAvg,44,18,96.45,0.0
FedAvg,44,19,96.45,0.0
FedAvg,44,20,96.45,0.0
FedAvg,44,21,96.45,0.0
FedAvg,44,22,96.45,0.0
FedAvg,44,23,96.45,0.0
FedAvg,44,24,96.45,0.0
FedAvg,44,25,96.45,0.0
FedAvg,44,26,96.45,0.0
FedAvg,44,27,96.45,0.0
FedAvg,44,28,96.45,0.0
FedAvg,44,29,96.45,0.0
FedAvg,44,30,96.45,0.0
FedAvg,44,31,96.45,0.0
FedAvg,44,32,96.45,0.0
FedAvg,44,33,96.45,0.0
FedAvg,44,34,96.45,0.0
FedAvg,44,35,96.45,0.0
FedAvg,44,36,96.45,0.0
FedAvg,44,37,96.45,0.0
FedAvg,44,38,96.45,0.0
FedAvg,44,39,96.45,0.0
FedAvg,44,40,96.45,0.0
FedAvg,44,41,96.45,0.0
FedAvg,44,42,96.45,0.0
FedAvg,44,43,96.45,0.0
FedAvg,44,44,96.45,0.0
FedAvg,44,45,96.45,0.0
FedAvg,44,46,96.45,0.0
FedAvg,44,47,96.45,0.0
FedAvg,44,48,96.45,0.0
FedAvg,44,49,96.45,0.0
Multi-Krum,42,0,65.95,7.85
Multi-Krum,42,1,77.05,9.11
Multi-Krum,42,2,83.9,11.54
Multi-Krum,42,3,89.15,9.96
Multi-Krum,42,4,93.5,1.52
Multi-Krum,42,5,94.55,0.0
Multi-Krum,42,6,95.65,0.0
Multi-Krum,42,7,96.3,0.0
Multi-Krum,42,8,96.45,0.0
Multi-Krum,42,9,96.45,0.0
Multi-Krum,42,10,96.45,0.0
Multi-Krum,42,11,96.45,0.0
Multi-Krum,42,12,96.45,0.0
Multi-Krum,42,13,96.45,0.0
Multi-Krum,42,14,96.45,0.0
Multi-Krum,42,15,96.45,0.0
Multi-Krum,42,16,96.45,0.0
Multi-Krum,42,17,96.45,0.0
Multi-Krum,42,18,96.45,0.0
Multi-Krum,42,19,96.45,0.0
Multi-Krum,42,20,96.45,0.0
Multi-Krum,42,21,96.45,0.0
Multi-Krum,42,22,96.45,0.0
Multi-Krum,42,23,96.45,0.0
Multi-Krum,42,24,96.45,0.0
Multi-Krum,42,25,96.45,0.0
Multi-Krum,42,26,96.45,0.0
Multi-Krum,42,27,96.45,0.0
Multi-Krum,42,28,96.45,0.0
Multi-Krum,42,29,96.45,0.0
Multi-Krum,42,30,96.45,0.0
Multi-Krum,42,31,96.45,0.0
Multi-Krum,42,32,96.45,0.0
Multi-Krum,42,33,96.45,0.0
Multi-Krum,42,34,96.45,0.0
Multi-Krum,42,35,96.45,0.0
Multi-Krum,42,36,96.45,0.0
Multi-Krum,42,37,96.45,0.0
Multi-Krum,42,38,96.45,0.0
Multi-Krum,42,39,96.45,0.0
Multi-Krum,42,40,96.45,0.0
Multi-Krum,42,41,96.45,0.0
Multi-Krum,42,42,96.45,0.0
Multi-Krum,42,43,96.45,0.0
Multi-Krum,42,44,96.45,0.0
Multi-Krum,42,45,96.45,0.0
Multi-Krum,42,46,96.45,0.0
Multi-Krum,42,47,96.45,0.0
Multi-Krum,42,48,96.45,0.0
Multi-Krum,42,49,96.45,0.0
Multi-Krum,43,0,94.25,0.0
Multi-Krum,43,1,96.35,0.0
Multi-Krum,43,2,96.4,0.0
Multi-Krum,43,3,96.45,0.0
Multi-Krum,43,4,96.45,0.0
Multi-Krum,43,5,96.45,0.0
Multi-Krum,43,6,96.45,0.0
Multi-Krum,43,7,96.45,0.0
Multi-Krum,43,8,96.45,0.0
Multi-Krum,43,9,96.45,0.0
Multi-Krum,43,10,96.45,0.0
Multi-Krum,43,11,96.45,0.0
Multi-Krum,43,12,96.45,0.0
Multi-Krum,43,13,96.45,0.0
Multi-Krum,43,14,96.45,0.0
