method,seed,round,acc,f1
FedAvg,42,0,43.0,19.72
FedAvg,42,1,60.6,25.94
FedAvg,42,2,80.45,35.8
FedAvg,42,3,89.9,45.41
FedAvg,42,4,92.9,43.65
FedAvg,42,5,93.1,42.02
FedAvg,42,6,93.25,37.79
FedAvg,42,7,93.35,37.56
FedAvg,42,8,92.75,27.14
FedAvg,42,9,92.9,29.7
FedAvg,42,10,92.75,26.4
FedAvg,42,11,92.9,29.0
FedAvg,42,12,92.95,29.15
FedAvg,42,13,93.15,32.51
FedAvg,42,14,93.3,34.95
FedAvg,42,15,93.3,34.95
FedAvg,42,16,93.4,36.54
FedAvg,42,17,93.4,36.54
FedAvg,42,18,93.45,37.32
FedAvg,42,19,93.5,38.1
FedAvg,42,20,93.5,38.1
FedAvg,42,21,93.6,39.62
FedAvg,42,22,93.95,44.75
FedAvg,42,23,94.0,45.45
FedAvg,42,24,94.4,50.88
FedAvg,42,25,94.35,50.22
FedAvg,42,26,94.6,53.45
FedAvg,42,27,94.65,54.08
FedAvg,42,28,94.75,55.32
FedAvg,42,29,94.9,57.14
FedAvg,42,30,95.05,58.92
FedAvg,42,31,95.1,59.5
FedAvg,42,32,95.15,60.08
FedAvg,42,33,95.4,62.9
FedAvg,42,34,95.45,63.45
FedAvg,42,35,95.45,63.45
FedAvg,42,36,95.45,63.45
FedAvg,42,37,95.45,63.45
FedAvg,42,38,95.5,64.0
FedAvg,42,39,95.5,64.0
FedAvg,42,40,95.65,65.61
FedAvg,42,41,95.9,68.22
FedAvg,42,42,96.1,70.23
FedAvg,42,43,96.15,70.72
FedAvg,42,44,96.2,71.21
FedAvg,42,45,96.2,71.21
FedAvg,42,46,96.2,71.21
FedAvg,42,47,96.2,71.21
FedAvg,42,48,96.2,71.21
FedAvg,42,49,96.2,71.21
FedAvg,43,0,84.3,42.28
FedAvg,43,1,87.55,46.91
FedAvg,43,2,90.25,51.13
FedAvg,43,3,91.35,50.43
FedAvg,43,4,92.6,47.89
FedAvg,43,5,93.45,52.36
FedAvg,43,6,93.4,49.23
FedAvg,43,7,93.9,49.59
FedAvg,43,8,94.0,49.15
FedAvg,43,9,93.95,47.62
FedAvg,43,10,93.85,45.81
FedAvg,43,11,93.95,46.7
FedAvg,43,12,94.2,50.0
FedAvg,43,13,94.2,49.57
FedAvg,43,14,94.5,53.39
FedAvg,43,15,94.45,51.95
FedAvg,43,16,94.55,53.22
FedAvg,43,17,94.4,51.3
FedAvg,43,18,94.5,52.59
FedAvg,43,19,94.75,55.7
FedAvg,43,20,94.9,57.5
FedAvg,43,21,94.9,57.5
FedAvg,43,22,94.85,56.9
FedAvg,43,23,95.1,59.84
FedAvg,43,24,95.25,61.54
FedAvg,43,25,95.25,61.54
FedAvg,43,26,95.4,63.2
FedAvg,43,27,95.45,63.75
FedAvg,43,28,95.45,63.75
FedAvg,43,29,95.55,64.82
FedAvg,43,30,96.0,69.47
FedAvg,43,31,96.05,69.96
FedAvg,43,32,96.1,70.45
FedAvg,43,33,96.2,71.43
FedAvg,43,34,96.25,71.91
FedAvg,43,35,96.4,73.33
FedAvg,43,36,96.4,73.33
FedAvg,43,37,96.4,73.33
FedAvg,43,38,96.5,74.26
FedAvg,43,39,96.5,74.64
FedAvg,43,40,96.6,75.18
FedAvg,43,41,96.5,74.64
FedAvg,43,42,96.5,74.64
FedAvg,43,43,96.65,75.99
FedAvg,43,44,96.8,77.3
FedAvg,43,45,96.9,78.17
FedAvg,43,46,96.9,78.17
FedAvg,43,47,96.9,78.17
FedAvg,43,48,96.9,78.17
FedAvg,43,49,96.9,78.17
FedAvg,44,0,16.85,16.97
FedAvg,44,1,33.75,19.94
FedAvg,44,2,49.65,23.31
FedAvg,44,3,66.95,29.46
FedAvg,44,4,77.05,34.89
FedAvg,44,5,84.35,42.57
FedAvg,44,6,90.8,50.8
FedAvg,44,7,92.5,52.23
FedAvg,44,8,94.2,52.07
FedAvg,44,9,93.9,46.49
FedAvg,44,10,93.45,37.91
FedAvg,44,11,93.15,33.17
FedAvg,44,12,93.05,30.85
FedAvg,44,13,92.45,20.11
FedAvg,44,14,92.4,19.15
FedAvg,44,15,92.45,20.11
FedAvg,44,16,92.45,20.11
FedAvg,44,17,92.7,24.74
FedAvg,44,18,92.55,21.99
FedAvg,44,19,92.75,25.64
FedAvg,44,20,92.65,23.83
FedAvg,44,21,92.65,23.83
