method,seed,round,acc,f1
FedAvg,42,0,41.75,5.82
FedAvg,42,1,63.35,8.03
FedAvg,42,2,80.2,12.39
FedAvg,42,3,92.85,25.91
FedAvg,42,4,98.65,59.7
FedAvg,42,5,98.75,59.02
FedAvg,42,6,98.45,41.51
FedAvg,42,7,98.25,28.57
FedAvg,42,8,98.2,25.0
FedAvg,42,9,98.1,17.39
FedAvg,42,10,98.0,9.09
FedAvg,42,11,98.0,9.09
FedAvg,42,12,97.9,0.0
FedAvg,42,13,97.9,0.0
FedAvg,42,14,97.9,0.0
FedAvg,42,15,97.9,0.0
FedAvg,42,16,97.9,0.0
FedAvg,42,17,97.9,0.0
FedAvg,42,18,97.9,0.0
FedAvg,42,19,97.9,0.0
FedAvg,42,20,97.9,0.0
FedAvg,42,21,97.9,0.0
FedAvg,42,22,98.0,9.09
FedAvg,42,23,98.0,9.09
FedAvg,42,24,98.0,9.09
FedAvg,42,25,97.9,0.0
FedAvg,42,26,98.0,9.09
FedAvg,42,27,98.0,9.09
FedAvg,42,28,98.05,13.33
FedAvg,42,29,98.1,17.39
FedAvg,42,30,98.15,21.28
FedAvg,42,31,98.1,17.39
FedAvg,42,32,98.1,17.39
FedAvg,42,33,98.15,21.28
FedAvg,42,34,98.2,25.0
FedAvg,42,35,98.2,25.0
FedAvg,42,36,98.2,25.0
FedAvg,42,37,98.2,25.0
FedAvg,42,38,98.25,28.57
FedAvg,42,39,98.25,28.57
FedAvg,42,40,98.3,32.0
FedAvg,42,41,98.45,41.51
FedAvg,42,42,98.45,41.51
FedAvg,42,43,98.45,41.51
FedAvg,42,44,98.4,38.46
FedAvg,42,45,98.45,41.51
FedAvg,42,46,98.45,41.51
FedAvg,42,47,98.45,41.51
FedAvg,42,48,98.5,44.44
FedAvg,42,49,98.45,41.51
FedAvg,43,0,89.25,22.94
FedAvg,43,1,95.35,29.01
FedAvg,43,2,97.8,8.33
FedAvg,43,3,97.9,0.0
FedAvg,43,4,97.9,0.0
FedAvg,43,5,97.9,0.0
FedAvg,43,6,97.9,0.0
FedAvg,43,7,97.9,0.0
FedAvg,43,8,97.9,0.0
FedAvg,43,9,97.9,0.0
FedAvg,43,10,97.9,0.0
FedAvg,43,11,97.9,0.0
FedAvg,43,12,97.9,0.0
FedAvg,43,13,97.9,0.0
FedAvg,43,14,97.9,0.0
FedAvg,43,15,97.9,0.0
FedAvg,43,16,97.9,0.0
FedAvg,43,17,97.9,0.0
FedAvg,43,18,97.9,0.0
FedAvg,43,19,97.9,0.0
FedAvg,43,20,97.9,0.0
FedAvg,43,21,97.9,0.0
FedAvg,43,22,97.9,0.0
FedAvg,43,23,97.9,0.0
FedAvg,43,24,97.9,0.0
FedAvg,43,25,97.9,0.0
FedAvg,43,26,97.9,0.0
FedAvg,43,27,97.95,4.65
FedAvg,43,28,98.1,17.39
FedAvg,43,29,98.1,17.39
FedAvg,43,30,98.15,21.28
FedAvg,43,31,98.15,21.28
FedAvg,43,32,98.25,28.57
FedAvg,43,33,98.25,28.57
FedAvg,43,34,98.35,35.29
FedAvg,43,35,98.4,38.46
FedAvg,43,36,98.45,41.51
FedAvg,43,37,98.45,41.51
FedAvg,43,38,98.45,41.51
FedAvg,43,39,98.45,41.51
FedAvg,43,40,98.45,41.51
FedAvg,43,41,98.45,41.51
FedAvg,43,42,98.45,41.51
FedAvg,43,43,98.45,41.51
FedAvg,43,44,98.45,41.51
FedAvg,43,45,98.5,44.44
FedAvg,43,46,98.5,44.44
FedAvg,43,47,98.5,44.44
FedAvg,43,48,98.5,44.44
FedAvg,43,49,98.5,44.44
FedAvg,44,0,15.35,4.73
FedAvg,44,1,37.2,6.27
FedAvg,44,2,52.8,7.99
FedAvg,44,3,73.95,10.63
FedAvg,44,4,88.05,16.14
FedAvg,44,5,94.55,27.81
FedAvg,44,6,97.7,39.47
FedAvg,44,7,98.35,47.62
FedAvg,44,8,98.35,45.9
FedAvg,44,9,98.4,46.67
FedAvg,44,10,98.5,44.44
FedAvg,44,11,98.4,38.46
FedAvg,44,12,98.25,28.57
FedAvg,44,13,98.25,28.57
FedAvg,44,14,98.2,25.0
FedAvg,44,15,98.15,21.28
FedAvg,44,16,98.15,21.28
FedAvg,44,17,98.15,21.28
FedAvg,44,18,98.15,21.28
FedAvg,44,19,98.15,21.28
FedAvg,44,20,98.15,21.28
FedAvg,44,21,98.15,21.28
FedAvg,44,22,98.15,21.28
FedAvg,44,23,98.15,21.28
FedAvg,44,24,98.15,21.28
FedAvg,44,25,98.2,25.0
FedAvg,44,26,98.2,25.0
FedAvg,44,27,98.35,35.29
FedAvg,44,28,98.4,38.46
FedAvg,44,29,98.5,44.44
FedAvg,44,30,98.5,44.44
FedAvg,44,31,98.55,47.27
FedAvg,44,32,98.55,47.27
FedAvg,44,33,98.55,47.27
FedAvg,44,34,98.55,47.27
FedAvg,44,35,98.55,47.27
FedAvg,44,36,98.55,47.27
FedAvg,44,37,98.55,47.27
FedAvg,44,38,98.55,47.27
FedAvg,44,39,98.55,47.27
FedAvg,44,40,98.55,47.27
FedAvg,44,41,98.55,47.27
FedAvg,44,42,98.55,47.27
FedAvg,44,43,98.6,50.0
FedAvg,44,44,98.65,52.63
FedAvg,44,45,98.65,52.63
FedAvg,44,46,98.7,55.17
FedAvg,44,47,98.7,55.17
FedAvg,44,48,98.65,54.24
FedAvg,44,49,98.65,54.24
Multi-Krum,42,0,41.2,6.07
Multi-Krum,42,1,65.6,8.02
Multi-Krum,42,2,78.2,11.38
Multi-Krum,42,3,90.7,21.19
Multi-Krum,42,4,97.45,48.48
Multi-Krum,42,5,98.75,60.32
Multi-Krum,42,6,98.35,35.29
Multi-Krum,42,7,98.1,17.39
Multi-Krum,42,8,98.1,17.39
Multi-Krum,42,9,97.95,4.65
Multi-Krum,42,10,97.9,0.0
Multi-Krum,42,11,97.9,0.0
Multi-Krum,42,12,97.9,0.0
Multi-Krum,42,13,97.9,0.0
Multi-Krum,42,14,97.9,0.0
Multi-Krum,42,15,97.9,0.0
Multi-Krum,42,16,97.9,0.0
Multi-Krum,42,17,97.9,0.0
Multi-Krum,42,18,97.9,0.0
Multi-Krum,42,19,97.9,0.0
Multi-Krum,42,20,97.9,0.0
Multi-Krum,42,21,97.9,0.0
Multi-Krum,42,22,97.9,0.0
Multi-Krum,42,23,97.9,0.0
Multi-Krum,42,24,97.9,0.0
Multi-Krum,42,25,97.9,0.0
Multi-Krum,42,26,97.9,0.0
Multi-Krum,42,27,97.9,0.0
Multi-Krum,42,28,97.9,0.0
Multi-Krum,42,29,97.9,0.0
Multi-Krum,42,30,97.9,0.0
Multi-Krum,42,31,97.9,0.0
Multi-Krum,42,32,97.9,0.0
Multi-Krum,42,33,97.9,0.0
Multi-Krum,42,34,98.0,9.09
Multi-Krum,42,35,98.15,21.28
Multi-Krum,42,36,98.1,17.39
Multi-Krum,42,37,98.15,21.28
Multi-Krum,42,38,98.15,21.28
Multi-Krum,42,39,98.0,9.09
Multi-Krum,42,40,98.15,21.28
Multi-Krum,42,41,98.2,25.0
Multi-Krum,42,42,98.2,25.0
Multi-Krum,42,43,98.15,21.28
Multi-Krum,42,44,98.15,21.28
Multi-Krum,42,45,98.15,21.28
Multi-Krum,42,46,98.15,21.28
Multi-Krum,42,47,98.15,21.28
Multi-Krum,42,48,98.15,21.28
Multi-Krum,42,49,98.15,21.28
Multi-Krum,43,0,90.5,20.17
Multi-Krum,43,1,93.1,32.35
Multi-Krum,43,2,96.85,38.83
Multi-Krum,43,3,97.8,37.14
Multi-Krum,43,4,98.1,42.42
Multi-Krum,43,5,98.55,55.38
Multi-Krum,43,6,98.45,43.64
Multi-Krum,43,7,98.35,35.29
Multi-Krum,43,8,98.0,9.09
Multi-Krum,43,9,98.0,9.09
Multi-Krum,43,10,97.9,0.0
Multi-Krum,43,11,97.9,0.0
Multi-Krum,43,12,97.9,0.0
Multi-Krum,43,13,97.9,0.0
Multi-Krum,43,14,97.9,0.0
Multi-Krum,43,15,97.9,0.0
Multi-Krum,43,16,97.9,0.0
Multi-Krum,43,17,97.9,0.0
Multi-Krum,43,18,97.9,0.0
Multi-Krum,43,19,97.9,0.0
Multi-Krum,43,20,97.9,0.0
Multi-Krum,43,21,97.9,0.0
Multi-Krum,43,22,97.9,0.0
Multi-Krum,43,23,97.9,0.0
Multi-Krum,43,24,97.9,0.0
Multi-Krum,43,25,97.9,0.0
Multi-Krum,43,26,97.9,0.0
Multi-Krum,43,27,97.9,0.0
Multi-Krum,43,28,97.9,0.0
Multi-Krum,43,29,97.9,0.0
Multi-Krum,43,30,97.9,0.0
Multi-Krum,43,31,97.9,0.0
Multi-Krum,43,32,97.9,0.0
Multi-Krum,43,33,97.9,0.0
Multi-Krum,43,34,97.9,0.0
Multi-Krum,43,35,97.95,4.65
Multi-Krum,43,36,98.2,25.0
Multi-Krum,43,37,97.9,0.0
Multi-Krum,43,38,97.9,0.0
Multi-Krum,43,39,97.95,4.65
Multi-Krum,43,40,97.9,0.0
Multi-Krum,43,41,97.95,4.65
Multi-Krum,43,42,98.25,28.57
Multi-Krum,43,43,98.4,38.46
Multi-Krum,43,44,98.45,41.51
Multi-Krum,43,45,98.4,38.46
Multi-Krum,43,46,98.25,28.57
Multi-Krum,43,47,98.35,35.29
Multi-Krum,43,48,98.35,35.29
Multi-Krum,43,49,98.25,28.57
Multi-Krum,44,0,11.9,4.55
Multi-Krum,44,1,27.05,5.44
Multi-Krum,44,2,43.9,6.97
Multi-Krum,44,3,66.25,8.66
Multi-Krum,44,4,78.9,11.34
Multi-Krum,44,5,88.45,16.61
Multi-Krum,44,6,93.4,24.14
Multi-Krum,44,7,97.05,33.71
Multi-Krum,44,8,97.85,41.1
Multi-Krum,44,9,98.2,45.45
Multi-Krum,44,10,98.3,46.88
Multi-Krum,44,11,98.4,48.39
Multi-Krum,44,12,98.4,48.39
Multi-Krum,44,13,98.25,46.15
Multi-Krum,44,14,98.4,48.39
Multi-Krum,44,15,98.45,49.18
Multi-Krum,44,16,98.45,49.18
Multi-Krum,44,17,98.45,49.18
Multi-Krum,44,18,98.4,46.67
Multi-Krum,44,19,98.45,49.18
Multi-Krum,44,20,98.35,37.74
Multi-Krum,44,21,98.35,37.74
Multi-Krum,44,22,98.2,35.71
Multi-Krum,44,23,98.3,37.04
Multi-Krum,44,24,98.3,32.0
Multi-Krum,44,25,98.35,37.74
Multi-Krum,44,26,98.3,37.04
Multi-Krum,44,27,98.4,46.67
Multi-Krum,44,28,98.35,40.0
Multi-Krum,44,29,98.35,40.0
Multi-Krum,44,30,98.4,46.67
Multi-Krum,44,31,98.5,54.55
Multi-Krum,44,32,98.55,55.38
Multi-Krum,44,33,98.55,55.38
Multi-Krum,44,34,98.6,58.82
Multi-Krum,44,35,98.6,58.82
Multi-Krum,44,36,98.65,60.87
Multi-Krum,44,37,98.65,61.97
Multi-Krum,44,38,98.65,61.97
Multi-Krum,44,39,98.55,61.33
Multi-Krum,44,40,98.6,62.16
Multi-Krum,44,41,98.65,61.97
Multi-Krum,44,42,98.7,63.89
Multi-Krum,44,43,98.55,61.33
Multi-Krum,44,44,98.5,61.54
Multi-Krum,44,45,98.5,61.54
Multi-Krum,44,46,98.5,61.54
Multi-Krum,44,47,98.5,61.54
Multi-Krum,44,48,98.45,60.76
Multi-Krum,44,49,98.4,60.0
TrimmedMean,42,0,43.15,5.96
TrimmedMean,42,1,65.4,8.22
TrimmedMean,42,2,81.4,12.26
TrimmedMean,42,3,93.6,28.09
TrimmedMean,42,4,98.7,59.38
TrimmedMean,42,5,98.75,59.02
TrimmedMean,42,6,98.45,41.51
TrimmedMean,42,7,98.25,28.57
TrimmedMean,42,8,98.2,25.0
TrimmedMean,42,9,98.1,17.39
TrimmedMean,42,10,98.0,9.09
TrimmedMean,42,11,98.0,9.09
TrimmedMean,42,12,97.9,0.0
TrimmedMean,42,13,97.9,0.0
TrimmedMean,42,14,97.9,0.0
TrimmedMean,42,15,97.9,0.0
TrimmedMean,42,16,97.9,0.0
TrimmedMean,42,17,97.9,0.0
TrimmedMean,42,18,97.9,0.0
TrimmedMean,42,19,97.9,0.0
TrimmedMean,42,20,97.9,0.0
TrimmedMean,42,21,97.9,0.0
TrimmedMean,42,22,98.0,9.09
TrimmedMean,42,23,98.0,9.09
TrimmedMean,42,24,98.0,9.09
TrimmedMean,42,25,97.9,0.0
TrimmedMean,42,26,98.0,9.09
TrimmedMean,42,27,98.0,9.09
TrimmedMean,42,28,98.05,13.33
TrimmedMean,42,29,98.1,17.39
TrimmedMean,42,30,98.15,21.28
TrimmedMean,42,31,98.15,21.28
TrimmedMean,42,32,98.15,21.28
TrimmedMean,42,33,98.2,25.0
TrimmedMean,42,34,98.2,25.0
TrimmedMean,42,35,98.2,25.0
TrimmedMean,42,36,98.2,25.0
TrimmedMean,42,37,98.25,28.57
TrimmedMean,42,38,98.25,28.57
TrimmedMean,42,39,98.3,32.0
TrimmedMean,42,40,98.4,38.46
TrimmedMean,42,41,98.45,41.51
