dataset,method,final_acc,round@90%,round@85%,auc
NYC-Taxi,FedAvg,96.2,3,3,92.4
NYC-Taxi,TrimmedMean,96.3,3,3,92.5
NYC-Taxi,RFVIR,96.0,3,3,91.9
NYC-Taxi,Multi-Krum,95.9,3,2,93.1
NYC-Taxi,Bulyan,95.2,2,2,92.2
NYC-Taxi,FLAME,96.8,3,3,92.1
NYC-Taxi,Ours,95.6,3,3,91.9
Foursquare,FedAvg,90.7,4,5,88.2
Foursquare,TrimmedMean,90.7,4,5,88.2
Foursquare,RFVIR,90.5,4,5,87.6
Foursquare,Multi-Krum,90.5,5,5,87.3
Foursquare,Bulyan,90.5,5,6,87.3
Foursquare,FLAME,90.7,4,5,87.9
Foursquare,Ours,90.3,4,5,88.0
Yelp,FedAvg,98.5,3,3,95.9
Yelp,TrimmedMean,98.6,3,3,96.0
Yelp,RFVIR,97.9,3,3,95.5
Yelp,Multi-Krum,98.2,3,3,95.7
Yelp,Bulyan,98.3,3,3,95.5
Yelp,FLAME,98.6,3,3,96.5
Yelp,Ours,98.5,3,3,95.9
Geolife,FedAvg,96.5,2,2,95.3
Geolife,TrimmedMean,96.5,2,2,95.4
Geolife,RFVIR,96.5,2,2,95.3
Geolife,Multi-Krum,96.5,3,3,94.9
Geolife,Bulyan,96.5,3,2,95.1
Geolife,FLAME,96.5,2,1,95.6
Geolife,Ours,96.5,2,2,95.3
