attack,measure,AUC_mean,AUC_std
lfp,kappa,0.75,0.062
lfp,KL,0.012,0.009
lfp,KL_sym,0.012,0.009
lfp,Renyi_0.5,0.011,0.009
lfp,Renyi_2,0.013,0.01
lfp,Renyi_inf,0.043,0.038
spf,kappa,0.498,0.032
spf,KL,0.412,0.012
spf,KL_sym,0.397,0.026
spf,Renyi_0.5,0.409,0.014
spf,Renyi_2,0.425,0.018
spf,Renyi_inf,0.467,0.036
ooa,kappa,0.538,0.055
ooa,KL,0.469,0.03
ooa,KL_sym,0.49,0.025
ooa,Renyi_0.5,0.475,0.028
ooa,Renyi_2,0.469,0.039
ooa,Renyi_inf,0.48,0.054
grad-p,kappa,0.707,0.1
grad-p,KL,0.971,0.015
grad-p,KL_sym,0.994,0.011
grad-p,Renyi_0.5,0.986,0.011
grad-p,Renyi_2,0.96,0.016
grad-p,Renyi_inf,0.948,0.016
