attack,measure,AUC_mean,AUC_std,dataset
lfp,kappa,0.647,0.08,NYC
lfp,KL,0.003,0.008,NYC
lfp,KL_sym,0.001,0.003,NYC
lfp,Renyi_0.5,0.003,0.008,NYC
lfp,Renyi_2,0.005,0.009,NYC
lfp,Renyi_inf,0.031,0.036,NYC
spf,kappa,0.501,0.073,NYC
spf,KL,0.438,0.05,NYC
spf,KL_sym,0.408,0.048,NYC
spf,Renyi_0.5,0.426,0.049,NYC
spf,Renyi_2,0.442,0.048,NYC
spf,Renyi_inf,0.448,0.053,NYC
ooa,kappa,0.477,0.078,NYC
ooa,KL,0.501,0.042,NYC
ooa,KL_sym,0.523,0.053,NYC
ooa,Renyi_0.5,0.509,0.047,NYC
ooa,Renyi_2,0.499,0.04,NYC
ooa,Renyi_inf,0.495,0.042,NYC
grad-p,kappa,0.836,0.181,NYC
grad-p,KL,0.966,0.021,NYC
grad-p,KL_sym,0.979,0.018,NYC
grad-p,Renyi_0.5,0.971,0.019,NYC
grad-p,Renyi_2,0.963,0.022,NYC
grad-p,Renyi_inf,0.961,0.023,NYC
lfp,kappa,0.6,0.087,Foursquare
lfp,KL,0.007,0.009,Foursquare
lfp,KL_sym,0.001,0.001,Foursquare
lfp,Renyi_0.5,0.003,0.004,Foursquare
lfp,Renyi_2,0.011,0.013,Foursquare
lfp,Renyi_inf,0.038,0.037,Foursquare
spf,kappa,0.518,0.084,Foursquare
spf,KL,0.49,0.031,Foursquare
spf,KL_sym,0.449,0.048,Foursquare
spf,Renyi_0.5,0.477,0.034,Foursquare
spf,Renyi_2,0.496,0.034,Foursquare
spf,Renyi_inf,0.5,0.043,Foursquare
ooa,kappa,0.498,0.077,Foursquare
ooa,KL,0.534,0.035,Foursquare
ooa,KL_sym,0.525,0.047,Foursquare
ooa,Renyi_0.5,0.532,0.035,Foursquare
ooa,Renyi_2,0.532,0.04,Foursquare
ooa,Renyi_inf,0.533,0.051,Foursquare
grad-p,kappa,0.841,0.086,Foursquare
grad-p,KL,0.957,0.026,Foursquare
grad-p,KL_sym,0.988,0.009,Foursquare
grad-p,Renyi_0.5,0.967,0.021,Foursquare
grad-p,Renyi_2,0.948,0.031,Foursquare
grad-p,Renyi_inf,0.936,0.032,Foursquare
lfp,kappa,0.594,0.064,Yelp
lfp,KL,0.008,0.013,Yelp
lfp,KL_sym,0.001,0.001,Yelp
lfp,Renyi_0.5,0.001,0.001,Yelp
lfp,Renyi_2,0.022,0.023,Yelp
lfp,Renyi_inf,0.09,0.06,Yelp
spf,kappa,0.493,0.07,Yelp
spf,KL,0.441,0.043,Yelp
spf,KL_sym,0.344,0.049,Yelp
spf,Renyi_0.5,0.425,0.049,Yelp
spf,Renyi_2,0.468,0.039,Yelp
spf,Renyi_inf,0.487,0.034,Yelp
ooa,kappa,0.524,0.073,Yelp
ooa,KL,0.503,0.03,Yelp
ooa,KL_sym,0.486,0.065,Yelp
ooa,Renyi_0.5,0.494,0.039,Yelp
ooa,Renyi_2,0.508,0.025,Yelp
ooa,Renyi_inf,0.511,0.027,Yelp
grad-p,kappa,0.742,0.122,Yelp
grad-p,KL,0.979,0.012,Yelp
grad-p,KL_sym,0.994,0.007,Yelp
grad-p,Renyi_0.5,0.985,0.01,Yelp
grad-p,Renyi_2,0.975,0.014,Yelp
grad-p,Renyi_inf,0.97,0.016,Yelp
lfp,kappa,0.743,0.054,Geolife
lfp,KL,0.018,0.014,Geolife
lfp,KL_sym,0.012,0.007,Geolife
lfp,Renyi_0.5,0.012,0.008,Geolife
lfp,Renyi_2,0.027,0.026,Geolife
lfp,Renyi_inf,0.071,0.056,Geolife
spf,kappa,0.473,0.063,Geolife
spf,KL,0.441,0.046,Geolife
spf,KL_sym,0.402,0.021,Geolife
spf,Renyi_0.5,0.43,0.033,Geolife
spf,Renyi_2,0.451,0.048,Geolife
spf,Renyi_inf,0.473,0.047,Geolife
ooa,kappa,0.503,0.079,Geolife
ooa,KL,0.496,0.048,Geolife
ooa,KL_sym,0.491,0.025,Geolife
ooa,Renyi_0.5,0.496,0.043,Geolife
ooa,Renyi_2,0.496,0.048,Geolife
ooa,Renyi_inf,0.488,0.052,Geolife
grad-p,kappa,0.718,0.081,Geolife
grad-p,KL,0.965,0.023,Geolife
grad-p,KL_sym,0.993,0.011,Geolife
grad-p,Renyi_0.5,0.981,0.017,Geolife
grad-p,Renyi_2,0.953,0.024,Geolife
grad-p,Renyi_inf,0.939,0.026,Geolife
