attack,measure,AUC_mean,AUC_std
lfp,kappa,0.6,0.087
lfp,KL,0.007,0.009
lfp,KL_sym,0.001,0.001
lfp,Renyi_0.5,0.003,0.004
lfp,Renyi_2,0.011,0.013
lfp,Renyi_inf,0.038,0.037
spf,kappa,0.518,0.084
spf,KL,0.49,0.031
spf,KL_sym,0.449,0.048
spf,Renyi_0.5,0.477,0.034
spf,Renyi_2,0.496,0.034
spf,Renyi_inf,0.5,0.043
ooa,kappa,0.498,0.077
ooa,KL,0.534,0.035
ooa,KL_sym,0.525,0.047
ooa,Renyi_0.5,0.532,0.035
ooa,Renyi_2,0.532,0.04
ooa,Renyi_inf,0.533,0.051
grad-p,kappa,0.841,0.086
grad-p,KL,0.957,0.026
grad-p,KL_sym,0.988,0.009
grad-p,Renyi_0.5,0.967,0.021
grad-p,Renyi_2,0.948,0.031
grad-p,Renyi_inf,0.936,0.032
