method,round,acc,f1
FedAvg,0,71.3,8.89
FedAvg,1,82.6,11.68
FedAvg,2,86.85,13.2
FedAvg,3,91.15,8.29
FedAvg,4,94.35,0.0
FedAvg,5,95.7,0.0
FedAvg,6,96.25,0.0
FedAvg,7,96.4,0.0
FedAvg,8,96.45,0.0
FedAvg,9,96.45,0.0
FedAvg,10,96.45,0.0
FedAvg,11,96.45,0.0
FedAvg,12,96.45,0.0
FedAvg,13,96.45,0.0
FedAvg,14,96.45,0.0
FedAvg,15,96.45,0.0
FedAvg,16,96.45,0.0
FedAvg,17,96.45,0.0
FedAvg,18,96.45,0.0
FedAvg,19,96.45,0.0
FedAvg,20,96.45,0.0
FedAvg,21,96.45,0.0
FedAvg,22,96.45,0.0
FedAvg,23,96.45,0.0
FedAvg,24,96.45,0.0
FedAvg,25,96.45,0.0
FedAvg,26,96.45,0.0
FedAvg,27,96.45,0.0
FedAvg,28,96.45,0.0
FedAvg,29,96.45,0.0
FedAvg,30,96.45,0.0
FedAvg,31,96.45,0.0
FedAvg,32,96.45,0.0
FedAvg,33,96.45,0.0
FedAvg,34,96.45,0.0
FedAvg,35,96.45,0.0
FedAvg,36,96.45,0.0
FedAvg,37,96.45,0.0
FedAvg,38,96.45,0.0
FedAvg,39,96.45,0.0
FedAvg,40,96.45,0.0
FedAvg,41,96.45,0.0
FedAvg,42,96.45,0.0
FedAvg,43,96.45,0.0
FedAvg,44,96.45,0.0
FedAvg,45,96.45,0.0
FedAvg,46,96.45,0.0
FedAvg,47,96.45,0.0
FedAvg,48,96.45,0.0
FedAvg,49,96.45,0.0
Multi-Krum,0,65.95,7.85
Multi-Krum,1,77.05,9.11
Multi-Krum,2,83.9,11.54
Multi-Krum,3,89.15,9.96
Multi-Krum,4,93.5,1.52
Multi-Krum,5,94.55,0.0
Multi-Krum,6,95.65,0.0
Multi-Krum,7,96.3,0.0
Multi-Krum,8,96.45,0.0
Multi-Krum,9,96.45,0.0
Multi-Krum,10,96.45,0.0
Multi-Krum,11,96.45,0.0
Multi-Krum,12,96.45,0.0
Multi-Krum,13,96.45,0.0
Multi-Krum,14,96.45,0.0
Multi-Krum,15,96.45,0.0
Multi-Krum,16,96.45,0.0
Multi-Krum,17,96.45,0.0
Multi-Krum,18,96.45,0.0
Multi-Krum,19,96.45,0.0
Multi-Krum,20,96.45,0.0
Multi-Krum,21,96.45,0.0
Multi-Krum,22,96.45,0.0
Multi-Krum,23,96.45,0.0
Multi-Krum,24,96.45,0.0
Multi-Krum,25,96.45,0.0
Multi-Krum,26,96.45,0.0
Multi-Krum,27,96.45,0.0
Multi-Krum,28,96.45,0.0
Multi-Krum,29,96.45,0.0
Multi-Krum,30,96.45,0.0
Multi-Krum,31,96.45,0.0
Multi-Krum,32,96.45,0.0
Multi-Krum,33,96.45,0.0
Multi-Krum,34,96.45,0.0
Multi-Krum,35,96.45,0.0
Multi-Krum,36,96.45,0.0
Multi-Krum,37,96.45,0.0
Multi-Krum,38,96.45,0.0
Multi-Krum,39,96.45,0.0
Multi-Krum,40,96.45,0.0
Multi-Krum,41,96.45,0.0
Multi-Krum,42,96.45,0.0
Multi-Krum,43,96.45,0.0
Multi-Krum,44,96.45,0.0
Multi-Krum,45,96.45,0.0
Multi-Krum,46,96.45,0.0
Multi-Krum,47,96.45,0.0
Multi-Krum,48,96.45,0.0
Multi-Krum,49,96.45,0.0
TrimmedMean,0,71.9,9.06
TrimmedMean,1,83.1,11.52
TrimmedMean,2,87.3,13.61
TrimmedMean,3,91.55,5.59
TrimmedMean,4,94.65,0.0
TrimmedMean,5,95.7,0.0
TrimmedMean,6,96.3,0.0
TrimmedMean,7,96.45,0.0
TrimmedMean,8,96.45,0.0
TrimmedMean,9,96.45,0.0
TrimmedMean,10,96.45,0.0
TrimmedMean,11,96.45,0.0
TrimmedMean,12,96.45,0.0
TrimmedMean,13,96.45,0.0
TrimmedMean,14,96.45,0.0
TrimmedMean,15,96.45,0.0
TrimmedMean,16,96.45,0.0
TrimmedMean,17,96.45,0.0
TrimmedMean,18,96.45,0.0
TrimmedMean,19,96.45,0.0
TrimmedMean,20,96.45,0.0
TrimmedMean,21,96.45,0.0
TrimmedMean,22,96.45,0.0
TrimmedMean,23,96.45,0.0
