attack,measure,AUC_mean,AUC_std
lfp,kappa,0.743,0.054
lfp,KL,0.018,0.014
lfp,KL_sym,0.012,0.007
lfp,Renyi_0.5,0.012,0.008
lfp,Renyi_2,0.027,0.026
lfp,Renyi_inf,0.071,0.056
spf,kappa,0.473,0.063
spf,KL,0.441,0.046
spf,KL_sym,0.402,0.021
spf,Renyi_0.5,0.43,0.033
spf,Renyi_2,0.451,0.048
spf,Renyi_inf,0.473,0.047
ooa,kappa,0.503,0.079
ooa,KL,0.496,0.048
ooa,KL_sym,0.491,0.025
ooa,Renyi_0.5,0.496,0.043
ooa,Renyi_2,0.496,0.048
ooa,Renyi_inf,0.488,0.052
grad-p,kappa,0.718,0.081
grad-p,KL,0.965,0.023
grad-p,KL_sym,0.993,0.011
grad-p,Renyi_0.5,0.981,0.017
grad-p,Renyi_2,0.953,0.024
grad-p,Renyi_inf,0.939,0.026
