attack,fraud_rate,seed,kappa_gap,byz_k,ben_k
grad-p,0.05,42,0.06874999999999999,0.05,0.11875
grad-p,0.05,43,0.5384267855046245,-0.0164768040822882,0.5219499814223363
grad-p,0.05,44,0.4127482673688773,-0.005987942752198952,0.4067603246166784
grad-p,0.05,45,0.16716162946172994,-0.006025215805859313,0.16113641365587061
grad-p,0.05,46,0.0740903926470082,-0.003583452869403808,0.07050693977760439
spf,0.05,42,-0.0019347872376537234,0.4199134703368353,0.41797868309918157
spf,0.05,43,-0.07274589527832159,0.5219403416083359,0.4491944463300143
spf,0.05,44,0.02622148177631667,0.6881871448120569,0.7144086265883736
spf,0.05,45,-0.0030696205311820657,0.1946840190711013,0.19161439853991924
spf,0.05,46,-0.049382454354278016,0.4724298877728411,0.4230474334185631
lfp,0.05,42,0.09566595287083268,0.28095369948528603,0.3766196523561187
lfp,0.05,43,0.08801492367591457,0.3515164887199041,0.43953141239581867
lfp,0.05,44,0.14725209539157025,0.5648885658348461,0.7121406612264164
lfp,0.05,45,-0.0054796823323080834,0.21460766302528023,0.20912798069297214
lfp,0.05,46,0.06172275902253799,0.2980567976629761,0.3597795566855141
ooa,0.05,42,-0.0379514890416589,0.4884700992349586,0.4505186101932997
ooa,0.05,43,-0.10053491293891925,0.5794273663489522,0.47889245341003295
ooa,0.05,44,-0.0804718983451016,0.7977065233010725,0.7172346249559709
ooa,0.05,45,-0.10857262551872213,0.32810068006418575,0.21952805454546362
ooa,0.05,46,-0.15030321962205018,0.5674053659721581,0.4171021463501079
grad-p,0.1,42,0.5282574154016535,0.0393124650268624,0.5675698804285159
grad-p,0.1,43,0.1192984911752009,0.008086023969896116,0.12738451514509702
grad-p,0.1,44,0.7291285150178186,0.012821732946267678,0.7419502479640863
grad-p,0.1,45,0.23290134238594393,0.006557694631340222,0.23945903701728416
grad-p,0.1,46,0.2550801830478596,-0.022549438828971886,0.23253074421888772
spf,0.1,42,0.03713136390094718,0.6519433207723463,0.6890746846732935
spf,0.1,43,0.1589401780859221,0.5768156631755509,0.735755841261473
spf,0.1,44,0.04594576711763587,0.7487281567905903,0.7946739239082262
spf,0.1,45,0.15666275884442682,0.47134865780859003,0.6280114166530169
spf,0.1,46,-0.12453492275903877,0.7324864993215057,0.6079515765624669
lfp,0.1,42,0.21963457121114494,0.4496447722072481,0.669279343418393
lfp,0.1,43,0.1607315706582726,0.5658523802673098,0.7265839509255824
lfp,0.1,44,0.35154129136114476,0.4247338596327682,0.776275150993913
lfp,0.1,45,0.19012324694715904,0.38689182349558954,0.5770150704427486
lfp,0.1,46,0.038139061718879375,0.5533456379852065,0.5914846997040859
ooa,0.1,42,-0.07259444005327709,0.7441463839361109,0.6715519438828338
ooa,0.1,43,0.08199198732822688,0.6336753796822098,0.7156673670104367
ooa,0.1,44,0.05087070663315629,0.7583229690198505,0.8091936756530068
ooa,0.1,45,0.06892824863737335,0.563682528475957,0.6326107771133304
ooa,0.1,46,-0.1165187022312506,0.757572313418249,0.6410536111869984
grad-p,0.15,42,0.46244011121751905,-0.021557388071147484,0.44088272314637156
grad-p,0.15,43,0.4439974938183762,0.03655035460212277,0.48054784842049897
grad-p,0.15,44,0.32211538287134633,0.017480007997146725,0.33959539086849305
grad-p,0.15,45,0.694950706632364,-0.029901981579715787,0.6650487250526482
grad-p,0.15,46,0.16674609427690132,0.007781198248664712,0.17452729252556604
spf,0.15,42,0.032209578628189295,0.5894708770786041,0.6216804557067934
spf,0.15,43,0.01810615462513343,0.7952084348859605,0.8133145895110939
spf,0.15,44,-0.10098372455477733,0.7895058301604043,0.688522105605627
spf,0.15,45,0.012921503793889011,0.6466218972908014,0.6595434010846905
spf,0.15,46,0.0024321171978475276,0.6876218635474157,0.6900539807452633
lfp,0.15,42,0.1656014430113839,0.4402200452495938,0.6058214882609777
lfp,0.15,43,0.18331137077413862,0.6014931481245951,0.7848045188987337
lfp,0.15,44,0.1397533428440193,0.5449977338494948,0.6847510766935141
lfp,0.15,45,0.09043762790377785,0.5330439420902391,0.6234815699940169
lfp,0.15,46,0.0990254655126922,0.5842074026919586,0.6832328682046508
ooa,0.15,42,-0.01993824647729403,0.648242296083542,0.628304049606248
ooa,0.15,43,0.04090705829506247,0.7736314024340191,0.8145384607290815
ooa,0.15,44,-0.11557744040872109,0.8175868978634412,0.7020094574547201
ooa,0.15,45,-0.08382227049905644,0.7608542362089862,0.6770319657099297
ooa,0.15,46,-0.049463813655379996,0.7424536850949294,0.6929898714395494
grad-p,0.2,42,0.7475381018182743,-0.009300510181725983,0.7382375916365483
grad-p,0.2,43,0.1129808566699819,-0.007215028702155735,0.10576582796782616
grad-p,0.2,44,0.6692327694584478,-0.044752691393491625,0.6244800780649562
grad-p,0.2,45,0.5511194401529269,0.017214708291450338,0.5683341484443772
grad-p,0.2,46,0.11836348568891471,-0.0047191383092786005,0.11364434737963611
spf,0.2,42,-0.06341236605841194,0.8401809833879283,0.7767686173295164
spf,0.2,43,-0.12446458312292319,0.8163118902760328,0.6918473071531096
spf,0.2,44,0.11470054506960481,0.6306874228341242,0.745387967903729
spf,0.2,45,0.050586894547786865,0.6851637875877808,0.7357506821355677
spf,0.2,46,0.020650454623192926,0.7534467145483368,0.7740971691715297
lfp,0.2,42,0.1116004384869872,0.6498683812081875,0.7614688196951747
lfp,0.2,43,0.10410409541455878,0.5573499566196173,0.6614540520341761
lfp,0.2,44,0.2235296267139899,0.5113530672090956,0.7348826939230855
lfp,0.2,45,0.25680077130455886,0.43670800405583937,0.6935087753603982
lfp,0.2,46,0.14668297825243348,0.6213370758694292,0.7680200541218627
ooa,0.2,42,-0.0795222959058185,0.8605940032974676,0.7810717073916491
ooa,0.2,43,-0.16448378635864036,0.8766902179881434,0.712206431629503
ooa,0.2,44,0.040820130196303595,0.6768547314036912,0.7176748615999948
ooa,0.2,45,-0.05113503862202384,0.7802911543924874,0.7291561157704636
ooa,0.2,46,-0.041607128439730134,0.8245275454889963,0.7829204170492662
