attack,alpha,round,acc,f1
grad-p,0.01,0,40.0,15.13
grad-p,0.01,1,29.7,16.31
grad-p,0.01,2,27.05,17.24
grad-p,0.01,3,39.65,12.73
grad-p,0.01,4,53.45,13.23
grad-p,0.01,5,53.95,13.36
grad-p,0.01,6,43.2,12.75
grad-p,0.01,7,36.4,14.97
grad-p,0.01,8,15.55,19.91
grad-p,0.01,9,26.75,20.77
grad-p,0.01,10,30.3,20.89
grad-p,0.01,11,27.4,20.83
grad-p,0.01,12,21.8,20.93
grad-p,0.01,13,31.35,20.77
grad-p,0.01,14,39.6,23.93
grad-p,0.01,15,48.5,20.65
grad-p,0.01,16,55.2,18.69
grad-p,0.01,17,51.9,19.16
grad-p,0.01,18,50.95,19.26
grad-p,0.01,19,48.9,18.89
grad-p,0.01,20,48.6,18.8
grad-p,0.01,21,51.1,19.44
grad-p,0.01,22,46.45,19.29
grad-p,0.01,23,45.9,19.25
grad-p,0.01,24,53.45,15.59
grad-p,0.01,25,52.2,15.4
grad-p,0.01,26,50.7,16.01
grad-p,0.01,27,50.25,16.03
grad-p,0.01,28,48.35,16.36
grad-p,0.01,29,47.1,16.43
grad-p,0.01,30,45.45,16.4
grad-p,0.01,31,44.05,17.17
grad-p,0.01,32,45.2,16.72
grad-p,0.01,33,36.15,18.3
grad-p,0.01,34,34.85,18.51
grad-p,0.01,35,29.2,19.82
grad-p,0.01,36,30.15,19.3
grad-p,0.01,37,30.05,19.37
grad-p,0.01,38,30.6,19.49
grad-p,0.01,39,34.85,17.58
grad-p,0.01,40,32.55,18.88
grad-p,0.01,41,31.65,19.35
grad-p,0.01,42,30.2,19.4
grad-p,0.01,43,30.55,19.38
grad-p,0.01,44,29.7,19.57
grad-p,0.01,45,27.5,20.59
grad-p,0.01,46,27.15,20.6
grad-p,0.01,47,27.05,20.58
grad-p,0.01,48,26.05,20.61
grad-p,0.01,49,24.75,20.91
grad-p,0.05,0,12.15,20.25
grad-p,0.05,1,11.45,20.19
grad-p,0.05,2,12.1,20.31
grad-p,0.05,3,32.75,21.57
grad-p,0.05,4,42.8,23.32
grad-p,0.05,5,50.95,24.6
grad-p,0.05,6,54.05,24.73
grad-p,0.05,7,42.15,24.13
grad-p,0.05,8,22.55,22.43
grad-p,0.05,9,19.5,20.85
grad-p,0.05,10,38.9,24.47
grad-p,0.05,11,37.5,24.61
grad-p,0.05,12,44.1,26.64
grad-p,0.05,13,54.85,27.82
