attack,alpha,round,acc,f1
grad-p,0.01,0,62.25,7.13
grad-p,0.01,1,78.9,8.66
grad-p,0.01,2,82.35,10.18
grad-p,0.01,3,86.6,11.84
grad-p,0.01,4,90.15,2.96
grad-p,0.01,5,94.75,0.0
grad-p,0.01,6,96.4,0.0
grad-p,0.01,7,96.45,0.0
grad-p,0.01,8,96.45,0.0
grad-p,0.01,9,96.45,0.0
grad-p,0.01,10,96.45,0.0
grad-p,0.01,11,96.45,0.0
grad-p,0.01,12,96.45,0.0
grad-p,0.01,13,96.45,0.0
grad-p,0.01,14,96.45,0.0
grad-p,0.01,15,96.45,0.0
grad-p,0.01,16,96.45,0.0
grad-p,0.01,17,96.45,0.0
grad-p,0.01,18,96.45,0.0
grad-p,0.01,19,96.45,0.0
grad-p,0.01,20,96.45,0.0
grad-p,0.01,21,96.45,0.0
grad-p,0.01,22,96.45,0.0
grad-p,0.01,23,96.45,0.0
grad-p,0.01,24,96.45,0.0
grad-p,0.01,25,96.45,0.0
grad-p,0.01,26,96.45,0.0
grad-p,0.01,27,96.45,0.0
grad-p,0.01,28,96.45,0.0
grad-p,0.01,29,96.45,0.0
grad-p,0.01,30,96.45,0.0
grad-p,0.01,31,96.45,0.0
grad-p,0.01,32,96.45,0.0
grad-p,0.01,33,96.45,0.0
grad-p,0.01,34,96.45,0.0
grad-p,0.01,35,96.45,0.0
grad-p,0.01,36,96.45,0.0
grad-p,0.01,37,96.45,0.0
grad-p,0.01,38,96.45,0.0
grad-p,0.01,39,96.45,0.0
grad-p,0.01,40,96.45,0.0
grad-p,0.01,41,96.45,0.0
grad-p,0.01,42,96.45,0.0
grad-p,0.01,43,96.45,0.0
grad-p,0.01,44,96.45,0.0
grad-p,0.01,45,96.45,0.0
grad-p,0.01,46,96.45,0.0
grad-p,0.01,47,96.45,0.0
grad-p,0.01,48,96.45,0.0
grad-p,0.01,49,96.45,0.0
grad-p,0.05,0,75.3,8.52
grad-p,0.05,1,52.4,7.75
grad-p,0.05,2,64.6,9.0
grad-p,0.05,3,78.85,12.06
grad-p,0.05,4,76.35,4.44
grad-p,0.05,5,95.8,0.0
grad-p,0.05,6,96.45,0.0
grad-p,0.05,7,96.45,0.0
grad-p,0.05,8,96.45,0.0
grad-p,0.05,9,96.45,0.0
grad-p,0.05,10,96.45,0.0
grad-p,0.05,11,96.45,0.0
grad-p,0.05,12,96.45,0.0
grad-p,0.05,13,96.45,0.0
grad-p,0.05,14,96.45,0.0
grad-p,0.05,15,96.45,0.0
