attack,alpha,round,acc,f1
grad-p,0.01,0,14.15,16.53
grad-p,0.01,1,31.2,19.81
grad-p,0.01,2,8.55,15.68
grad-p,0.01,3,17.3,13.4
grad-p,0.01,4,60.95,17.35
grad-p,0.01,5,60.9,17.34
grad-p,0.01,6,49.35,18.63
grad-p,0.01,7,47.85,18.58
grad-p,0.01,8,44.4,20.11
grad-p,0.01,9,43.1,20.75
grad-p,0.01,10,41.5,20.3
grad-p,0.01,11,38.7,20.39
grad-p,0.01,12,37.5,20.48
grad-p,0.01,13,30.0,19.45
grad-p,0.01,14,28.65,19.15
grad-p,0.01,15,24.6,18.4
grad-p,0.01,16,27.65,18.94
grad-p,0.01,17,30.5,19.56
grad-p,0.01,18,11.5,16.11
grad-p,0.01,19,12.2,16.14
grad-p,0.01,20,13.05,16.27
grad-p,0.01,21,12.45,16.1
grad-p,0.01,22,12.4,16.09
grad-p,0.01,23,11.9,16.1
grad-p,0.01,24,9.55,15.51
grad-p,0.01,25,17.55,15.13
grad-p,0.01,26,17.05,15.49
grad-p,0.01,27,16.55,15.83
grad-p,0.01,28,14.0,16.42
grad-p,0.01,29,9.5,15.74
grad-p,0.01,30,9.95,15.8
grad-p,0.01,31,10.8,15.05
grad-p,0.01,32,10.15,15.36
grad-p,0.01,33,10.9,15.3
grad-p,0.01,34,10.5,15.41
grad-p,0.01,35,11.55,15.16
grad-p,0.01,36,11.3,15.36
grad-p,0.01,37,10.7,15.44
grad-p,0.01,38,10.3,15.7
grad-p,0.01,39,11.75,15.75
grad-p,0.01,40,12.2,15.82
grad-p,0.01,41,12.1,15.8
grad-p,0.01,42,11.85,15.85
grad-p,0.01,43,10.8,15.77
grad-p,0.01,44,10.4,15.95
grad-p,0.01,45,10.4,15.95
grad-p,0.01,46,10.75,15.76
grad-p,0.01,47,11.2,15.83
grad-p,0.01,48,8.95,15.73
grad-p,0.01,49,9.7,15.76
grad-p,0.05,0,34.7,17.55
grad-p,0.05,1,33.05,19.19
grad-p,0.05,2,11.85,16.01
grad-p,0.05,3,26.2,11.72
grad-p,0.05,4,10.85,16.02
grad-p,0.05,5,11.75,16.15
grad-p,0.05,6,11.55,16.12
grad-p,0.05,7,11.0,16.04
grad-p,0.05,8,12.3,16.24
grad-p,0.05,9,15.55,16.76
grad-p,0.05,10,14.3,16.55
grad-p,0.05,11,12.8,16.31
grad-p,0.05,12,16.2,16.87
grad-p,0.05,13,19.25,17.39
grad-p,0.05,14,15.9,16.82
grad-p,0.05,15,17.8,17.14
grad-p,0.05,16,23.95,18.27
grad-p,0.05,17,27.55,19.01
grad-p,0.05,18,26.05,18.69
grad-p,0.05,19,26.6,18.81
grad-p,0.05,20,37.85,21.48
grad-p,0.05,21,36.65,21.16
grad-p,0.05,22,23.8,18.24
grad-p,0.05,23,25.95,18.67
grad-p,0.05,24,29.75,19.48
grad-p,0.05,25,34.5,20.61
grad-p,0.05,26,36.45,21.1
grad-p,0.05,27,40.2,22.14
grad-p,0.05,28,44.75,23.53
grad-p,0.05,29,46.4,24.08
grad-p,0.05,30,46.65,24.16
grad-p,0.05,31,38.05,21.53
grad-p,0.05,32,41.15,22.41
grad-p,0.05,33,47.65,24.51
grad-p,0.05,34,53.5,26.77
grad-p,0.05,35,42.35,22.77
grad-p,0.05,36,41.95,22.65
grad-p,0.05,37,41.45,22.5
grad-p,0.05,38,47.7,24.53
grad-p,0.05,39,48.8,24.93
grad-p,0.05,40,53.0,26.56
grad-p,0.05,41,52.5,26.36
grad-p,0.05,42,52.85,26.5
grad-p,0.05,43,47.7,24.53
grad-p,0.05,44,49.85,25.32
grad-p,0.05,45,50.35,25.51
grad-p,0.05,46,60.9,30.3
grad-p,0.05,47,68.95,35.11
grad-p,0.05,48,68.25,34.74
grad-p,0.05,49,61.9,30.85
grad-p,0.1,0,36.1,17.12
grad-p,0.1,1,59.05,14.6
grad-p,0.1,2,40.7,21.87
grad-p,0.1,3,84.55,9.38
grad-p,0.1,4,88.3,19.31
grad-p,0.1,5,90.75,3.14
grad-p,0.1,6,91.1,0.0
grad-p,0.1,7,91.7,5.68
grad-p,0.1,8,91.5,0.0
grad-p,0.1,9,91.55,1.17
grad-p,0.1,10,91.55,2.31
grad-p,0.1,11,91.55,1.17
grad-p,0.1,12,91.5,0.0
grad-p,0.1,13,91.5,0.0
grad-p,0.1,14,91.5,0.0
grad-p,0.1,15,91.5,0.0
grad-p,0.1,16,91.5,0.0
grad-p,0.1,17,91.5,0.0
grad-p,0.1,18,91.5,0.0
grad-p,0.1,19,91.5,0.0
grad-p,0.1,20,91.5,0.0
grad-p,0.1,21,91.5,0.0
grad-p,0.1,22,91.5,0.0
grad-p,0.1,23,91.5,0.0
grad-p,0.1,24,91.5,0.0
grad-p,0.1,25,91.5,0.0
grad-p,0.1,26,91.5,0.0
grad-p,0.1,27,91.5,0.0
grad-p,0.1,28,91.5,0.0
grad-p,0.1,29,91.5,0.0
grad-p,0.1,30,91.5,0.0
grad-p,0.1,31,91.5,0.0
grad-p,0.1,32,91.5,0.0
grad-p,0.1,33,91.5,0.0
grad-p,0.1,34,91.5,0.0
grad-p,0.1,35,91.5,0.0
grad-p,0.1,36,91.5,0.0
grad-p,0.1,37,91.5,0.0
grad-p,0.1,38,91.5,0.0
grad-p,0.1,39,91.5,0.0
grad-p,0.1,40,91.5,0.0
grad-p,0.1,41,91.5,0.0
grad-p,0.1,42,91.5,0.0
grad-p,0.1,43,91.5,0.0
grad-p,0.1,44,91.5,0.0
grad-p,0.1,45,91.5,0.0
grad-p,0.1,46,91.5,0.0
grad-p,0.1,47,91.5,0.0
grad-p,0.1,48,91.5,0.0
grad-p,0.1,49,91.5,0.0
grad-p,0.2,0,65.25,29.01
grad-p,0.2,1,44.3,23.17
grad-p,0.2,2,68.05,33.37
grad-p,0.2,3,82.45,44.02
grad-p,0.2,4,86.3,51.42
grad-p,0.2,5,90.65,54.72
grad-p,0.2,6,92.15,16.93
grad-p,0.2,7,92.65,27.59
grad-p,0.2,8,92.5,22.68
grad-p,0.2,9,92.4,19.15
grad-p,0.2,10,91.95,10.06
grad-p,0.2,11,91.7,4.6
grad-p,0.2,12,91.65,3.47
grad-p,0.2,13,91.8,6.82
grad-p,0.2,14,91.8,6.82
grad-p,0.2,15,91.8,6.82
grad-p,0.2,16,91.85,7.91
grad-p,0.2,17,91.5,0.0
grad-p,0.2,18,91.55,1.17
grad-p,0.2,19,91.6,2.33
grad-p,0.2,20,91.5,0.0
grad-p,0.2,21,91.5,0.0
grad-p,0.2,22,91.5,0.0
grad-p,0.2,23,91.5,0.0
grad-p,0.2,24,91.5,0.0
grad-p,0.2,25,91.5,0.0
grad-p,0.2,26,91.5,0.0
grad-p,0.2,27,91.5,0.0
grad-p,0.2,28,91.5,0.0
grad-p,0.2,29,91.5,0.0
grad-p,0.2,30,91.5,0.0
grad-p,0.2,31,91.5,0.0
grad-p,0.2,32,91.5,0.0
grad-p,0.2,33,91.5,0.0
grad-p,0.2,34,91.5,0.0
grad-p,0.2,35,91.5,0.0
grad-p,0.2,36,91.5,0.0
grad-p,0.2,37,91.55,1.17
grad-p,0.2,38,91.5,0.0
