attack,alpha,round,acc,f1
grad-p,0.01,0,58.55,3.27
grad-p,0.01,1,84.6,1.91
grad-p,0.01,2,93.65,0.0
grad-p,0.01,3,90.1,3.88
grad-p,0.01,4,97.9,0.0
grad-p,0.01,5,97.9,0.0
grad-p,0.01,6,97.9,0.0
grad-p,0.01,7,97.9,0.0
grad-p,0.01,8,97.9,0.0
grad-p,0.01,9,97.9,0.0
grad-p,0.01,10,97.9,0.0
grad-p,0.01,11,97.9,0.0
grad-p,0.01,12,97.9,0.0
grad-p,0.01,13,97.9,0.0
grad-p,0.01,14,97.9,0.0
grad-p,0.01,15,97.9,0.0
grad-p,0.01,16,97.9,0.0
grad-p,0.01,17,97.9,0.0
grad-p,0.01,18,97.9,0.0
grad-p,0.01,19,97.9,0.0
grad-p,0.01,20,97.9,0.0
grad-p,0.01,21,97.9,0.0
grad-p,0.01,22,97.9,0.0
grad-p,0.01,23,97.9,0.0
grad-p,0.01,24,97.9,0.0
grad-p,0.01,25,97.9,0.0
grad-p,0.01,26,97.9,0.0
grad-p,0.01,27,97.9,0.0
grad-p,0.01,28,97.9,0.0
grad-p,0.01,29,97.9,0.0
grad-p,0.01,30,97.9,0.0
grad-p,0.01,31,97.9,0.0
grad-p,0.01,32,97.9,0.0
grad-p,0.01,33,97.9,0.0
grad-p,0.01,34,97.9,0.0
grad-p,0.01,35,97.9,0.0
grad-p,0.01,36,97.9,0.0
grad-p,0.01,37,97.9,0.0
grad-p,0.01,38,97.9,0.0
grad-p,0.01,39,97.9,0.0
grad-p,0.01,40,97.9,0.0
grad-p,0.01,41,97.9,0.0
grad-p,0.01,42,97.9,0.0
grad-p,0.01,43,97.9,0.0
grad-p,0.01,44,97.9,0.0
grad-p,0.01,45,97.9,0.0
grad-p,0.01,46,97.9,0.0
grad-p,0.01,47,97.9,0.0
grad-p,0.01,48,97.9,0.0
grad-p,0.05,0,6.75,4.21
grad-p,0.05,1,6.1,4.28
grad-p,0.05,2,21.55,4.74
grad-p,0.05,3,17.35,4.28
grad-p,0.05,4,5.85,4.08
grad-p,0.05,5,15.6,3.76
grad-p,0.05,6,17.65,3.85
grad-p,0.05,7,22.2,3.83
grad-p,0.05,8,23.45,4.25
grad-p,0.05,9,30.3,5.17
grad-p,0.05,10,34.5,5.21
grad-p,0.05,11,48.05,5.8
grad-p,0.05,12,67.25,7.09
grad-p,0.05,13,79.75,6.9
grad-p,0.05,14,91.55,4.52
grad-p,0.05,15,93.9,4.69
grad-p,0.05,16,96.45,0.0
grad-p,0.05,17,96.65,0.0
grad-p,0.05,18,97.65,0.0
grad-p,0.05,19,97.9,0.0
grad-p,0.05,20,97.9,0.0
grad-p,0.05,21,97.9,0.0
grad-p,0.05,22,97.9,0.0
grad-p,0.05,23,97.9,0.0
grad-p,0.05,24,97.9,0.0
grad-p,0.05,25,97.9,0.0
grad-p,0.05,26,97.9,0.0
grad-p,0.05,27,97.9,0.0
grad-p,0.05,28,97.9,0.0
grad-p,0.05,29,97.9,0.0
grad-p,0.05,30,97.9,0.0
grad-p,0.05,31,97.9,0.0
grad-p,0.05,32,97.9,0.0
grad-p,0.05,33,97.9,0.0
grad-p,0.05,34,97.9,0.0
grad-p,0.05,35,97.9,0.0
grad-p,0.05,36,97.9,0.0
grad-p,0.05,37,97.9,0.0
grad-p,0.05,38,97.9,0.0
grad-p,0.05,39,97.9,0.0
grad-p,0.05,40,97.9,0.0
grad-p,0.05,41,97.9,0.0
grad-p,0.05,42,97.9,0.0
grad-p,0.05,43,97.9,0.0
grad-p,0.05,44,97.9,0.0
grad-p,0.05,45,97.9,0.0
grad-p,0.05,46,97.9,0.0
grad-p,0.05,47,97.9,0.0
grad-p,0.05,48,97.9,0.0
grad-p,0.05,49,97.9,0.0
grad-p,0.1,0,83.9,18.69
grad-p,0.1,1,97.25,44.44
grad-p,0.1,2,92.55,25.87
grad-p,0.1,3,57.15,7.75
grad-p,0.1,4,69.3,9.44
grad-p,0.1,5,70.6,10.09
grad-p,0.1,6,54.1,7.09
grad-p,0.1,7,59.65,5.39
grad-p,0.1,8,83.05,5.04
grad-p,0.1,9,90.6,6.93
grad-p,0.1,10,97.4,7.14
grad-p,0.1,11,94.85,5.5
grad-p,0.1,12,98.0,9.09
grad-p,0.1,13,97.9,0.0
grad-p,0.1,14,97.9,0.0
grad-p,0.1,15,97.9,0.0
grad-p,0.1,16,97.9,0.0
grad-p,0.1,17,97.9,0.0
grad-p,0.1,18,97.9,0.0
grad-p,0.1,19,97.9,0.0
grad-p,0.1,20,97.9,0.0
grad-p,0.1,21,97.9,0.0
grad-p,0.1,22,97.9,0.0
grad-p,0.1,23,97.9,0.0
grad-p,0.1,24,97.9,0.0
grad-p,0.1,25,97.9,0.0
grad-p,0.1,26,97.9,0.0
grad-p,0.1,27,97.9,0.0
grad-p,0.1,28,97.9,0.0
grad-p,0.1,29,97.9,0.0
grad-p,0.1,30,97.9,0.0
grad-p,0.1,31,97.9,0.0
grad-p,0.1,32,97.9,0.0
grad-p,0.1,33,97.9,0.0
grad-p,0.1,34,97.9,0.0
grad-p,0.1,35,97.9,0.0
grad-p,0.1,36,97.9,0.0
grad-p,0.1,37,97.9,0.0
grad-p,0.1,38,97.9,0.0
grad-p,0.1,39,97.9,0.0
grad-p,0.1,40,97.9,0.0
grad-p,0.1,41,97.9,0.0
grad-p,0.1,42,97.9,0.0
grad-p,0.1,43,97.9,0.0
grad-p,0.1,44,97.9,0.0
grad-p,0.1,45,97.9,0.0
grad-p,0.1,46,97.9,0.0
grad-p,0.1,47,97.9,0.0
grad-p,0.1,48,97.9,0.0
grad-p,0.1,49,97.9,0.0
grad-p,0.2,0,7.0,4.32
grad-p,0.2,1,16.45,4.57
grad-p,0.2,2,30.75,5.33
grad-p,0.2,3,60.55,8.57
grad-p,0.2,4,88.1,15.6
grad-p,0.2,5,94.5,22.54
grad-p,0.2,6,96.1,20.41
grad-p,0.2,7,97.6,22.58
grad-p,0.2,8,98.0,13.04
grad-p,0.2,9,97.95,4.65
grad-p,0.2,10,97.9,0.0
grad-p,0.2,11,97.9,0.0
grad-p,0.2,12,97.9,0.0
grad-p,0.2,13,97.9,0.0
grad-p,0.2,14,97.9,0.0
grad-p,0.2,15,97.9,0.0
grad-p,0.2,16,97.9,0.0
grad-p,0.2,17,97.9,0.0
grad-p,0.2,18,97.9,0.0
grad-p,0.2,19,97.9,0.0
grad-p,0.2,20,97.9,0.0
grad-p,0.2,21,97.9,0.0
grad-p,0.2,22,97.9,0.0
grad-p,0.2,23,97.9,0.0
grad-p,0.2,24,97.9,0.0
grad-p,0.2,25,97.9,0.0
grad-p,0.2,26,97.9,0.0
grad-p,0.2,27,97.9,0.0
grad-p,0.2,28,97.9,0.0
grad-p,0.2,29,97.9,0.0
grad-p,0.2,30,97.9,0.0
grad-p,0.2,31,97.9,0.0
grad-p,0.2,32,97.9,0.0
