attack,measure,AUC_mean,AUC_std
lfp,kappa,0.647,0.08
lfp,KL,0.003,0.008
lfp,KL_sym,0.001,0.003
lfp,Renyi_0.5,0.003,0.008
lfp,Renyi_2,0.005,0.009
lfp,Renyi_inf,0.031,0.036
spf,kappa,0.501,0.073
spf,KL,0.438,0.05
spf,KL_sym,0.408,0.048
spf,Renyi_0.5,0.426,0.049
spf,Renyi_2,0.442,0.048
spf,Renyi_inf,0.448,0.053
ooa,kappa,0.477,0.078
ooa,KL,0.501,0.042
ooa,KL_sym,0.523,0.053
ooa,Renyi_0.5,0.509,0.047
ooa,Renyi_2,0.499,0.04
ooa,Renyi_inf,0.495,0.042
grad-p,kappa,0.836,0.181
grad-p,KL,0.966,0.021
grad-p,KL_sym,0.979,0.018
grad-p,Renyi_0.5,0.971,0.019
grad-p,Renyi_2,0.963,0.022
grad-p,Renyi_inf,0.961,0.023
