round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,92.15,25.0,100.0,0.0,100.0,100.0
1,False,94.35,0.0,100.0,0.0,100.0,100.0
2,False,95.6,0.0,100.0,0.0,100.0,100.0
3,False,94.95,0.0,100.0,0.0,100.0,100.0
4,False,96.85,25.0,100.0,0.0,100.0,100.0
5,False,96.6,25.0,100.0,0.0,100.0,100.0
6,False,96.3,0.0,100.0,0.0,100.0,100.0
7,False,97.25,25.0,100.0,0.0,100.0,100.0
8,False,97.0,0.0,100.0,0.0,100.0,100.0
9,False,97.25,0.0,100.0,0.0,100.0,100.0
10,False,97.25,0.0,100.0,25.0,100.0,100.0
11,False,97.35,25.0,100.0,25.0,100.0,100.0
12,False,96.7,0.0,100.0,0.0,100.0,100.0
13,False,96.8,0.0,100.0,25.0,100.0,100.0
14,False,96.9,0.0,100.0,0.0,100.0,100.0
15,False,96.7,0.0,100.0,50.0,100.0,100.0
16,False,96.5,0.0,100.0,50.0,100.0,100.0
17,False,96.5,25.0,100.0,25.0,100.0,100.0
18,False,96.25,0.0,100.0,75.0,100.0,100.0
19,False,96.3,25.0,100.0,75.0,100.0,100.0
20,True,96.2,0.0,100.0,50.0,100.0,100.0
21,True,96.25,0.0,100.0,75.0,100.0,100.0
22,True,96.3,0.0,100.0,50.0,100.0,100.0
23,True,96.2,0.0,100.0,75.0,100.0,100.0
24,True,97.05,0.0,100.0,75.0,100.0,100.0
25,True,97.3,0.0,100.0,25.0,100.0,100.0
26,True,97.35,0.0,100.0,50.0,100.0,100.0
27,True,97.35,0.0,100.0,100.0,100.0,100.0
28,True,97.15,0.0,100.0,100.0,100.0,100.0
29,True,97.35,0.0,100.0,75.0,100.0,100.0
30,True,97.25,0.0,100.0,100.0,100.0,100.0
31,True,96.8,0.0,100.0,100.0,100.0,100.0
32,True,96.75,0.0,100.0,100.0,100.0,100.0
33,True,96.75,0.0,100.0,100.0,100.0,100.0
34,True,96.6,0.0,100.0,100.0,100.0,100.0
35,True,96.4,0.0,100.0,100.0,100.0,100.0
36,True,96.35,0.0,100.0,75.0,100.0,100.0
37,True,96.25,0.0,100.0,100.0,100.0,100.0
38,True,96.65,0.0,100.0,100.0,100.0,100.0
39,True,96.65,0.0,100.0,100.0,100.0,100.0
40,True,96.65,0.0,100.0,100.0,100.0,100.0
41,True,96.65,0.0,100.0,100.0,100.0,100.0
42,True,96.65,0.0,100.0,100.0,100.0,100.0
43,True,96.65,0.0,100.0,100.0,100.0,100.0
44,True,96.65,0.0,100.0,100.0,100.0,100.0
45,True,96.65,0.0,100.0,100.0,100.0,100.0
46,True,96.65,0.0,100.0,100.0,100.0,100.0
47,True,96.65,0.0,100.0,100.0,100.0,100.0
48,True,96.65,0.0,100.0,100.0,100.0,100.0
49,True,96.65,0.0,100.0,100.0,100.0,100.0
50,True,96.65,0.0,100.0,100.0,100.0,100.0
51,True,96.65,0.0,100.0,100.0,100.0,100.0
52,True,96.65,0.0,100.0,100.0,100.0,100.0
53,True,96.65,0.0,100.0,100.0,100.0,100.0
54,True,96.65,0.0,100.0,100.0,100.0,100.0
55,True,96.65,0.0,100.0,100.0,100.0,100.0
56,True,96.65,0.0,100.0,100.0,100.0,100.0
57,True,96.65,0.0,100.0,100.0,100.0,100.0
58,True,96.65,0.0,100.0,100.0,100.0,100.0
59,True,96.65,0.0,100.0,100.0,100.0,100.0
