round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,90.0,0.0,100.0,0.0,100.0,100.0
1,False,90.4,0.0,100.0,0.0,100.0,100.0
2,False,90.35,0.0,100.0,0.0,100.0,100.0
3,False,90.25,0.0,100.0,0.0,100.0,100.0
4,False,90.0,0.0,100.0,0.0,100.0,100.0
5,False,90.1,0.0,100.0,0.0,100.0,100.0
6,False,90.25,0.0,100.0,0.0,100.0,100.0
7,False,90.1,0.0,100.0,0.0,100.0,100.0
8,False,90.1,0.0,100.0,0.0,100.0,100.0
9,False,90.25,0.0,100.0,0.0,100.0,100.0
10,False,90.15,0.0,100.0,25.0,100.0,100.0
11,False,90.25,0.0,100.0,25.0,100.0,100.0
12,False,90.25,0.0,100.0,0.0,100.0,100.0
13,False,90.3,0.0,100.0,25.0,100.0,100.0
14,False,90.25,0.0,100.0,0.0,100.0,100.0
15,False,90.25,0.0,100.0,50.0,100.0,100.0
16,False,90.25,0.0,100.0,50.0,100.0,100.0
17,False,90.25,0.0,100.0,25.0,100.0,100.0
18,False,90.25,0.0,100.0,75.0,100.0,100.0
19,False,90.25,0.0,100.0,75.0,100.0,100.0
20,True,90.3,0.0,100.0,50.0,100.0,100.0
21,True,90.3,0.0,100.0,75.0,100.0,100.0
22,True,90.25,0.0,100.0,50.0,100.0,100.0
23,True,90.25,0.0,100.0,75.0,100.0,100.0
24,True,90.25,0.0,100.0,75.0,100.0,100.0
25,True,90.25,0.0,100.0,25.0,100.0,100.0
26,True,90.25,0.0,100.0,50.0,100.0,100.0
27,True,90.25,0.0,100.0,100.0,100.0,100.0
28,True,90.35,0.0,100.0,100.0,100.0,100.0
29,True,90.35,0.0,100.0,75.0,100.0,100.0
30,True,90.35,0.0,100.0,100.0,100.0,100.0
31,True,90.45,0.0,100.0,100.0,100.0,100.0
32,True,90.4,0.0,100.0,100.0,100.0,100.0
33,True,90.4,0.0,100.0,100.0,100.0,100.0
34,True,90.45,0.0,100.0,100.0,100.0,100.0
35,True,90.45,0.0,100.0,100.0,100.0,100.0
36,True,90.45,0.0,100.0,75.0,100.0,100.0
37,True,90.45,0.0,100.0,100.0,100.0,100.0
38,True,90.45,0.0,100.0,100.0,100.0,100.0
39,True,90.45,0.0,100.0,100.0,100.0,100.0
40,True,90.45,0.0,100.0,100.0,100.0,100.0
41,True,90.45,0.0,100.0,100.0,100.0,100.0
42,True,90.45,0.0,100.0,100.0,100.0,100.0
43,True,90.45,0.0,100.0,100.0,100.0,100.0
44,True,90.45,0.0,100.0,100.0,100.0,100.0
45,True,90.45,0.0,100.0,100.0,100.0,100.0
46,True,90.45,0.0,100.0,100.0,100.0,100.0
47,True,90.45,0.0,100.0,100.0,100.0,100.0
48,True,90.45,0.0,100.0,100.0,100.0,100.0
49,True,90.45,0.0,100.0,100.0,100.0,100.0
50,True,90.45,0.0,100.0,100.0,100.0,100.0
51,True,90.45,0.0,100.0,100.0,100.0,100.0
52,True,90.45,0.0,100.0,100.0,100.0,100.0
53,True,90.45,0.0,100.0,100.0,100.0,100.0
54,True,90.45,0.0,100.0,100.0,100.0,100.0
55,True,90.4,0.0,100.0,100.0,100.0,100.0
56,True,90.4,0.0,100.0,100.0,100.0,100.0
57,True,90.4,0.0,100.0,100.0,100.0,100.0
58,True,90.4,0.0,100.0,100.0,100.0,100.0
59,True,90.4,0.0,100.0,100.0,100.0,100.0
