round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,41.3,0.0,0.0,0.0,0.0,6.2
1,False,28.25,0.0,0.0,0.0,0.0,6.2
2,False,24.75,0.0,0.0,0.0,0.0,12.5
3,False,30.15,0.0,0.0,0.0,0.0,6.2
4,False,24.95,0.0,0.0,0.0,0.0,6.2
5,False,27.1,0.0,0.0,0.0,0.0,0.0
6,False,28.2,0.0,0.0,0.0,0.0,6.7
7,False,27.15,0.0,0.0,0.0,0.0,6.2
8,False,27.55,0.0,0.0,0.0,0.0,12.5
9,False,25.75,0.0,0.0,0.0,0.0,6.2
10,False,36.35,0.0,0.0,0.0,0.0,12.5
11,False,37.65,0.0,0.0,0.0,0.0,6.2
12,False,39.3,0.0,0.0,0.0,0.0,6.7
13,False,41.0,0.0,0.0,0.0,0.0,0.0
14,False,42.2,0.0,0.0,0.0,0.0,6.7
15,False,47.55,0.0,0.0,0.0,0.0,6.2
16,False,46.95,0.0,0.0,0.0,0.0,12.5
17,False,44.85,0.0,0.0,0.0,0.0,0.0
18,False,46.65,0.0,0.0,0.0,0.0,12.5
19,False,39.6,25.0,0.0,0.0,25.0,6.2
20,True,41.6,0.0,0.0,0.0,0.0,0.0
21,True,43.2,0.0,0.0,0.0,0.0,6.2
22,True,42.75,0.0,0.0,0.0,0.0,6.2
23,True,44.2,0.0,0.0,0.0,0.0,6.2
24,True,44.75,0.0,0.0,0.0,0.0,6.2
25,True,44.5,0.0,0.0,0.0,0.0,6.7
26,True,45.8,0.0,0.0,0.0,0.0,0.0
27,True,46.55,0.0,0.0,0.0,0.0,12.5
28,True,47.55,0.0,0.0,0.0,0.0,6.7
29,True,48.75,0.0,0.0,0.0,0.0,6.2
30,True,48.8,0.0,0.0,0.0,0.0,12.5
31,True,50.35,0.0,0.0,0.0,0.0,12.5
32,True,49.7,0.0,0.0,0.0,0.0,6.2
33,True,48.65,0.0,0.0,0.0,0.0,6.2
34,True,49.05,0.0,0.0,0.0,0.0,6.2
35,True,50.25,0.0,0.0,0.0,0.0,12.5
36,True,51.55,0.0,0.0,0.0,0.0,6.2
37,True,51.2,0.0,0.0,0.0,0.0,6.2
38,True,52.45,0.0,0.0,0.0,0.0,6.2
39,True,52.85,0.0,0.0,0.0,0.0,0.0
40,True,53.15,0.0,0.0,0.0,0.0,12.5
41,True,53.85,0.0,0.0,0.0,0.0,12.5
42,True,54.75,0.0,0.0,0.0,0.0,6.7
43,True,55.5,0.0,0.0,0.0,0.0,6.2
44,True,54.95,0.0,0.0,0.0,0.0,6.2
45,True,56.5,0.0,0.0,0.0,0.0,6.2
46,True,57.75,0.0,0.0,0.0,0.0,12.5
47,True,58.7,0.0,0.0,0.0,0.0,6.2
48,True,59.25,0.0,0.0,0.0,0.0,6.2
49,True,59.55,0.0,0.0,0.0,0.0,6.2
50,True,59.5,0.0,0.0,0.0,0.0,13.3
51,True,60.75,0.0,0.0,0.0,0.0,6.2
52,True,61.65,0.0,0.0,0.0,0.0,12.5
53,True,61.85,0.0,25.0,0.0,25.0,50.0
54,True,63.0,0.0,0.0,0.0,0.0,12.5
55,True,62.25,0.0,0.0,0.0,0.0,6.2
56,True,63.65,0.0,0.0,0.0,0.0,6.2
57,True,64.9,0.0,0.0,0.0,0.0,12.5
58,True,66.7,0.0,0.0,0.0,0.0,6.2
59,True,68.0,0.0,0.0,0.0,0.0,0.0
