round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,33.35,0.0,0.0,0.0,0.0,12.5
1,False,31.05,0.0,0.0,0.0,0.0,6.2
2,False,33.4,0.0,0.0,0.0,0.0,6.2
3,False,23.1,0.0,0.0,0.0,0.0,12.5
4,False,21.65,0.0,0.0,0.0,0.0,6.2
5,False,22.75,0.0,0.0,0.0,0.0,13.3
6,False,27.1,0.0,0.0,0.0,0.0,6.7
7,False,28.0,0.0,0.0,0.0,0.0,6.2
8,False,31.1,0.0,0.0,0.0,0.0,6.2
9,False,35.55,0.0,0.0,0.0,0.0,6.2
10,False,43.85,0.0,0.0,0.0,0.0,12.5
11,False,45.6,0.0,0.0,0.0,0.0,6.2
12,False,47.7,0.0,0.0,0.0,0.0,13.3
13,False,47.75,0.0,0.0,0.0,0.0,0.0
14,False,47.4,0.0,0.0,0.0,0.0,6.7
15,False,50.5,0.0,0.0,0.0,0.0,6.2
16,False,50.7,0.0,0.0,0.0,0.0,12.5
17,False,49.8,0.0,0.0,0.0,0.0,0.0
18,False,51.45,0.0,0.0,0.0,0.0,12.5
19,False,51.0,25.0,0.0,0.0,25.0,6.2
20,True,52.05,0.0,0.0,0.0,0.0,0.0
21,True,53.4,0.0,0.0,0.0,0.0,6.2
22,True,52.8,0.0,0.0,0.0,0.0,6.2
23,True,53.55,0.0,0.0,0.0,0.0,6.2
24,True,53.55,25.0,0.0,0.0,25.0,6.2
25,True,53.5,0.0,0.0,0.0,0.0,13.3
26,True,54.2,0.0,0.0,0.0,0.0,0.0
27,True,54.7,0.0,0.0,0.0,0.0,12.5
28,True,55.6,0.0,0.0,0.0,0.0,6.7
29,True,56.25,0.0,0.0,0.0,0.0,12.5
30,True,56.1,0.0,0.0,0.0,0.0,12.5
31,True,57.2,0.0,0.0,0.0,0.0,12.5
32,True,57.1,0.0,0.0,0.0,0.0,6.2
33,True,56.2,0.0,0.0,0.0,0.0,6.2
34,True,56.35,0.0,0.0,0.0,0.0,12.5
35,True,57.3,0.0,0.0,0.0,0.0,12.5
36,True,58.1,0.0,0.0,0.0,0.0,6.2
37,True,57.9,0.0,0.0,0.0,0.0,6.2
38,True,58.15,0.0,0.0,0.0,0.0,6.2
39,True,58.65,0.0,0.0,0.0,0.0,6.2
40,True,58.5,0.0,0.0,0.0,0.0,12.5
41,True,59.3,0.0,0.0,0.0,0.0,12.5
42,True,59.9,0.0,0.0,0.0,0.0,13.3
43,True,60.85,0.0,0.0,0.0,0.0,6.2
44,True,60.0,0.0,0.0,0.0,0.0,6.2
45,True,60.55,0.0,0.0,0.0,0.0,6.2
46,True,62.1,0.0,0.0,0.0,0.0,12.5
47,True,63.15,0.0,0.0,0.0,0.0,6.2
48,True,63.15,0.0,0.0,0.0,0.0,6.2
49,True,62.9,0.0,0.0,0.0,0.0,6.2
50,True,62.85,0.0,0.0,0.0,0.0,13.3
51,True,63.95,0.0,0.0,0.0,0.0,6.2
52,True,64.2,0.0,0.0,0.0,0.0,6.2
53,True,64.15,0.0,0.0,0.0,0.0,6.2
54,True,65.1,0.0,0.0,0.0,0.0,12.5
55,True,65.2,0.0,0.0,0.0,0.0,12.5
56,True,66.25,0.0,0.0,0.0,0.0,12.5
57,True,66.4,0.0,0.0,0.0,0.0,12.5
58,True,68.5,0.0,0.0,0.0,0.0,6.2
59,True,68.95,0.0,0.0,0.0,0.0,0.0
