round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,85.4,0.0,0.0,0.0,0.0,6.2
1,False,87.65,0.0,0.0,0.0,0.0,6.2
2,False,88.6,0.0,0.0,0.0,0.0,6.2
3,False,88.85,0.0,0.0,0.0,0.0,12.5
4,False,88.9,25.0,0.0,0.0,25.0,6.2
5,False,88.95,0.0,0.0,0.0,0.0,6.7
6,False,88.95,0.0,0.0,0.0,0.0,6.7
7,False,89.1,0.0,0.0,0.0,0.0,6.2
8,False,89.15,0.0,0.0,0.0,0.0,12.5
9,False,89.35,0.0,0.0,0.0,0.0,6.2
10,False,89.35,0.0,0.0,0.0,0.0,12.5
11,False,89.7,0.0,0.0,0.0,0.0,0.0
12,False,89.8,0.0,0.0,0.0,0.0,13.3
13,False,89.9,0.0,0.0,0.0,0.0,0.0
14,False,89.9,0.0,0.0,0.0,0.0,6.7
15,False,90.1,0.0,0.0,0.0,0.0,6.2
16,False,90.15,0.0,0.0,0.0,0.0,6.2
17,False,90.2,0.0,0.0,0.0,0.0,0.0
18,False,90.2,0.0,0.0,0.0,0.0,12.5
19,False,90.25,25.0,0.0,0.0,25.0,6.2
20,True,90.25,0.0,0.0,0.0,0.0,0.0
21,True,90.25,0.0,0.0,0.0,0.0,6.2
22,True,90.25,0.0,0.0,0.0,0.0,6.2
23,True,90.25,0.0,0.0,0.0,0.0,6.2
24,True,90.25,0.0,0.0,0.0,0.0,0.0
25,True,90.3,0.0,0.0,0.0,0.0,0.0
26,True,90.3,0.0,0.0,0.0,0.0,0.0
27,True,90.3,0.0,0.0,0.0,0.0,0.0
28,True,90.4,0.0,0.0,0.0,0.0,0.0
29,True,90.4,0.0,0.0,0.0,0.0,6.2
30,True,90.4,0.0,0.0,0.0,0.0,6.2
31,True,90.45,0.0,0.0,0.0,0.0,6.2
32,True,90.4,0.0,0.0,0.0,0.0,0.0
33,True,90.45,0.0,0.0,0.0,0.0,6.2
34,True,90.4,0.0,0.0,0.0,0.0,6.2
35,True,90.45,0.0,0.0,0.0,0.0,12.5
36,True,90.35,0.0,0.0,0.0,0.0,0.0
37,True,90.4,0.0,0.0,0.0,0.0,0.0
38,True,90.4,0.0,0.0,0.0,0.0,6.2
39,True,90.4,0.0,0.0,0.0,0.0,0.0
40,True,90.4,0.0,0.0,0.0,0.0,12.5
41,True,90.45,0.0,0.0,0.0,0.0,0.0
42,True,90.45,0.0,0.0,0.0,0.0,0.0
43,True,90.45,0.0,0.0,0.0,0.0,0.0
44,True,90.5,0.0,0.0,0.0,0.0,6.2
45,True,90.5,0.0,0.0,0.0,0.0,0.0
46,True,90.5,0.0,0.0,0.0,0.0,0.0
47,True,90.55,0.0,0.0,0.0,0.0,0.0
48,True,90.6,0.0,0.0,0.0,0.0,6.2
49,True,90.55,0.0,0.0,0.0,0.0,0.0
50,True,90.55,0.0,0.0,0.0,0.0,13.3
51,True,90.6,0.0,0.0,0.0,0.0,6.2
52,True,90.6,0.0,0.0,0.0,0.0,0.0
53,True,90.65,0.0,0.0,0.0,0.0,0.0
54,True,90.7,0.0,0.0,0.0,0.0,12.5
55,True,90.7,0.0,0.0,0.0,0.0,0.0
56,True,90.7,0.0,0.0,0.0,0.0,0.0
57,True,90.75,0.0,0.0,0.0,0.0,0.0
58,True,90.75,0.0,0.0,0.0,0.0,6.2
59,True,90.75,0.0,0.0,0.0,0.0,0.0
