round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,50.6,0.0,0.0,0.0,0.0,6.2
1,False,62.2,0.0,0.0,0.0,0.0,12.5
2,False,70.55,0.0,50.0,0.0,50.0,6.2
3,False,76.85,0.0,25.0,0.0,25.0,12.5
4,False,76.7,25.0,25.0,0.0,50.0,25.0
5,False,79.95,0.0,25.0,0.0,25.0,13.3
6,False,81.7,0.0,0.0,0.0,0.0,26.7
7,False,83.15,0.0,25.0,0.0,25.0,37.5
8,False,83.6,0.0,50.0,0.0,50.0,37.5
9,False,84.55,0.0,0.0,0.0,0.0,31.2
10,False,87.05,0.0,0.0,0.0,0.0,43.8
11,False,87.85,0.0,50.0,0.0,50.0,12.5
12,False,87.85,0.0,25.0,0.0,25.0,40.0
13,False,89.0,0.0,25.0,0.0,25.0,25.0
14,False,88.75,0.0,100.0,0.0,100.0,33.3
15,False,89.25,0.0,25.0,0.0,25.0,25.0
16,False,89.4,0.0,50.0,25.0,50.0,25.0
17,False,89.0,0.0,0.0,0.0,0.0,25.0
18,False,89.3,0.0,50.0,50.0,50.0,25.0
19,False,89.85,25.0,0.0,0.0,25.0,18.8
20,True,89.9,0.0,0.0,0.0,0.0,31.2
21,True,89.9,0.0,0.0,0.0,0.0,37.5
22,True,90.15,0.0,0.0,0.0,0.0,43.8
23,True,90.1,0.0,0.0,0.0,0.0,12.5
24,True,90.2,0.0,0.0,0.0,0.0,25.0
25,True,90.15,0.0,0.0,0.0,0.0,33.3
26,True,90.25,0.0,0.0,0.0,0.0,6.7
27,True,90.3,0.0,0.0,0.0,0.0,25.0
28,True,90.3,0.0,0.0,0.0,0.0,20.0
29,True,90.3,0.0,0.0,0.0,0.0,18.8
30,True,90.3,0.0,0.0,0.0,0.0,18.8
31,True,90.35,0.0,0.0,0.0,0.0,18.8
32,True,90.3,0.0,0.0,0.0,0.0,37.5
33,True,90.35,0.0,0.0,0.0,0.0,25.0
34,True,90.35,0.0,0.0,0.0,0.0,12.5
35,True,90.4,0.0,0.0,0.0,0.0,43.8
36,True,90.25,0.0,0.0,0.0,0.0,6.2
37,True,90.35,0.0,0.0,0.0,0.0,12.5
38,True,90.3,0.0,0.0,0.0,0.0,25.0
39,True,90.4,0.0,0.0,25.0,25.0,25.0
40,True,90.4,0.0,0.0,0.0,0.0,31.2
41,True,90.35,0.0,0.0,0.0,0.0,25.0
42,True,90.35,0.0,0.0,0.0,0.0,26.7
43,True,90.3,0.0,0.0,0.0,0.0,25.0
44,True,90.35,0.0,0.0,0.0,0.0,31.2
45,True,90.35,0.0,0.0,0.0,0.0,31.2
46,True,90.55,0.0,0.0,0.0,0.0,25.0
47,True,90.5,0.0,0.0,0.0,0.0,18.8
48,True,90.55,0.0,0.0,0.0,0.0,37.5
49,True,90.55,0.0,0.0,0.0,0.0,37.5
50,True,90.45,0.0,0.0,0.0,0.0,40.0
51,True,90.4,0.0,0.0,0.0,0.0,12.5
52,True,90.45,0.0,0.0,0.0,0.0,37.5
53,True,90.5,0.0,0.0,0.0,0.0,25.0
54,True,90.5,0.0,0.0,0.0,0.0,18.8
55,True,90.5,0.0,0.0,0.0,0.0,12.5
56,True,90.4,0.0,0.0,0.0,0.0,37.5
57,True,90.55,0.0,0.0,0.0,0.0,25.0
58,True,90.4,0.0,0.0,0.0,0.0,18.8
59,True,90.4,0.0,0.0,0.0,0.0,37.5
