round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,44.85,0.0,0.0,0.0,0.0,12.5
1,False,59.9,0.0,0.0,0.0,0.0,6.2
2,False,69.2,0.0,0.0,0.0,0.0,6.2
3,False,74.4,0.0,25.0,0.0,25.0,31.2
4,False,71.45,25.0,50.0,0.0,75.0,37.5
5,False,72.85,0.0,25.0,0.0,25.0,40.0
6,False,75.6,0.0,25.0,0.0,25.0,46.7
7,False,73.8,0.0,50.0,0.0,50.0,62.5
8,False,72.15,0.0,75.0,0.0,75.0,56.2
9,False,71.5,0.0,50.0,0.0,50.0,56.2
10,False,73.35,0.0,75.0,0.0,75.0,81.2
11,False,71.7,0.0,75.0,0.0,75.0,56.2
12,False,69.75,0.0,75.0,0.0,75.0,60.0
13,False,70.6,0.0,50.0,0.0,50.0,56.2
14,False,69.55,0.0,100.0,0.0,100.0,53.3
15,False,70.65,0.0,75.0,0.0,75.0,43.8
16,False,69.8,0.0,100.0,25.0,100.0,62.5
17,False,67.45,0.0,0.0,0.0,0.0,50.0
18,False,67.6,0.0,50.0,25.0,50.0,62.5
19,False,66.45,25.0,50.0,0.0,75.0,81.2
20,True,68.35,0.0,0.0,0.0,0.0,56.2
21,True,68.45,0.0,50.0,0.0,50.0,75.0
22,True,66.85,0.0,25.0,0.0,25.0,68.8
23,True,67.9,0.0,25.0,25.0,25.0,62.5
24,True,66.15,0.0,75.0,0.0,75.0,62.5
25,True,65.35,0.0,0.0,0.0,0.0,53.3
26,True,65.25,0.0,0.0,0.0,0.0,53.3
27,True,65.1,0.0,0.0,0.0,0.0,56.2
28,True,65.4,0.0,25.0,25.0,25.0,73.3
29,True,65.65,0.0,0.0,0.0,0.0,56.2
30,True,64.9,0.0,25.0,0.0,25.0,81.2
31,True,65.35,0.0,0.0,0.0,0.0,50.0
32,True,64.75,0.0,0.0,0.0,0.0,68.8
33,True,64.4,0.0,0.0,0.0,0.0,56.2
34,True,64.5,0.0,0.0,0.0,0.0,43.8
35,True,65.0,0.0,0.0,0.0,0.0,68.8
36,True,65.2,0.0,0.0,0.0,0.0,56.2
37,True,65.1,0.0,0.0,0.0,0.0,37.5
38,True,65.0,0.0,0.0,0.0,0.0,68.8
39,True,65.45,0.0,0.0,25.0,25.0,62.5
40,True,65.0,0.0,0.0,0.0,0.0,81.2
41,True,65.65,0.0,0.0,0.0,0.0,62.5
42,True,66.25,0.0,0.0,0.0,0.0,66.7
43,True,66.35,0.0,0.0,0.0,0.0,75.0
44,True,66.3,0.0,25.0,0.0,25.0,43.8
45,True,66.55,0.0,0.0,0.0,0.0,62.5
46,True,66.75,0.0,0.0,0.0,0.0,68.8
47,True,67.3,0.0,0.0,0.0,0.0,68.8
48,True,67.05,0.0,0.0,0.0,0.0,56.2
49,True,67.2,0.0,0.0,0.0,0.0,75.0
50,True,67.1,0.0,0.0,0.0,0.0,66.7
51,True,68.0,0.0,0.0,0.0,0.0,56.2
52,True,67.85,0.0,0.0,0.0,0.0,62.5
53,True,67.9,0.0,0.0,0.0,0.0,56.2
54,True,67.8,0.0,0.0,0.0,0.0,56.2
55,True,68.0,0.0,0.0,0.0,0.0,56.2
56,True,68.4,0.0,0.0,0.0,0.0,68.8
57,True,68.6,0.0,0.0,0.0,0.0,50.0
58,True,69.65,0.0,0.0,0.0,0.0,75.0
59,True,69.95,0.0,25.0,0.0,25.0,93.8
