n_clients,Method,Avg (ms),Std (ms),Overhead (×),Complexity
20,FedAvg,0.06,0.02,1.0,O(nd)
20,Multi-Krum,0.3,0.03,5.08,O(n²d)
20,TrimmedMean,0.03,0.0,0.51,O(nd log n)
20,Bulyan,0.29,0.02,4.86,O(n²d)
20,RFVIR,0.24,0.03,4.09,O(nd)
20,FLAME,6.92,1.97,117.72,O(nd + n² )
20,Ours,8.21,2.09,139.55,O(nd + n·m)
50,FedAvg,0.08,0.0,1.0,O(nd)
50,Multi-Krum,0.76,0.04,9.67,O(n²d)
50,TrimmedMean,0.06,0.01,0.77,O(nd log n)
50,Bulyan,0.89,0.3,11.34,O(n²d)
50,RFVIR,0.41,0.01,5.14,O(nd)
50,FLAME,7.99,0.68,101.26,O(nd + n² )
50,Ours,16.97,2.75,215.15,O(nd + n·m)
100,FedAvg,0.26,0.1,1.0,O(nd)
100,Multi-Krum,1.97,0.42,7.67,O(n²d)
100,TrimmedMean,0.11,0.02,0.42,O(nd log n)
100,Bulyan,2.18,0.42,8.52,O(n²d)
100,RFVIR,0.81,0.2,3.17,O(nd)
100,FLAME,9.1,0.28,35.53,O(nd + n² )
100,Ours,31.49,3.66,122.88,O(nd + n·m)
200,FedAvg,0.28,0.01,1.0,O(nd)
200,Multi-Krum,5.3,0.75,18.78,O(n²d)
200,TrimmedMean,0.18,0.02,0.63,O(nd log n)
200,Bulyan,4.81,0.63,17.06,O(n²d)
200,RFVIR,1.36,0.37,4.81,O(nd)
200,FLAME,12.66,1.97,44.85,O(nd + n² )
200,Ours,62.52,5.51,221.48,O(nd + n·m)
