dataset,attack,round,client_id,is_byzantine,kappa,semantic_shift,p_fraud_client,p_fraud_global,gradient_dist,flagged_kappa,flagged_gradient,z_score
foursquare,grad-p,0,30,False,-0.0708,0.592,0.038,0.63,6.8057,False,False,0.4632
foursquare,grad-p,0,0,False,-0.0668,0.572,0.058,0.63,5.9225,False,False,0.4637
foursquare,grad-p,0,22,False,0.0,0.63,0.0,0.63,7.6987,False,False,0.4628
foursquare,grad-p,0,31,False,0.0,0.63,0.0,0.63,8.2679,False,False,0.4634
foursquare,grad-p,0,18,False,-0.1003,0.234,0.864,0.63,9.1078,False,False,0.4652
foursquare,grad-p,0,28,False,-0.0473,0.55,0.08,0.63,12.4588,False,False,0.4598
foursquare,grad-p,0,10,False,-0.051,0.388,0.242,0.63,9.4478,False,False,0.4622
foursquare,grad-p,0,70,False,-0.1793,0.366,0.264,0.63,6.1374,True,False,0.4657
foursquare,grad-p,0,4,False,0.0,0.37,1.0,0.63,7.6799,False,False,0.4673
foursquare,grad-p,0,12,False,0.0,0.63,0.0,0.63,6.4457,False,False,0.4635
foursquare,grad-p,0,49,False,-0.0543,0.6,0.03,0.63,10.3025,False,False,0.4608
foursquare,grad-p,0,33,False,0.0,0.63,0.0,0.63,7.3461,False,False,0.4635
foursquare,grad-p,0,67,False,-0.0639,0.564,0.066,0.63,9.9225,False,False,0.4613
foursquare,grad-p,0,35,False,-0.0602,0.594,0.036,0.63,6.8979,False,False,0.4631
foursquare,grad-p,0,68,False,-0.0543,0.6,0.03,0.63,7.8898,False,False,0.4623
foursquare,grad-p,0,45,False,-0.0387,0.362,0.268,0.63,8.7837,False,False,0.4625
foursquare,grad-p,0,81,True,-0.1171,0.23,0.86,0.63,3339.1558,False,False,1.7026
foursquare,grad-p,0,84,True,0.0056,0.362,0.992,0.63,1687.258,False,False,0.6283
foursquare,grad-p,0,85,True,-0.0783,0.554,0.076,0.63,3961.2755,False,True,2.1071
foursquare,grad-p,0,83,True,0.03,0.578,0.052,0.63,5291.5343,False,True,2.9722
foursquare,grad-p,1,23,False,-0.066,0.076,0.042,0.118,14.7878,False,False,0.4843
foursquare,grad-p,1,39,False,0.0,0.118,0.0,0.118,6.7318,False,False,0.4893
foursquare,grad-p,1,69,False,-0.0415,0.094,0.024,0.118,7.173,False,False,0.4889
foursquare,grad-p,1,74,False,0.0,0.118,0.0,0.118,16.987,False,False,0.4839
foursquare,grad-p,1,0,False,-0.061,0.08,0.038,0.118,6.323,False,False,0.4895
foursquare,grad-p,1,1,False,-0.053,0.086,0.032,0.118,10.7003,False,False,0.4874
foursquare,grad-p,1,38,False,0.0,0.118,0.0,0.118,5.5936,False,False,0.4904
foursquare,grad-p,1,45,False,-0.1176,0.196,0.314,0.118,9.5615,False,False,0.4885
foursquare,grad-p,1,72,False,-0.1057,0.426,0.544,0.118,10.8606,False,False,0.4896
foursquare,grad-p,1,63,False,-0.061,0.08,0.038,0.118,12.7433,False,False,0.4856
foursquare,grad-p,1,8,False,0.0,0.118,0.0,0.118,8.219,False,False,0.4895
foursquare,grad-p,1,13,False,0.0,0.118,0.0,0.118,6.3518,False,False,0.4897
foursquare,grad-p,1,15,False,0.0,0.882,1.0,0.118,10.5441,False,False,0.4905
foursquare,grad-p,1,41,False,-0.0635,0.078,0.04,0.118,7.9457,False,False,0.4885
foursquare,grad-p,1,54,False,0.0759,0.026,0.092,0.118,9.6001,False,False,0.4877
foursquare,grad-p,1,5,False,0.0,0.118,0.0,0.118,5.5324,False,False,0.4922
foursquare,grad-p,1,94,True,-0.0766,0.316,0.434,0.118,2928.5643,False,False,1.3232
foursquare,grad-p,1,82,True,-0.0512,0.502,0.62,0.118,4901.6287,False,True,2.548
foursquare,grad-p,1,95,True,-0.0453,0.012,0.106,0.118,3518.8894,False,False,1.6896
foursquare,grad-p,1,96,True,-0.1384,0.56,0.678,0.118,4429.4977,False,True,2.2549
foursquare,grad-p,2,49,False,-0.0292,0.018,0.022,0.04,9.957,False,False,0.4977
foursquare,grad-p,2,43,False,0.0613,0.03,0.07,0.04,5.5663,False,False,0.5018
foursquare,grad-p,2,38,False,0.0,0.04,0.0,0.04,6.2318,False,False,0.5006
foursquare,grad-p,2,46,False,-0.0307,0.37,0.41,0.04,9.8154,False,False,0.4989
foursquare,grad-p,2,79,False,-0.0234,0.024,0.016,0.04,18.6789,False,False,0.4935
foursquare,grad-p,2,24,False,0.0,0.96,1.0,0.04,12.7835,False,False,0.4992
foursquare,grad-p,2,19,False,-0.0696,0.134,0.174,0.04,5.5203,True,False,0.5028
foursquare,grad-p,2,62,False,0.0039,0.006,0.046,0.04,14.1075,False,False,0.4953
foursquare,grad-p,2,56,False,-0.0399,0.366,0.406,0.04,9.9783,False,False,0.4984
foursquare,grad-p,2,73,False,-0.0052,0.016,0.056,0.04,9.1702,False,False,0.498
foursquare,grad-p,2,32,False,0.0,0.04,0.0,0.04,7.8231,False,False,0.4993
foursquare,grad-p,2,77,False,-0.0231,0.248,0.288,0.04,6.632,False,False,0.5011
foursquare,grad-p,2,39,False,-0.0325,0.014,0.026,0.04,7.8248,False,False,0.4992
foursquare,grad-p,2,7,False,-0.0183,0.288,0.328,0.04,6.8563,False,False,0.5008
foursquare,grad-p,2,63,False,-0.0497,0.018,0.058,0.04,12.5462,False,False,0.4962
foursquare,grad-p,2,42,False,-0.0626,0.072,0.112,0.04,6.5486,False,False,0.4999
foursquare,grad-p,2,91,True,-0.0012,0.62,0.66,0.04,4303.6968,False,True,2.056
foursquare,grad-p,2,80,True,-0.0482,0.014,0.054,0.04,3950.027,False,False,1.8456
foursquare,grad-p,2,87,True,0.008,0.414,0.454,0.04,3995.9485,False,False,1.8729
foursquare,grad-p,2,88,True,0.0117,0.792,0.832,0.04,4559.3047,False,True,2.2081
foursquare,grad-p,3,55,False,0.0,0.03,0.0,0.03,23.2217,False,False,0.4881
foursquare,grad-p,3,25,False,0.0,0.03,0.0,0.03,8.2204,False,False,0.4975
foursquare,grad-p,3,10,False,-0.0514,0.102,0.132,0.03,8.3262,True,False,0.4969
foursquare,grad-p,3,19,False,0.0054,0.152,0.182,0.03,5.9122,False,False,0.5011
foursquare,grad-p,3,45,False,-0.0169,0.344,0.374,0.03,8.3162,False,False,0.4971
foursquare,grad-p,3,1,False,-0.0298,0.002,0.028,0.03,9.6572,True,False,0.4955
foursquare,grad-p,3,73,False,-0.0383,0.018,0.048,0.03,8.9043,True,False,0.4962
foursquare,grad-p,3,21,False,0.0089,0.844,0.874,0.03,10.5534,False,False,0.4982
foursquare,grad-p,3,54,False,-0.0446,0.044,0.074,0.03,9.4277,True,False,0.4959
foursquare,grad-p,3,2,False,-0.0287,0.004,0.026,0.03,9.6787,True,False,0.4957
foursquare,grad-p,3,20,False,-0.0329,0.004,0.034,0.03,11.0866,True,False,0.4947
foursquare,grad-p,3,33,False,0.0,0.03,0.0,0.03,7.8856,False,False,0.4977
foursquare,grad-p,3,29,False,0.0,0.03,0.0,0.03,6.4646,False,False,0.4983
foursquare,grad-p,3,62,False,-0.0033,0.042,0.072,0.03,11.6866,False,False,0.4943
foursquare,grad-p,3,7,False,0.0084,0.32,0.35,0.03,6.8004,False,False,0.4992
foursquare,grad-p,3,77,False,-0.0001,0.304,0.334,0.03,6.5556,False,False,0.4995
foursquare,grad-p,3,80,True,0.0005,0.962,0.992,0.03,3915.4514,False,True,2.027
foursquare,grad-p,3,81,True,-0.0421,0.032,0.062,0.03,3514.8348,True,False,1.7681
foursquare,grad-p,3,88,True,0.0,0.03,0.0,0.03,4486.4948,False,True,2.396
foursquare,grad-p,3,95,True,-0.0508,0.094,0.124,0.03,3493.759,True,False,1.7545
foursquare,grad-p,4,47,False,0.0,0.034,0.034,0.0,8.9484,False,False,0.4557
foursquare,grad-p,4,78,False,0.0,0.468,0.468,0.0,7.6623,False,False,0.4564
foursquare,grad-p,4,36,False,0.0,0.232,0.232,0.0,6.3745,False,False,0.4571
foursquare,grad-p,4,51,False,0.0,0.346,0.346,0.0,7.062,False,False,0.4564
foursquare,grad-p,4,44,False,1.0,0.0,0.0,0.0,8.036,False,False,0.4576
foursquare,grad-p,4,13,False,1.0,0.0,0.0,0.0,8.6647,False,False,0.4564
foursquare,grad-p,4,10,False,0.0,0.302,0.302,0.0,8.8589,False,False,0.4554
foursquare,grad-p,4,75,False,0.0,1.0,1.0,0.0,4.6802,False,False,0.46
foursquare,grad-p,4,11,False,0.0,0.184,0.184,0.0,8.2265,False,False,0.4561
foursquare,grad-p,4,24,False,0.0,1.0,1.0,0.0,10.8673,False,False,0.4559
foursquare,grad-p,4,72,False,0.0,0.53,0.53,0.0,7.9799,False,False,0.4565
foursquare,grad-p,4,34,False,0.0,0.206,0.206,0.0,12.563,False,False,0.4533
foursquare,grad-p,4,33,False,1.0,0.0,0.0,0.0,8.9839,False,False,0.4563
foursquare,grad-p,4,45,False,0.0,0.352,0.352,0.0,7.9461,False,False,0.4558
