round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,54.1,0.0,0.0,0.0,0.0,0.0
1,False,67.55,0.0,0.0,0.0,0.0,0.0
2,False,66.75,0.0,0.0,0.0,0.0,0.0
3,False,66.35,0.0,0.0,0.0,0.0,0.0
4,False,80.4,0.0,0.0,0.0,0.0,0.0
5,False,77.6,0.0,0.0,0.0,0.0,0.0
6,False,79.4,0.0,0.0,0.0,0.0,0.0
7,False,79.5,0.0,0.0,0.0,0.0,0.0
8,False,79.65,0.0,0.0,0.0,0.0,0.0
9,False,77.1,0.0,0.0,0.0,0.0,0.0
10,False,75.75,0.0,0.0,0.0,0.0,0.0
11,False,73.6,0.0,0.0,0.0,0.0,0.0
12,False,73.25,0.0,0.0,0.0,0.0,0.0
13,False,72.4,0.0,0.0,0.0,0.0,0.0
14,False,70.8,0.0,0.0,0.0,0.0,0.0
15,False,68.3,0.0,0.0,0.0,0.0,6.7
16,False,71.65,0.0,0.0,0.0,0.0,0.0
17,False,70.3,0.0,0.0,0.0,0.0,0.0
18,False,69.3,0.0,0.0,0.0,0.0,0.0
19,False,68.1,0.0,0.0,0.0,0.0,0.0
20,True,67.95,0.0,0.0,0.0,0.0,0.0
21,True,67.25,0.0,0.0,0.0,0.0,0.0
22,True,67.55,0.0,0.0,0.0,0.0,0.0
23,True,66.85,0.0,0.0,0.0,0.0,0.0
24,True,67.05,0.0,0.0,0.0,0.0,0.0
25,True,66.85,0.0,0.0,0.0,0.0,0.0
26,True,66.85,0.0,0.0,0.0,0.0,0.0
27,True,66.5,0.0,0.0,0.0,0.0,0.0
28,True,66.2,0.0,0.0,0.0,0.0,6.7
29,True,65.3,0.0,0.0,0.0,0.0,0.0
30,True,64.4,0.0,0.0,0.0,0.0,0.0
31,True,63.9,0.0,0.0,0.0,0.0,0.0
32,True,63.6,0.0,0.0,0.0,0.0,0.0
33,True,63.95,0.0,0.0,0.0,0.0,0.0
34,True,64.1,0.0,0.0,0.0,0.0,0.0
35,True,65.05,0.0,0.0,0.0,0.0,0.0
36,True,65.35,0.0,0.0,0.0,0.0,0.0
37,True,64.95,0.0,0.0,0.0,0.0,0.0
38,True,64.85,0.0,0.0,0.0,0.0,0.0
39,True,64.0,0.0,0.0,0.0,0.0,0.0
40,True,64.35,0.0,0.0,0.0,0.0,0.0
41,True,64.4,0.0,0.0,0.0,0.0,0.0
42,True,64.0,0.0,0.0,0.0,0.0,0.0
43,True,63.6,0.0,0.0,0.0,0.0,0.0
44,True,63.45,0.0,0.0,0.0,0.0,0.0
45,True,63.65,0.0,0.0,0.0,0.0,0.0
46,True,63.95,0.0,0.0,0.0,0.0,0.0
47,True,63.6,0.0,0.0,0.0,0.0,0.0
48,True,63.8,0.0,0.0,0.0,0.0,0.0
49,True,64.35,0.0,0.0,0.0,0.0,0.0
50,True,64.35,0.0,0.0,0.0,0.0,0.0
51,True,64.25,0.0,0.0,0.0,0.0,0.0
52,True,64.4,0.0,0.0,0.0,0.0,0.0
53,True,63.8,0.0,0.0,0.0,0.0,0.0
54,True,64.0,0.0,0.0,0.0,0.0,0.0
55,True,63.65,0.0,0.0,0.0,0.0,0.0
56,True,63.1,0.0,0.0,0.0,0.0,0.0
57,True,62.85,0.0,0.0,0.0,0.0,0.0
58,True,62.65,0.0,0.0,0.0,0.0,0.0
59,True,62.65,0.0,0.0,0.0,0.0,0.0
