round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,49.1,0.0,0.0,0.0,0.0,0.0
1,False,64.6,0.0,0.0,0.0,0.0,6.2
2,False,84.2,0.0,25.0,0.0,25.0,18.8
3,False,94.85,0.0,25.0,0.0,25.0,18.8
4,False,96.4,0.0,0.0,0.0,0.0,12.5
5,False,96.45,0.0,25.0,0.0,25.0,25.0
6,False,96.45,0.0,50.0,0.0,50.0,6.2
7,False,96.45,0.0,25.0,0.0,25.0,6.2
8,False,96.45,0.0,25.0,0.0,25.0,18.8
9,False,96.45,0.0,25.0,0.0,25.0,18.8
10,False,96.45,0.0,25.0,25.0,25.0,33.3
11,False,96.45,0.0,0.0,0.0,0.0,18.8
12,False,96.45,0.0,25.0,0.0,25.0,6.2
13,False,96.45,0.0,25.0,25.0,25.0,18.8
14,False,96.45,0.0,0.0,0.0,0.0,25.0
15,False,96.45,0.0,0.0,0.0,0.0,20.0
16,False,96.45,0.0,0.0,0.0,0.0,25.0
17,False,96.45,0.0,25.0,0.0,25.0,25.0
18,False,96.45,0.0,25.0,0.0,25.0,13.3
19,False,96.45,0.0,0.0,0.0,0.0,6.2
20,True,96.45,0.0,25.0,25.0,50.0,12.5
21,True,96.45,0.0,0.0,0.0,0.0,12.5
22,True,96.45,0.0,75.0,0.0,75.0,13.3
23,True,96.45,0.0,25.0,0.0,25.0,18.8
24,True,96.45,0.0,25.0,0.0,25.0,6.7
25,True,96.45,0.0,25.0,0.0,25.0,25.0
26,True,96.45,0.0,0.0,0.0,0.0,13.3
27,True,96.45,0.0,25.0,0.0,25.0,6.2
28,True,96.45,0.0,50.0,0.0,50.0,26.7
29,True,96.45,0.0,0.0,0.0,0.0,12.5
30,True,96.45,0.0,25.0,0.0,25.0,12.5
31,True,96.45,0.0,50.0,0.0,50.0,18.8
32,True,96.45,0.0,0.0,0.0,0.0,12.5
33,True,96.45,0.0,50.0,0.0,50.0,6.2
34,True,96.45,0.0,0.0,0.0,0.0,6.2
35,True,96.45,0.0,25.0,0.0,25.0,12.5
36,True,96.45,0.0,0.0,0.0,0.0,6.2
37,True,96.45,0.0,25.0,0.0,25.0,18.8
38,True,96.45,0.0,50.0,25.0,50.0,18.8
39,True,96.45,0.0,0.0,0.0,0.0,31.2
40,True,96.45,0.0,25.0,0.0,25.0,6.2
41,True,96.45,0.0,50.0,0.0,50.0,6.2
42,True,96.45,0.0,50.0,25.0,50.0,6.2
43,True,96.45,0.0,25.0,0.0,25.0,18.8
44,True,96.45,0.0,25.0,0.0,25.0,6.2
45,True,96.45,0.0,50.0,25.0,50.0,12.5
46,True,96.45,25.0,0.0,0.0,25.0,6.2
47,True,96.45,0.0,25.0,25.0,25.0,18.8
48,True,96.45,0.0,25.0,0.0,25.0,20.0
49,True,96.45,0.0,50.0,25.0,50.0,25.0
50,True,96.45,0.0,25.0,0.0,25.0,12.5
51,True,96.45,0.0,25.0,25.0,25.0,12.5
52,True,96.45,0.0,25.0,25.0,25.0,6.2
53,True,96.45,0.0,50.0,50.0,50.0,25.0
54,True,96.45,0.0,50.0,50.0,50.0,18.8
55,True,96.45,0.0,75.0,25.0,75.0,25.0
56,True,96.45,0.0,25.0,0.0,25.0,6.2
57,True,96.45,0.0,0.0,25.0,25.0,31.2
58,True,96.45,0.0,0.0,0.0,0.0,12.5
59,True,96.45,0.0,0.0,0.0,0.0,25.0
