round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,95.35,0.0,0.0,0.0,0.0,0.0
1,False,96.45,0.0,0.0,0.0,0.0,6.2
2,False,96.45,0.0,25.0,0.0,25.0,18.8
3,False,96.45,0.0,25.0,0.0,25.0,18.8
4,False,96.45,0.0,0.0,0.0,0.0,6.2
5,False,96.45,0.0,25.0,0.0,25.0,25.0
6,False,96.45,0.0,50.0,0.0,50.0,6.2
7,False,96.45,0.0,25.0,0.0,25.0,6.2
8,False,96.45,0.0,25.0,0.0,25.0,18.8
9,False,96.45,0.0,25.0,0.0,25.0,12.5
10,False,96.45,0.0,25.0,25.0,25.0,33.3
11,False,96.45,0.0,0.0,0.0,0.0,18.8
12,False,96.45,0.0,25.0,0.0,25.0,6.2
13,False,96.45,0.0,25.0,25.0,25.0,12.5
14,False,96.45,0.0,0.0,0.0,0.0,18.8
15,False,96.45,0.0,0.0,0.0,0.0,13.3
16,False,96.45,0.0,0.0,0.0,0.0,18.8
17,False,96.45,0.0,25.0,0.0,25.0,25.0
18,False,96.45,0.0,25.0,0.0,25.0,13.3
19,False,96.45,0.0,0.0,0.0,0.0,6.2
20,True,96.45,0.0,25.0,25.0,25.0,12.5
21,True,96.45,0.0,25.0,25.0,25.0,12.5
22,True,96.45,0.0,25.0,0.0,25.0,6.7
23,True,96.45,0.0,25.0,0.0,25.0,18.8
24,True,96.45,0.0,50.0,0.0,50.0,0.0
25,True,96.45,0.0,50.0,0.0,50.0,18.8
26,True,96.45,0.0,75.0,25.0,75.0,13.3
27,True,96.45,0.0,25.0,0.0,25.0,6.2
28,True,96.45,0.0,50.0,0.0,50.0,20.0
29,True,96.45,0.0,75.0,25.0,75.0,12.5
30,True,96.45,0.0,50.0,0.0,50.0,18.8
31,True,96.45,0.0,25.0,25.0,25.0,18.8
32,True,96.45,0.0,75.0,0.0,75.0,12.5
33,True,96.45,0.0,50.0,0.0,50.0,6.2
34,True,96.45,0.0,50.0,0.0,50.0,6.2
35,True,96.45,0.0,75.0,25.0,75.0,18.8
36,True,96.45,0.0,0.0,0.0,0.0,12.5
37,True,96.45,0.0,25.0,0.0,25.0,18.8
38,True,96.45,0.0,75.0,25.0,75.0,18.8
39,True,96.45,0.0,25.0,0.0,25.0,25.0
40,True,96.45,0.0,50.0,0.0,50.0,6.2
41,True,96.45,0.0,25.0,25.0,50.0,6.2
42,True,96.45,0.0,50.0,25.0,50.0,6.2
43,True,96.45,0.0,25.0,0.0,25.0,12.5
44,True,96.45,0.0,50.0,0.0,50.0,6.2
45,True,96.45,0.0,25.0,0.0,25.0,18.8
46,True,96.45,0.0,25.0,0.0,25.0,12.5
47,True,96.45,0.0,0.0,25.0,25.0,18.8
48,True,96.45,0.0,0.0,25.0,25.0,6.7
49,True,96.45,0.0,75.0,25.0,75.0,18.8
50,True,96.45,0.0,25.0,0.0,25.0,6.2
51,True,96.45,0.0,50.0,25.0,75.0,12.5
52,True,96.45,0.0,50.0,25.0,50.0,6.2
53,True,96.45,0.0,50.0,25.0,50.0,25.0
54,True,96.45,0.0,50.0,50.0,50.0,18.8
55,True,96.45,0.0,50.0,25.0,50.0,31.2
56,True,96.45,0.0,0.0,0.0,0.0,12.5
57,True,96.45,0.0,0.0,25.0,25.0,31.2
58,True,96.45,0.0,25.0,0.0,25.0,12.5
59,True,96.45,0.0,50.0,0.0,50.0,25.0
