round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,54.1,0.0,0.0,0.0,0.0,0.0
1,False,63.7,0.0,0.0,0.0,0.0,31.2
2,False,71.75,0.0,50.0,0.0,50.0,43.8
3,False,72.3,0.0,50.0,0.0,50.0,68.8
4,False,80.0,0.0,75.0,0.0,75.0,62.5
5,False,81.6,0.0,50.0,0.0,50.0,56.2
6,False,82.35,0.0,50.0,0.0,50.0,62.5
7,False,83.1,0.0,50.0,0.0,50.0,50.0
8,False,82.9,0.0,25.0,0.0,25.0,56.2
9,False,82.45,0.0,50.0,0.0,50.0,56.2
10,False,82.1,0.0,75.0,0.0,75.0,53.3
11,False,82.2,0.0,75.0,0.0,75.0,50.0
12,False,82.65,0.0,50.0,0.0,50.0,43.8
13,False,81.6,0.0,75.0,0.0,75.0,75.0
14,False,81.95,0.0,50.0,0.0,50.0,43.8
15,False,82.3,0.0,50.0,0.0,50.0,73.3
16,False,82.4,0.0,100.0,25.0,100.0,50.0
17,False,81.75,0.0,75.0,0.0,75.0,56.2
18,False,81.7,0.0,50.0,50.0,50.0,66.7
19,False,81.8,0.0,50.0,50.0,50.0,62.5
20,True,81.8,0.0,0.0,0.0,0.0,50.0
21,True,81.6,0.0,0.0,0.0,0.0,75.0
22,True,81.6,0.0,0.0,0.0,0.0,73.3
23,True,81.15,0.0,0.0,0.0,0.0,75.0
24,True,81.45,0.0,0.0,0.0,0.0,66.7
25,True,81.4,0.0,0.0,0.0,0.0,62.5
26,True,81.4,0.0,0.0,0.0,0.0,73.3
27,True,81.35,0.0,0.0,0.0,0.0,62.5
28,True,81.2,0.0,0.0,0.0,0.0,66.7
29,True,80.75,0.0,0.0,0.0,0.0,87.5
30,True,80.55,0.0,0.0,0.0,0.0,68.8
31,True,80.55,0.0,0.0,0.0,0.0,50.0
32,True,80.55,0.0,0.0,0.0,0.0,68.8
33,True,80.8,0.0,0.0,0.0,0.0,68.8
34,True,81.05,0.0,0.0,0.0,0.0,75.0
35,True,81.05,0.0,0.0,0.0,0.0,87.5
36,True,81.05,0.0,0.0,0.0,0.0,87.5
37,True,80.9,0.0,0.0,0.0,0.0,68.8
38,True,80.9,0.0,0.0,0.0,0.0,75.0
39,True,80.1,0.0,0.0,25.0,25.0,62.5
40,True,80.3,0.0,0.0,0.0,0.0,75.0
41,True,80.25,0.0,0.0,0.0,0.0,100.0
42,True,80.15,0.0,0.0,0.0,0.0,87.5
43,True,79.9,0.0,0.0,0.0,0.0,75.0
44,True,79.8,0.0,0.0,0.0,0.0,87.5
45,True,80.05,0.0,0.0,0.0,0.0,62.5
46,True,80.1,0.0,0.0,0.0,0.0,75.0
47,True,79.8,0.0,0.0,0.0,0.0,75.0
48,True,79.9,0.0,0.0,0.0,0.0,80.0
49,True,79.8,0.0,0.0,0.0,0.0,68.8
50,True,79.8,0.0,0.0,0.0,0.0,62.5
51,True,79.75,0.0,0.0,0.0,0.0,68.8
52,True,79.85,0.0,0.0,0.0,0.0,75.0
53,True,79.7,0.0,0.0,0.0,0.0,75.0
54,True,79.6,0.0,0.0,0.0,0.0,81.2
55,True,79.65,0.0,0.0,0.0,0.0,75.0
56,True,79.4,0.0,0.0,0.0,0.0,87.5
57,True,79.4,0.0,0.0,0.0,0.0,50.0
58,True,79.3,0.0,0.0,0.0,0.0,62.5
59,True,79.3,0.0,0.0,0.0,0.0,43.8
