round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,39.8,0.0,75.0,0.0,75.0,100.0
1,False,40.85,0.0,100.0,0.0,100.0,93.8
2,False,52.15,0.0,75.0,0.0,75.0,100.0
3,False,54.7,0.0,75.0,0.0,75.0,87.5
4,False,60.0,0.0,100.0,0.0,100.0,93.8
5,False,65.7,0.0,100.0,0.0,100.0,100.0
6,False,68.75,0.0,100.0,0.0,100.0,100.0
7,False,67.3,0.0,100.0,0.0,100.0,93.8
8,False,70.0,0.0,75.0,0.0,75.0,93.8
9,False,70.65,0.0,100.0,0.0,100.0,100.0
10,False,71.55,0.0,100.0,0.0,100.0,93.3
11,False,72.8,0.0,100.0,25.0,100.0,81.2
12,False,73.65,0.0,100.0,0.0,100.0,81.2
13,False,74.1,0.0,100.0,0.0,100.0,87.5
14,False,74.3,0.0,75.0,0.0,75.0,75.0
15,False,75.25,0.0,100.0,50.0,100.0,86.7
16,False,75.5,0.0,100.0,50.0,100.0,62.5
17,False,74.85,0.0,100.0,25.0,100.0,87.5
18,False,75.6,0.0,50.0,50.0,50.0,80.0
19,False,75.95,0.0,75.0,50.0,75.0,68.8
20,True,76.4,0.0,100.0,50.0,100.0,62.5
21,True,77.05,0.0,50.0,25.0,50.0,87.5
22,True,77.0,0.0,25.0,25.0,25.0,80.0
23,True,76.9,0.0,50.0,50.0,50.0,93.8
24,True,77.35,0.0,50.0,50.0,50.0,73.3
25,True,77.7,0.0,25.0,25.0,50.0,68.8
26,True,77.9,0.0,25.0,0.0,25.0,80.0
27,True,77.85,0.0,25.0,50.0,50.0,75.0
28,True,78.1,0.0,50.0,50.0,50.0,80.0
29,True,78.15,0.0,50.0,25.0,50.0,93.8
30,True,77.95,0.0,75.0,25.0,75.0,81.2
31,True,78.4,0.0,25.0,25.0,25.0,81.2
32,True,78.9,0.0,50.0,25.0,50.0,81.2
33,True,79.0,0.0,25.0,25.0,25.0,87.5
34,True,79.35,0.0,25.0,25.0,50.0,81.2
35,True,79.4,0.0,50.0,50.0,50.0,87.5
36,True,79.25,0.0,75.0,25.0,75.0,75.0
37,True,79.25,0.0,25.0,25.0,25.0,62.5
38,True,79.3,0.0,75.0,50.0,75.0,81.2
39,True,79.25,0.0,50.0,100.0,100.0,75.0
40,True,79.6,0.0,25.0,50.0,50.0,75.0
41,True,79.35,0.0,25.0,75.0,75.0,100.0
42,True,79.3,0.0,25.0,0.0,25.0,75.0
43,True,79.3,0.0,25.0,25.0,50.0,62.5
44,True,79.7,0.0,25.0,0.0,25.0,87.5
45,True,79.45,0.0,0.0,25.0,25.0,68.8
46,True,79.85,0.0,0.0,25.0,25.0,62.5
47,True,80.05,0.0,50.0,0.0,50.0,81.2
48,True,80.1,0.0,50.0,50.0,50.0,80.0
49,True,79.95,0.0,50.0,75.0,75.0,68.8
50,True,80.2,0.0,25.0,75.0,75.0,62.5
51,True,80.1,0.0,25.0,50.0,50.0,68.8
52,True,80.25,0.0,25.0,25.0,25.0,62.5
53,True,80.25,0.0,25.0,0.0,25.0,81.2
54,True,80.1,0.0,0.0,0.0,0.0,75.0
55,True,80.0,0.0,0.0,0.0,0.0,81.2
56,True,80.3,0.0,0.0,75.0,75.0,81.2
57,True,80.4,0.0,50.0,50.0,50.0,62.5
58,True,80.5,0.0,25.0,25.0,25.0,75.0
59,True,80.55,0.0,50.0,50.0,50.0,56.2
