round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,87.15,0.0,75.0,0.0,75.0,93.8
1,False,88.2,0.0,100.0,0.0,100.0,81.2
2,False,87.5,0.0,75.0,0.0,75.0,93.8
3,False,84.6,0.0,75.0,0.0,75.0,87.5
4,False,85.05,0.0,100.0,0.0,100.0,81.2
5,False,83.8,0.0,75.0,0.0,75.0,93.8
6,False,84.2,0.0,100.0,0.0,100.0,81.2
7,False,84.15,0.0,100.0,0.0,100.0,62.5
8,False,84.5,0.0,100.0,0.0,100.0,75.0
9,False,84.5,0.0,100.0,0.0,100.0,68.8
10,False,84.45,0.0,75.0,0.0,75.0,93.3
11,False,84.35,0.0,100.0,25.0,100.0,75.0
12,False,84.5,0.0,100.0,0.0,100.0,75.0
13,False,84.45,0.0,100.0,0.0,100.0,87.5
14,False,84.4,0.0,75.0,0.0,75.0,68.8
15,False,84.85,0.0,75.0,25.0,75.0,86.7
16,False,84.45,0.0,100.0,50.0,100.0,56.2
17,False,84.0,0.0,75.0,25.0,75.0,81.2
18,False,84.1,0.0,75.0,50.0,75.0,73.3
19,False,84.25,0.0,50.0,50.0,50.0,68.8
20,True,84.2,0.0,75.0,0.0,75.0,75.0
21,True,84.2,0.0,75.0,50.0,75.0,87.5
22,True,84.1,0.0,25.0,25.0,25.0,73.3
23,True,83.9,0.0,75.0,75.0,75.0,93.8
24,True,84.05,0.0,50.0,50.0,50.0,73.3
25,True,84.1,0.0,25.0,0.0,25.0,68.8
26,True,84.25,0.0,25.0,0.0,25.0,60.0
27,True,84.25,0.0,0.0,25.0,25.0,68.8
28,True,84.2,0.0,25.0,50.0,50.0,66.7
29,True,84.4,0.0,25.0,0.0,25.0,93.8
30,True,84.25,0.0,50.0,25.0,50.0,62.5
31,True,84.3,0.0,25.0,25.0,25.0,75.0
32,True,84.45,0.0,25.0,0.0,25.0,75.0
33,True,84.45,0.0,50.0,25.0,50.0,68.8
34,True,84.55,0.0,25.0,25.0,25.0,75.0
35,True,84.55,0.0,0.0,0.0,0.0,75.0
36,True,84.55,0.0,0.0,0.0,0.0,68.8
37,True,84.5,0.0,25.0,0.0,25.0,68.8
38,True,84.35,0.0,25.0,25.0,50.0,75.0
39,True,84.15,0.0,50.0,75.0,75.0,62.5
40,True,84.25,0.0,0.0,25.0,25.0,68.8
41,True,84.35,0.0,25.0,25.0,25.0,93.8
42,True,84.4,0.0,0.0,0.0,0.0,75.0
43,True,84.35,0.0,25.0,0.0,25.0,75.0
44,True,84.4,0.0,25.0,0.0,25.0,93.8
45,True,84.25,0.0,25.0,0.0,25.0,75.0
46,True,84.3,0.0,50.0,25.0,50.0,75.0
47,True,84.2,0.0,25.0,0.0,25.0,87.5
48,True,84.35,0.0,25.0,25.0,25.0,73.3
49,True,84.25,0.0,0.0,0.0,0.0,68.8
50,True,84.35,0.0,25.0,0.0,25.0,56.2
51,True,83.95,0.0,25.0,50.0,50.0,62.5
52,True,83.95,0.0,50.0,25.0,50.0,75.0
53,True,83.8,0.0,0.0,0.0,0.0,75.0
54,True,83.6,0.0,0.0,0.0,0.0,75.0
55,True,83.6,0.0,0.0,0.0,0.0,62.5
56,True,83.85,0.0,25.0,25.0,25.0,87.5
57,True,83.7,0.0,50.0,50.0,75.0,56.2
58,True,83.85,0.0,0.0,0.0,0.0,68.8
59,True,83.8,0.0,0.0,25.0,25.0,43.8
