n_clients,Method,Avg (ms),Std (ms),Overhead (×),Complexity
20,FedAvg,0.04,0.0,1.0,O(nd)
20,Multi-Krum,0.27,0.01,6.92,O(n²d)
20,TrimmedMean,0.03,0.0,0.73,O(nd log n)
20,Bulyan,0.27,0.01,6.93,O(n²d)
20,RFVIR,0.25,0.05,6.45,O(nd)
20,FLAME,5.31,0.05,135.2,O(nd + n² )
20,Ours,5.67,0.23,144.2,O(nd + n·m)
50,FedAvg,0.08,0.0,1.0,O(nd)
50,Multi-Krum,0.68,0.01,8.83,O(n²d)
50,TrimmedMean,0.05,0.0,0.65,O(nd log n)
50,Bulyan,0.69,0.01,8.94,O(n²d)
50,RFVIR,0.36,0.01,4.72,O(nd)
50,FLAME,6.77,0.22,87.85,O(nd + n² )
50,Ours,13.9,0.44,180.4,O(nd + n·m)
100,FedAvg,0.14,0.0,1.0,O(nd)
100,Multi-Krum,1.64,0.02,11.4,O(n²d)
100,TrimmedMean,0.09,0.01,0.64,O(nd log n)
100,Bulyan,1.61,0.03,11.15,O(n²d)
100,RFVIR,0.6,0.02,4.15,O(nd)
100,FLAME,8.72,0.06,60.53,O(nd + n² )
100,Ours,28.03,1.05,194.64,O(nd + n·m)
200,FedAvg,0.28,0.0,1.0,O(nd)
200,Multi-Krum,4.29,0.17,15.49,O(n²d)
200,TrimmedMean,0.17,0.01,0.61,O(nd log n)
200,Bulyan,4.25,0.13,15.38,O(n²d)
200,RFVIR,1.23,0.2,4.46,O(nd)
200,FLAME,10.67,0.46,38.55,O(nd + n² )
200,Ours,55.59,5.33,200.94,O(nd + n·m)
