dataset,attack,round,client_id,is_byzantine,kappa,semantic_shift,p_fraud_client,p_fraud_global,gradient_dist,flagged_kappa,flagged_gradient,z_score
geolife,grad-p,0,30,False,0.0382,0.538,0.198,0.736,6.7985,False,False,0.4778
geolife,grad-p,0,0,False,0.0,0.736,0.0,0.736,4.3622,False,False,0.4752
geolife,grad-p,0,22,False,0.0371,0.598,0.138,0.736,5.119,False,False,0.479
geolife,grad-p,0,31,False,0.0176,0.682,0.054,0.736,5.9827,False,False,0.4779
geolife,grad-p,0,18,False,0.0,0.736,0.0,0.736,6.4938,False,False,0.4753
geolife,grad-p,0,28,False,0.0,0.736,0.0,0.736,6.6973,False,False,0.4733
geolife,grad-p,0,10,False,0.0916,0.52,0.216,0.736,5.967,False,False,0.4793
geolife,grad-p,0,70,False,0.0,0.736,0.0,0.736,4.5946,False,False,0.4794
geolife,grad-p,0,4,False,0.0,0.736,0.0,0.736,6.4801,False,False,0.4736
geolife,grad-p,0,12,False,0.0,0.736,0.0,0.736,6.2943,False,False,0.4736
geolife,grad-p,0,49,False,0.0,0.736,0.0,0.736,2.8392,False,False,0.4776
geolife,grad-p,0,33,False,0.0,0.736,0.0,0.736,3.0389,False,False,0.4766
geolife,grad-p,0,67,False,0.0,0.736,0.0,0.736,3.2434,False,False,0.4775
geolife,grad-p,0,35,False,0.0,0.736,0.0,0.736,4.6286,False,False,0.4754
geolife,grad-p,0,68,False,0.0725,0.634,0.102,0.736,6.0762,False,False,0.4749
geolife,grad-p,0,45,False,0.0,0.736,0.0,0.736,6.1023,False,False,0.474
geolife,grad-p,0,81,True,-0.0467,0.124,0.612,0.736,1619.845,True,False,0.8888
geolife,grad-p,0,84,True,-0.1539,0.08,0.656,0.736,3230.2464,True,True,2.2518
geolife,grad-p,0,85,True,-0.0011,0.73,0.006,0.736,2639.4257,True,False,1.7518
geolife,grad-p,0,83,True,-0.1761,0.38,0.356,0.736,3792.7684,True,True,2.7279
geolife,grad-p,1,23,False,-0.0569,0.172,0.132,0.304,5.1073,True,False,0.4482
geolife,grad-p,1,39,False,0.0,0.304,0.0,0.304,6.1442,False,False,0.4421
geolife,grad-p,1,69,False,0.0,0.304,0.0,0.304,5.2643,False,False,0.4448
geolife,grad-p,1,74,False,0.0396,0.272,0.032,0.304,4.9938,False,False,0.4481
geolife,grad-p,1,0,False,0.0,0.304,0.0,0.304,5.3436,False,False,0.4436
geolife,grad-p,1,1,False,0.0857,0.204,0.508,0.304,6.4625,False,False,0.448
geolife,grad-p,1,38,False,0.0,0.304,0.0,0.304,2.7035,False,False,0.4475
geolife,grad-p,1,45,False,0.0,0.304,0.0,0.304,5.8641,False,False,0.4424
geolife,grad-p,1,72,False,-0.1196,0.118,0.186,0.304,5.5863,True,False,0.4482
geolife,grad-p,1,63,False,-0.1046,0.128,0.176,0.304,6.7766,True,False,0.4457
geolife,grad-p,1,8,False,-0.0095,0.286,0.018,0.304,4.2067,False,False,0.4477
geolife,grad-p,1,13,False,0.0,0.304,0.0,0.304,6.4856,False,False,0.4418
geolife,grad-p,1,15,False,0.0,0.304,0.0,0.304,6.3669,False,False,0.4418
geolife,grad-p,1,41,False,0.0,0.304,0.0,0.304,4.9511,False,False,0.4493
geolife,grad-p,1,54,False,0.0,0.304,0.0,0.304,3.8046,False,False,0.4452
geolife,grad-p,1,5,False,0.0,0.304,0.0,0.304,6.2529,False,False,0.442
geolife,grad-p,1,94,True,0.0173,0.28,0.024,0.304,3287.4096,False,True,2.5725
geolife,grad-p,1,82,True,-0.062,0.258,0.046,0.304,1754.788,True,False,1.1629
geolife,grad-p,1,95,True,0.4281,0.116,0.188,0.304,3689.011,False,True,2.9418
geolife,grad-p,1,96,True,0.0202,0.288,0.016,0.304,978.7263,False,False,0.449
geolife,grad-p,2,49,False,0.0,0.026,0.0,0.026,2.8112,False,False,0.4854
geolife,grad-p,2,43,False,0.0,0.026,0.0,0.026,6.832,False,False,0.4819
geolife,grad-p,2,38,False,0.0,0.026,0.0,0.026,3.3559,False,False,0.4865
geolife,grad-p,2,46,False,-0.0198,0.11,0.136,0.026,6.5315,True,False,0.4835
geolife,grad-p,2,79,False,0.0,0.026,0.0,0.026,3.3778,False,False,0.4865
geolife,grad-p,2,24,False,0.0,0.026,0.0,0.026,4.501,False,False,0.4825
geolife,grad-p,2,19,False,0.0,0.026,0.0,0.026,5.1654,False,False,0.4822
geolife,grad-p,2,62,False,0.0,0.026,0.0,0.026,4.2442,False,False,0.4844
geolife,grad-p,2,56,False,-0.028,0.16,0.186,0.026,5.4644,True,False,0.4868
geolife,grad-p,2,73,False,0.0,0.974,1.0,0.026,8.5983,False,False,0.4871
geolife,grad-p,2,32,False,-0.0091,0.164,0.19,0.026,7.7929,True,False,0.4863
geolife,grad-p,2,77,False,0.0,0.026,0.0,0.026,6.2001,False,False,0.4814
geolife,grad-p,2,39,False,0.0,0.026,0.0,0.026,6.4034,False,False,0.4812
geolife,grad-p,2,7,False,0.0,0.026,0.0,0.026,6.5389,False,False,0.4811
geolife,grad-p,2,63,False,-0.0171,0.098,0.124,0.026,6.4558,True,False,0.4848
geolife,grad-p,2,42,False,0.0,0.026,0.0,0.026,5.7374,False,False,0.4829
geolife,grad-p,2,91,True,-0.0052,0.232,0.258,0.026,2680.3053,True,True,2.0262
geolife,grad-p,2,80,True,0.0058,0.876,0.902,0.026,2866.2097,False,True,2.2007
geolife,grad-p,2,87,True,-0.0165,0.096,0.122,0.026,1600.5014,True,False,1.0124
geolife,grad-p,2,88,True,-0.051,0.342,0.368,0.026,3190.9747,True,True,2.5056
geolife,grad-p,3,55,False,0.0,0.02,0.0,0.02,6.6957,False,False,0.4763
geolife,grad-p,3,25,False,0.0041,0.888,0.908,0.02,8.1705,False,False,0.4811
geolife,grad-p,3,10,False,0.104,0.194,0.214,0.02,5.7861,False,False,0.4812
geolife,grad-p,3,19,False,0.0,0.02,0.0,0.02,4.9483,False,False,0.477
geolife,grad-p,3,45,False,0.0,0.02,0.0,0.02,6.3051,False,False,0.4761
geolife,grad-p,3,1,False,0.0345,0.408,0.428,0.02,6.6035,False,False,0.4812
geolife,grad-p,3,73,False,0.0,0.98,1.0,0.02,8.5151,False,False,0.4812
geolife,grad-p,3,21,False,0.0,0.02,0.0,0.02,4.3955,False,False,0.4787
geolife,grad-p,3,54,False,0.0,0.02,0.0,0.02,3.4737,False,False,0.4784
geolife,grad-p,3,2,False,0.0531,0.408,0.428,0.02,6.9457,False,False,0.4815
geolife,grad-p,3,20,False,0.0,0.02,0.0,0.02,4.6675,False,False,0.4773
geolife,grad-p,3,33,False,0.0,0.02,0.0,0.02,3.6063,False,False,0.4787
geolife,grad-p,3,29,False,0.0,0.02,0.0,0.02,5.7339,False,False,0.4768
geolife,grad-p,3,62,False,0.0,0.02,0.0,0.02,3.8423,False,False,0.4788
geolife,grad-p,3,7,False,0.0,0.02,0.0,0.02,6.7029,False,False,0.4757
geolife,grad-p,3,77,False,0.0,0.02,0.0,0.02,6.7032,False,False,0.4758
geolife,grad-p,3,80,True,0.0056,0.86,0.88,0.02,2768.3504,False,False,1.8961
geolife,grad-p,3,81,True,0.0,0.98,1.0,0.02,1580.8563,False,False,0.8751
geolife,grad-p,3,88,True,-0.0152,0.008,0.012,0.02,3228.2525,True,True,2.2916
geolife,grad-p,3,95,True,-0.0289,0.678,0.698,0.02,3578.7681,True,True,2.593
geolife,grad-p,4,47,False,1.0,0.0,0.0,0.0,3.5631,False,False,0.4756
geolife,grad-p,4,78,False,1.0,0.0,0.0,0.0,2.9408,False,False,0.4763
geolife,grad-p,4,36,False,1.0,0.0,0.0,0.0,5.8349,False,False,0.4756
geolife,grad-p,4,51,False,1.0,0.0,0.0,0.0,2.9934,False,False,0.4763
geolife,grad-p,4,44,False,0.0,0.104,0.104,0.0,5.8426,True,False,0.477
geolife,grad-p,4,13,False,1.0,0.0,0.0,0.0,5.3959,False,False,0.4735
geolife,grad-p,4,10,False,0.0,0.208,0.208,0.0,6.3232,True,False,0.4786
geolife,grad-p,4,75,False,0.0,0.36,0.36,0.0,7.5961,True,False,0.4786
geolife,grad-p,4,11,False,1.0,0.0,0.0,0.0,3.0178,False,False,0.4762
geolife,grad-p,4,24,False,1.0,0.0,0.0,0.0,4.7976,False,False,0.4746
geolife,grad-p,4,72,False,0.0,0.16,0.16,0.0,6.2902,True,False,0.4787
geolife,grad-p,4,34,False,1.0,0.0,0.0,0.0,4.4657,False,False,0.4745
geolife,grad-p,4,33,False,1.0,0.0,0.0,0.0,3.7888,False,False,0.4764
geolife,grad-p,4,45,False,1.0,0.0,0.0,0.0,4.918,False,False,0.474
geolife,grad-p,4,21,False,1.0,0.0,0.0,0.0,3.127,False,False,0.4764
geolife,grad-p,4,66,False,1.0,0.0,0.0,0.0,7.6905,False,False,0.4743
geolife,grad-p,4,80,True,0.0,0.862,0.862,0.0,2860.633,True,False,1.7856
geolife,grad-p,4,82,True,0.0,0.866,0.866,0.0,1779.5723,True,False,0.929
geolife,grad-p,4,90,True,0.0,0.004,0.004,0.0,4196.0226,True,True,2.8439
geolife,grad-p,4,84,True,0.0,0.15,0.15,0.0,3204.3652,True,True,2.058
geolife,grad-p,5,70,False,1.0,0.0,0.0,0.0,3.4069,False,False,0.4933
geolife,grad-p,5,25,False,0.0,0.844,0.844,0.0,5.8264,False,False,0.4931
geolife,grad-p,5,14,False,0.0,0.166,0.166,0.0,6.7058,False,False,0.4901
geolife,grad-p,5,40,False,0.0,0.028,0.028,0.0,3.3318,False,False,0.4932
geolife,grad-p,5,73,False,0.0,1.0,1.0,0.0,6.3075,False,False,0.4931
geolife,grad-p,5,64,False,0.0,1.0,1.0,0.0,6.2079,False,False,0.4931
geolife,grad-p,5,42,False,1.0,0.0,0.0,0.0,7.3184,False,False,0.4893
geolife,grad-p,5,38,False,1.0,0.0,0.0,0.0,3.5652,False,False,0.4926
geolife,grad-p,5,77,False,1.0,0.0,0.0,0.0,7.9368,False,False,0.4887
geolife,grad-p,5,18,False,1.0,0.0,0.0,0.0,6.7474,False,False,0.4899
geolife,grad-p,5,29,False,1.0,0.0,0.0,0.0,6.2989,False,False,0.4897
geolife,grad-p,5,36,False,0.0,0.002,0.002,0.0,5.6069,False,False,0.4904
geolife,grad-p,5,75,False,0.0,0.308,0.308,0.0,5.0226,False,False,0.4931
geolife,grad-p,5,69,False,1.0,0.0,0.0,0.0,5.0793,False,False,0.4908
geolife,grad-p,5,5,False,1.0,0.0,0.0,0.0,8.1809,False,False,0.4886
geolife,grad-p,5,74,False,0.0,0.026,0.026,0.0,3.6831,False,False,0.4932
geolife,grad-p,5,84,True,0.0,0.616,0.616,0.0,3157.6768,False,False,1.7754
geolife,grad-p,5,92,True,0.0,0.562,0.562,0.0,4024.0244,False,True,2.3984
geolife,grad-p,5,83,True,0.0,0.158,0.158,0.0,3898.6868,False,True,2.3083
geolife,grad-p,5,85,True,0.0,1.0,1.0,0.0,2607.8406,False,False,1.38
geolife,grad-p,6,9,False,1.0,0.0,0.0,0.0,4.7866,False,False,0.4967
geolife,grad-p,6,40,False,0.0,0.028,0.028,0.0,4.3119,False,False,0.5006
geolife,grad-p,6,60,False,1.0,0.0,0.0,0.0,7.713,False,False,0.495
geolife,grad-p,6,59,False,0.0,0.042,0.042,0.0,3.8317,False,False,0.5002
geolife,grad-p,6,38,False,1.0,0.0,0.0,0.0,2.8315,False,False,0.4998
geolife,grad-p,6,8,False,0.0,0.018,0.018,0.0,4.5379,False,False,0.5001
geolife,grad-p,6,77,False,1.0,0.0,0.0,0.0,5.9652,False,False,0.4952
geolife,grad-p,6,4,False,1.0,0.0,0.0,0.0,6.2582,False,False,0.4949
geolife,grad-p,6,52,False,1.0,0.0,0.0,0.0,3.6023,False,False,0.4978
geolife,grad-p,6,56,False,0.0,0.202,0.202,0.0,5.1788,False,False,0.5001
geolife,grad-p,6,5,False,1.0,0.0,0.0,0.0,6.3488,False,False,0.4949
geolife,grad-p,6,20,False,1.0,0.0,0.0,0.0,4.3564,False,False,0.4968
geolife,grad-p,6,69,False,0.0,0.002,0.002,0.0,5.4785,False,False,0.4977
geolife,grad-p,6,35,False,1.0,0.0,0.0,0.0,5.2907,False,False,0.4964
geolife,grad-p,6,10,False,0.0,0.178,0.178,0.0,5.5101,False,False,0.5004
geolife,grad-p,6,23,False,0.0,0.116,0.116,0.0,4.9974,False,False,0.5005
geolife,grad-p,6,85,True,0.0,0.994,0.994,0.0,2563.9286,False,False,1.7471
geolife,grad-p,6,86,True,0.0,0.002,0.002,0.0,2668.4705,False,False,1.8389
geolife,grad-p,6,88,True,0.0,0.982,0.982,0.0,3106.193,False,True,2.2231
geolife,grad-p,6,98,True,0.0,0.496,0.496,0.0,3031.9805,False,True,2.158
geolife,grad-p,7,21,False,1.0,0.0,0.0,0.0,4.1847,False,False,0.4966
geolife,grad-p,7,29,False,1.0,0.0,0.0,0.0,5.7508,False,False,0.4953
geolife,grad-p,7,0,False,1.0,0.0,0.0,0.0,5.4077,False,False,0.4954
geolife,grad-p,7,23,False,0.0,0.108,0.108,0.0,4.0357,False,False,0.4986
geolife,grad-p,7,11,False,1.0,0.0,0.0,0.0,4.2839,False,False,0.4965
geolife,grad-p,7,62,False,1.0,0.0,0.0,0.0,4.5794,False,False,0.4966
geolife,grad-p,7,19,False,1.0,0.0,0.0,0.0,5.9765,False,False,0.4949
geolife,grad-p,7,52,False,1.0,0.0,0.0,0.0,4.463,False,False,0.4964
geolife,grad-p,7,41,False,1.0,0.0,0.0,0.0,4.3893,False,False,0.4995
geolife,grad-p,7,63,False,0.0,0.072,0.072,0.0,5.9797,False,False,0.4968
geolife,grad-p,7,1,False,0.0,0.408,0.408,0.0,5.032,False,False,0.4986
geolife,grad-p,7,72,False,0.0,0.156,0.156,0.0,4.5362,False,False,0.4986
geolife,grad-p,7,56,False,0.0,0.206,0.206,0.0,4.3838,False,False,0.4983
geolife,grad-p,7,22,False,0.0,0.12,0.12,0.0,3.2987,False,False,0.4985
geolife,grad-p,7,38,False,1.0,0.0,0.0,0.0,2.8603,False,False,0.4981
geolife,grad-p,7,46,False,0.0,0.098,0.098,0.0,6.4219,False,False,0.4957
geolife,grad-p,7,83,True,0.0,0.226,0.226,0.0,3639.1329,False,True,2.0741
geolife,grad-p,7,92,True,0.0,0.98,0.98,0.0,4013.7956,False,True,2.3392
geolife,grad-p,7,88,True,0.0,0.362,0.362,0.0,3248.1628,False,False,1.7974
geolife,grad-p,7,84,True,0.0,0.914,0.914,0.0,3172.4564,False,False,1.7439
geolife,grad-p,8,79,False,0.0,0.002,0.0,0.002,3.9226,False,False,0.4404
