round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,84.45,0.0,0.0,0.0,0.0,12.5
1,False,89.5,0.0,0.0,0.0,0.0,31.2
2,False,91.2,0.0,0.0,0.0,0.0,6.2
3,False,91.5,0.0,0.0,0.0,0.0,18.8
4,False,91.5,0.0,0.0,0.0,0.0,6.2
5,False,91.5,0.0,0.0,0.0,0.0,12.5
6,False,91.5,0.0,0.0,0.0,0.0,18.8
7,False,91.5,0.0,0.0,0.0,0.0,18.8
8,False,91.5,0.0,0.0,0.0,0.0,12.5
9,False,91.5,0.0,0.0,0.0,0.0,6.2
10,False,91.5,0.0,0.0,0.0,0.0,18.8
11,False,91.5,0.0,0.0,0.0,0.0,25.0
12,False,91.5,0.0,0.0,0.0,0.0,6.2
13,False,91.5,0.0,0.0,0.0,0.0,6.2
14,False,91.5,0.0,0.0,0.0,0.0,18.8
15,False,91.5,0.0,0.0,0.0,0.0,12.5
16,False,91.5,0.0,0.0,0.0,0.0,12.5
17,False,91.5,25.0,25.0,0.0,25.0,6.2
18,False,91.55,0.0,0.0,0.0,0.0,6.2
19,False,91.55,0.0,0.0,0.0,0.0,18.8
20,True,91.55,0.0,0.0,0.0,0.0,6.2
21,True,91.6,0.0,0.0,0.0,0.0,6.2
22,True,91.6,0.0,0.0,0.0,0.0,18.8
23,True,91.65,0.0,0.0,0.0,0.0,6.2
24,True,91.65,0.0,0.0,0.0,0.0,12.5
25,True,91.65,0.0,0.0,0.0,0.0,0.0
26,True,91.7,0.0,0.0,0.0,0.0,6.2
27,True,91.85,0.0,0.0,0.0,0.0,6.2
28,True,91.9,0.0,0.0,0.0,0.0,12.5
29,True,92.15,0.0,0.0,0.0,0.0,6.2
30,True,92.15,0.0,0.0,0.0,0.0,12.5
31,True,92.4,0.0,0.0,0.0,0.0,0.0
32,True,92.5,0.0,0.0,0.0,0.0,12.5
33,True,92.55,0.0,0.0,0.0,0.0,12.5
34,True,92.75,0.0,0.0,0.0,0.0,6.2
35,True,92.95,0.0,0.0,0.0,0.0,12.5
36,True,93.15,0.0,0.0,0.0,0.0,12.5
37,True,93.15,0.0,0.0,0.0,0.0,18.8
38,True,93.4,0.0,0.0,0.0,0.0,12.5
39,True,93.4,0.0,0.0,0.0,0.0,18.8
40,True,93.55,0.0,0.0,0.0,0.0,6.2
41,True,93.6,0.0,0.0,0.0,0.0,12.5
42,True,93.85,0.0,0.0,0.0,0.0,6.2
43,True,93.85,0.0,0.0,0.0,0.0,12.5
44,True,94.0,0.0,0.0,0.0,0.0,6.2
45,True,94.05,0.0,0.0,0.0,0.0,6.2
46,True,94.3,0.0,0.0,0.0,0.0,6.2
47,True,94.35,0.0,0.0,0.0,0.0,6.2
48,True,94.5,0.0,0.0,0.0,0.0,12.5
49,True,94.8,0.0,0.0,0.0,0.0,6.2
50,True,94.8,0.0,0.0,0.0,0.0,12.5
51,True,94.75,0.0,0.0,0.0,0.0,31.2
52,True,94.95,0.0,0.0,0.0,0.0,0.0
53,True,95.1,0.0,0.0,0.0,0.0,0.0
54,True,95.35,0.0,0.0,0.0,0.0,12.5
55,True,95.55,0.0,0.0,0.0,0.0,12.5
56,True,95.55,0.0,0.0,0.0,0.0,6.2
57,True,95.65,0.0,0.0,0.0,0.0,12.5
58,True,95.7,0.0,0.0,0.0,0.0,6.2
59,True,95.8,0.0,0.0,0.0,0.0,6.2
