round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,42.95,0.0,0.0,0.0,0.0,6.2
1,False,21.9,0.0,0.0,0.0,0.0,12.5
2,False,26.15,0.0,0.0,0.0,0.0,12.5
3,False,25.1,0.0,0.0,0.0,0.0,6.2
4,False,40.65,0.0,0.0,0.0,0.0,6.2
5,False,55.9,0.0,0.0,0.0,0.0,6.2
6,False,68.35,0.0,0.0,0.0,0.0,12.5
7,False,59.65,25.0,0.0,0.0,25.0,6.2
8,False,70.7,0.0,0.0,0.0,0.0,6.2
9,False,64.45,0.0,0.0,0.0,0.0,6.2
10,False,72.85,0.0,0.0,0.0,0.0,6.2
11,False,79.35,0.0,0.0,0.0,0.0,12.5
12,False,86.25,0.0,0.0,0.0,0.0,12.5
13,False,90.05,0.0,0.0,0.0,0.0,6.2
14,False,91.15,25.0,0.0,0.0,25.0,18.8
15,False,92.8,0.0,0.0,0.0,0.0,31.2
16,False,93.05,0.0,0.0,0.0,0.0,12.5
17,False,93.35,25.0,25.0,0.0,25.0,6.2
18,False,93.65,0.0,0.0,0.0,0.0,12.5
19,False,93.85,0.0,0.0,0.0,0.0,25.0
20,True,93.85,0.0,50.0,0.0,50.0,12.5
21,True,94.15,0.0,0.0,0.0,0.0,12.5
22,True,94.25,0.0,0.0,0.0,0.0,12.5
23,True,94.45,0.0,25.0,0.0,25.0,6.2
24,True,94.6,0.0,0.0,0.0,0.0,18.8
25,True,94.65,25.0,25.0,0.0,50.0,18.8
26,True,94.9,0.0,0.0,0.0,0.0,6.2
27,True,94.95,0.0,25.0,0.0,25.0,18.8
28,True,95.0,0.0,25.0,0.0,25.0,6.2
29,True,95.1,25.0,75.0,0.0,75.0,0.0
30,True,95.0,0.0,25.0,0.0,25.0,12.5
31,True,95.1,0.0,0.0,0.0,0.0,6.2
32,True,95.1,0.0,25.0,0.0,25.0,6.2
33,True,95.1,0.0,25.0,0.0,25.0,12.5
34,True,95.1,0.0,0.0,0.0,0.0,6.2
35,True,95.3,0.0,25.0,0.0,25.0,12.5
36,True,95.35,0.0,25.0,0.0,25.0,12.5
37,True,95.35,0.0,50.0,25.0,50.0,12.5
38,True,95.35,0.0,25.0,0.0,25.0,25.0
39,True,95.4,0.0,25.0,0.0,25.0,12.5
40,True,95.4,0.0,25.0,0.0,25.0,18.8
41,True,95.25,0.0,25.0,0.0,25.0,18.8
42,True,95.35,0.0,25.0,0.0,25.0,18.8
43,True,95.3,0.0,25.0,0.0,25.0,18.8
44,True,95.3,0.0,25.0,0.0,25.0,6.2
45,True,95.35,0.0,25.0,0.0,25.0,18.8
46,True,95.35,0.0,0.0,0.0,0.0,6.2
47,True,95.4,25.0,0.0,25.0,25.0,6.2
48,True,95.4,0.0,0.0,0.0,0.0,18.8
49,True,95.6,0.0,50.0,0.0,50.0,31.2
50,True,95.65,0.0,0.0,0.0,0.0,25.0
51,True,95.75,0.0,75.0,0.0,75.0,18.8
52,True,95.75,0.0,50.0,0.0,50.0,12.5
53,True,95.75,0.0,75.0,0.0,75.0,12.5
54,True,95.75,0.0,25.0,0.0,25.0,12.5
55,True,95.75,0.0,25.0,0.0,25.0,25.0
56,True,95.8,0.0,25.0,0.0,25.0,0.0
57,True,95.85,0.0,25.0,0.0,25.0,6.2
58,True,95.85,25.0,0.0,25.0,25.0,12.5
59,True,95.85,0.0,50.0,0.0,50.0,18.8
