round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,59.65,0.0,0.0,0.0,0.0,0.0
1,False,72.2,0.0,0.0,0.0,0.0,6.2
2,False,77.7,25.0,0.0,0.0,25.0,0.0
3,False,82.25,25.0,0.0,0.0,25.0,6.2
4,False,84.0,25.0,0.0,0.0,25.0,6.2
5,False,85.7,0.0,0.0,0.0,0.0,6.2
6,False,86.15,25.0,0.0,0.0,25.0,0.0
7,False,86.9,0.0,0.0,0.0,0.0,6.2
8,False,87.75,25.0,0.0,0.0,25.0,0.0
9,False,88.4,25.0,0.0,0.0,25.0,0.0
10,False,88.6,0.0,0.0,0.0,0.0,12.5
11,False,89.1,25.0,0.0,0.0,25.0,6.2
12,False,89.35,25.0,0.0,0.0,25.0,6.2
13,False,89.6,0.0,0.0,0.0,0.0,6.2
14,False,90.0,0.0,0.0,0.0,0.0,6.2
15,False,90.65,25.0,0.0,0.0,25.0,12.5
16,False,91.2,25.0,0.0,0.0,25.0,6.2
17,False,91.55,0.0,0.0,0.0,0.0,6.2
18,False,92.1,25.0,0.0,25.0,25.0,0.0
19,False,92.6,0.0,0.0,0.0,0.0,6.2
20,True,93.3,0.0,0.0,0.0,0.0,6.2
21,True,93.85,0.0,0.0,0.0,0.0,6.2
22,True,94.3,0.0,0.0,0.0,0.0,0.0
23,True,94.3,0.0,0.0,0.0,0.0,6.2
24,True,94.55,0.0,0.0,0.0,0.0,6.2
25,True,94.9,0.0,0.0,0.0,0.0,0.0
26,True,95.3,0.0,0.0,0.0,0.0,6.2
27,True,95.8,0.0,0.0,0.0,0.0,12.5
28,True,96.2,25.0,0.0,25.0,25.0,6.2
29,True,96.5,0.0,0.0,0.0,0.0,6.2
30,True,96.65,0.0,0.0,0.0,0.0,0.0
31,True,97.1,0.0,0.0,0.0,0.0,6.2
32,True,97.55,0.0,0.0,0.0,0.0,12.5
33,True,97.7,0.0,0.0,0.0,0.0,6.2
34,True,97.8,0.0,0.0,0.0,0.0,6.2
35,True,98.15,0.0,0.0,0.0,0.0,6.2
36,True,98.4,0.0,0.0,0.0,0.0,6.2
37,True,98.7,0.0,0.0,0.0,0.0,6.2
38,True,98.75,0.0,0.0,0.0,0.0,6.2
39,True,98.85,0.0,0.0,0.0,0.0,0.0
40,True,98.8,0.0,0.0,0.0,0.0,12.5
41,True,98.8,0.0,0.0,0.0,0.0,6.2
42,True,98.8,0.0,0.0,0.0,0.0,6.2
43,True,98.8,0.0,0.0,0.0,0.0,6.2
44,True,98.9,0.0,0.0,0.0,0.0,6.2
45,True,98.95,50.0,0.0,0.0,50.0,0.0
46,True,98.9,25.0,0.0,0.0,25.0,6.2
47,True,98.95,0.0,0.0,0.0,0.0,6.2
48,True,98.9,25.0,0.0,0.0,25.0,6.2
49,True,98.95,0.0,0.0,0.0,0.0,12.5
50,True,99.0,0.0,0.0,0.0,0.0,6.2
51,True,99.0,0.0,0.0,0.0,0.0,6.2
52,True,99.0,0.0,0.0,0.0,0.0,6.2
53,True,99.0,0.0,0.0,0.0,0.0,6.2
54,True,99.0,0.0,0.0,0.0,0.0,0.0
55,True,99.0,0.0,0.0,0.0,0.0,6.2
56,True,98.95,0.0,0.0,0.0,0.0,6.2
57,True,98.95,0.0,0.0,0.0,0.0,6.2
58,True,99.0,0.0,0.0,0.0,0.0,6.2
59,True,99.05,25.0,0.0,0.0,25.0,6.2
