round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,84.45,0.0,0.0,0.0,0.0,12.5
1,False,88.65,0.0,0.0,0.0,0.0,12.5
2,False,91.05,0.0,0.0,0.0,0.0,6.2
3,False,91.5,0.0,0.0,0.0,0.0,6.2
4,False,91.5,0.0,0.0,0.0,0.0,6.2
5,False,91.5,0.0,0.0,0.0,0.0,6.2
6,False,91.5,0.0,0.0,0.0,0.0,12.5
7,False,91.5,0.0,0.0,0.0,0.0,6.2
8,False,91.5,0.0,0.0,0.0,0.0,6.2
9,False,91.5,25.0,0.0,0.0,25.0,0.0
10,False,91.5,0.0,0.0,0.0,0.0,6.2
11,False,91.5,0.0,0.0,0.0,0.0,12.5
12,False,91.5,0.0,0.0,0.0,0.0,6.2
13,False,91.5,0.0,0.0,0.0,0.0,6.2
14,False,91.5,0.0,0.0,0.0,0.0,6.2
15,False,91.5,0.0,0.0,0.0,0.0,12.5
16,False,91.55,0.0,0.0,0.0,0.0,12.5
17,False,91.6,25.0,0.0,0.0,25.0,0.0
18,False,91.6,0.0,0.0,0.0,0.0,6.2
19,False,91.6,0.0,0.0,0.0,0.0,6.2
20,True,91.65,0.0,0.0,0.0,0.0,0.0
21,True,91.65,0.0,0.0,0.0,0.0,0.0
22,True,91.7,0.0,0.0,0.0,0.0,6.2
23,True,91.75,0.0,0.0,0.0,0.0,6.2
24,True,91.8,0.0,0.0,0.0,0.0,0.0
25,True,92.15,0.0,0.0,0.0,0.0,6.2
26,True,92.35,0.0,0.0,0.0,0.0,6.2
27,True,92.5,0.0,0.0,0.0,0.0,0.0
28,True,92.65,0.0,0.0,0.0,0.0,6.2
29,True,92.85,0.0,0.0,0.0,0.0,0.0
30,True,93.05,0.0,0.0,0.0,0.0,0.0
31,True,93.3,0.0,0.0,0.0,0.0,0.0
32,True,93.4,0.0,0.0,0.0,0.0,6.2
33,True,93.45,0.0,0.0,0.0,0.0,6.2
34,True,93.55,0.0,0.0,0.0,0.0,0.0
35,True,93.7,0.0,0.0,0.0,0.0,0.0
36,True,93.9,0.0,0.0,0.0,0.0,6.2
37,True,93.9,0.0,0.0,0.0,0.0,6.2
38,True,94.3,0.0,0.0,0.0,0.0,0.0
39,True,94.3,0.0,0.0,0.0,0.0,12.5
40,True,94.4,0.0,0.0,0.0,0.0,6.2
41,True,94.5,0.0,0.0,0.0,0.0,0.0
42,True,94.65,0.0,0.0,0.0,0.0,0.0
43,True,94.7,0.0,0.0,0.0,0.0,12.5
44,True,94.7,0.0,0.0,0.0,0.0,0.0
45,True,95.0,0.0,0.0,0.0,0.0,0.0
46,True,95.2,0.0,0.0,0.0,0.0,6.2
47,True,95.3,0.0,0.0,0.0,0.0,0.0
48,True,95.5,0.0,0.0,0.0,0.0,0.0
49,True,95.75,0.0,0.0,0.0,0.0,0.0
50,True,95.9,0.0,0.0,0.0,0.0,0.0
51,True,95.95,0.0,0.0,0.0,0.0,0.0
52,True,96.0,0.0,0.0,0.0,0.0,0.0
53,True,96.2,0.0,0.0,0.0,0.0,0.0
54,True,96.2,0.0,0.0,0.0,0.0,0.0
55,True,96.2,0.0,0.0,0.0,0.0,0.0
56,True,96.2,0.0,0.0,0.0,0.0,0.0
57,True,96.25,0.0,0.0,0.0,0.0,6.2
58,True,96.5,0.0,0.0,0.0,0.0,0.0
59,True,96.55,0.0,0.0,0.0,0.0,0.0
