round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,42.95,0.0,0.0,0.0,0.0,6.2
1,False,56.8,0.0,0.0,0.0,0.0,12.5
2,False,70.7,0.0,0.0,0.0,0.0,18.8
3,False,73.55,0.0,75.0,0.0,75.0,56.2
4,False,79.95,0.0,50.0,0.0,50.0,62.5
5,False,84.35,0.0,100.0,0.0,100.0,81.2
6,False,85.75,0.0,100.0,0.0,100.0,93.8
7,False,83.75,0.0,100.0,0.0,100.0,68.8
8,False,85.0,0.0,75.0,0.0,75.0,68.8
9,False,84.9,0.0,100.0,0.0,100.0,62.5
10,False,84.55,0.0,75.0,0.0,75.0,81.2
11,False,85.35,0.0,100.0,0.0,100.0,62.5
12,False,85.9,0.0,100.0,0.0,100.0,87.5
13,False,86.35,0.0,100.0,0.0,100.0,93.8
14,False,85.6,25.0,75.0,0.0,75.0,75.0
15,False,86.35,0.0,100.0,0.0,100.0,75.0
16,False,87.1,0.0,100.0,25.0,100.0,93.8
17,False,81.5,25.0,75.0,0.0,100.0,93.8
18,False,84.05,0.0,0.0,0.0,0.0,6.2
19,False,84.3,0.0,100.0,50.0,100.0,50.0
20,True,84.85,0.0,0.0,0.0,0.0,50.0
21,True,85.95,0.0,0.0,0.0,0.0,68.8
22,True,86.9,0.0,0.0,0.0,0.0,43.8
23,True,87.9,0.0,0.0,0.0,0.0,62.5
24,True,88.7,0.0,0.0,0.0,0.0,75.0
25,True,89.3,0.0,0.0,0.0,0.0,68.8
26,True,89.7,0.0,0.0,0.0,0.0,81.2
27,True,89.2,0.0,25.0,0.0,25.0,81.2
28,True,89.8,0.0,0.0,0.0,0.0,62.5
29,True,90.3,25.0,0.0,0.0,25.0,68.8
30,True,90.3,0.0,0.0,0.0,0.0,62.5
31,True,90.55,0.0,25.0,0.0,25.0,50.0
32,True,91.0,0.0,0.0,0.0,0.0,62.5
33,True,91.3,0.0,50.0,0.0,50.0,75.0
34,True,91.75,0.0,25.0,25.0,25.0,87.5
35,True,92.0,0.0,50.0,0.0,50.0,81.2
36,True,91.95,25.0,25.0,0.0,50.0,68.8
37,True,92.05,0.0,25.0,0.0,25.0,50.0
38,True,92.05,0.0,25.0,0.0,25.0,31.2
39,True,92.25,0.0,0.0,0.0,0.0,81.2
40,True,92.4,0.0,0.0,0.0,0.0,75.0
41,True,92.35,0.0,0.0,0.0,0.0,68.8
42,True,92.35,0.0,25.0,0.0,25.0,50.0
43,True,92.3,0.0,0.0,0.0,0.0,81.2
44,True,92.7,0.0,0.0,0.0,0.0,56.2
45,True,92.75,0.0,0.0,0.0,0.0,50.0
46,True,92.95,25.0,0.0,0.0,25.0,31.2
47,True,93.1,25.0,0.0,0.0,25.0,56.2
48,True,93.1,0.0,0.0,0.0,0.0,50.0
49,True,93.1,0.0,0.0,0.0,0.0,56.2
50,True,93.25,0.0,25.0,0.0,25.0,56.2
51,True,93.15,0.0,0.0,0.0,0.0,43.8
52,True,93.3,0.0,0.0,0.0,0.0,62.5
53,True,93.45,0.0,0.0,0.0,0.0,62.5
54,True,93.75,0.0,0.0,0.0,0.0,62.5
55,True,93.75,0.0,0.0,0.0,0.0,62.5
56,True,93.85,0.0,25.0,0.0,25.0,75.0
57,True,93.95,0.0,0.0,0.0,0.0,62.5
58,True,94.1,0.0,0.0,0.0,0.0,43.8
59,True,94.1,0.0,25.0,0.0,25.0,81.2
