round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,52.4,0.0,100.0,0.0,100.0,100.0
1,False,73.6,0.0,0.0,0.0,0.0,12.5
2,False,86.4,0.0,0.0,0.0,0.0,6.2
3,False,90.65,0.0,0.0,0.0,0.0,6.2
4,False,93.05,0.0,0.0,0.0,0.0,6.2
5,False,93.85,0.0,0.0,0.0,0.0,6.2
6,False,94.25,0.0,0.0,0.0,0.0,12.5
7,False,94.4,0.0,0.0,0.0,0.0,6.2
8,False,94.7,0.0,0.0,0.0,0.0,6.2
9,False,94.75,0.0,0.0,0.0,0.0,6.2
10,False,95.0,0.0,0.0,0.0,0.0,12.5
11,False,95.25,0.0,0.0,0.0,0.0,6.2
12,False,95.3,0.0,0.0,0.0,0.0,6.2
13,False,95.35,0.0,0.0,0.0,0.0,6.2
14,False,95.45,0.0,0.0,0.0,0.0,6.2
15,False,95.65,0.0,0.0,0.0,0.0,6.2
16,False,95.65,0.0,0.0,0.0,0.0,12.5
17,False,95.95,25.0,0.0,0.0,25.0,0.0
18,False,95.9,0.0,0.0,0.0,0.0,6.2
19,False,96.0,0.0,0.0,0.0,0.0,6.2
20,True,96.0,0.0,0.0,0.0,0.0,6.2
21,True,96.1,0.0,0.0,0.0,0.0,12.5
22,True,96.1,0.0,0.0,0.0,0.0,6.2
23,True,96.15,0.0,0.0,0.0,0.0,6.2
24,True,96.1,0.0,0.0,0.0,0.0,6.2
25,True,96.15,0.0,0.0,0.0,0.0,6.2
26,True,96.3,0.0,0.0,0.0,0.0,6.2
27,True,96.35,0.0,0.0,0.0,0.0,12.5
28,True,96.45,0.0,0.0,0.0,0.0,6.2
29,True,96.45,25.0,0.0,0.0,25.0,6.2
30,True,96.45,0.0,0.0,0.0,0.0,6.2
31,True,96.45,0.0,0.0,0.0,0.0,0.0
32,True,96.4,0.0,0.0,0.0,0.0,6.2
33,True,96.5,0.0,0.0,0.0,0.0,12.5
34,True,96.65,0.0,0.0,0.0,0.0,0.0
35,True,96.7,0.0,0.0,0.0,0.0,12.5
36,True,96.85,25.0,0.0,0.0,25.0,6.2
37,True,96.9,0.0,0.0,0.0,0.0,6.2
38,True,97.0,0.0,0.0,0.0,0.0,6.2
39,True,97.0,0.0,0.0,0.0,0.0,12.5
40,True,97.05,0.0,0.0,0.0,0.0,6.2
41,True,97.05,0.0,0.0,0.0,0.0,6.2
42,True,97.25,0.0,0.0,0.0,0.0,6.2
43,True,97.15,0.0,0.0,0.0,0.0,18.8
44,True,97.35,0.0,0.0,0.0,0.0,12.5
45,True,97.45,0.0,0.0,0.0,0.0,6.2
46,True,97.45,0.0,0.0,0.0,0.0,12.5
47,True,97.45,25.0,0.0,0.0,25.0,6.2
48,True,97.5,0.0,0.0,0.0,0.0,6.2
49,True,97.45,0.0,0.0,0.0,0.0,12.5
50,True,97.45,0.0,0.0,0.0,0.0,6.2
51,True,97.25,0.0,0.0,0.0,0.0,6.2
52,True,97.45,0.0,0.0,0.0,0.0,12.5
53,True,97.35,0.0,0.0,0.0,0.0,6.2
54,True,97.45,0.0,0.0,0.0,0.0,6.2
55,True,97.45,0.0,0.0,0.0,0.0,6.2
56,True,97.6,0.0,0.0,0.0,0.0,0.0
57,True,97.5,0.0,0.0,0.0,0.0,6.2
58,True,97.4,0.0,0.0,0.0,0.0,6.2
59,True,97.45,0.0,0.0,0.0,0.0,0.0
