n_clients,Method,Avg (ms),Std (ms),Overhead (×),Complexity
20,FedAvg,0.02,0.0,1.0,O(nd)
20,Multi-Krum,0.17,0.07,7.51,O(n²d)
20,TrimmedMean,0.02,0.01,1.04,O(nd log n)
20,Bulyan,0.15,0.06,6.68,O(n²d)
20,RFVIR,0.12,0.02,5.08,O(nd)
20,FLAME,32.18,1.84,1400.38,O(nd + n² )
20,Ours,7.97,2.07,346.71,O(nd + n·m)
50,FedAvg,0.04,0.0,1.0,O(nd)
50,Multi-Krum,0.3,0.02,6.66,O(n²d)
50,TrimmedMean,0.03,0.0,0.57,O(nd log n)
50,Bulyan,0.32,0.04,7.09,O(n²d)
50,RFVIR,0.17,0.02,3.84,O(nd)
50,FLAME,32.69,3.04,727.45,O(nd + n² )
50,Ours,18.32,4.18,407.55,O(nd + n·m)
100,FedAvg,0.09,0.01,1.0,O(nd)
100,Multi-Krum,0.79,0.06,9.1,O(n²d)
100,TrimmedMean,0.05,0.02,0.59,O(nd log n)
100,Bulyan,0.81,0.03,9.34,O(n²d)
100,RFVIR,0.3,0.06,3.5,O(nd)
100,FLAME,33.05,3.56,379.83,O(nd + n² )
100,Ours,34.85,6.12,400.59,O(nd + n·m)
200,FedAvg,0.16,0.01,1.0,O(nd)
200,Multi-Krum,2.38,0.07,14.42,O(n²d)
200,TrimmedMean,0.1,0.01,0.62,O(nd log n)
200,Bulyan,2.45,0.14,14.9,O(n²d)
200,RFVIR,0.56,0.06,3.37,O(nd)
200,FLAME,32.28,2.55,195.99,O(nd + n² )
200,Ours,67.42,8.94,409.36,O(nd + n·m)
