dataset,attack,round,client_id,is_byzantine,kappa,semantic_shift,p_fraud_client,p_fraud_global,gradient_dist,flagged_kappa,flagged_gradient,z_score
nyc-taxi,grad-p,0,30,False,0.0761,0.638,0.184,0.822,8.984,False,False,0.4994
nyc-taxi,grad-p,0,0,False,0.122,0.49,0.332,0.822,7.8654,False,False,0.5005
nyc-taxi,grad-p,0,22,False,0.0262,0.732,0.09,0.822,5.0634,False,False,0.4993
nyc-taxi,grad-p,0,31,False,0.0407,0.724,0.098,0.822,8.3659,False,False,0.4983
nyc-taxi,grad-p,0,18,False,0.0549,0.676,0.146,0.822,6.8645,False,False,0.4988
nyc-taxi,grad-p,0,28,False,0.0392,0.706,0.116,0.822,7.7152,False,False,0.4979
nyc-taxi,grad-p,0,10,False,0.0,0.822,0.0,0.822,7.7261,False,False,0.4985
nyc-taxi,grad-p,0,70,False,0.0,0.822,0.0,0.822,9.3959,False,False,0.498
nyc-taxi,grad-p,0,4,False,0.0188,0.78,0.042,0.822,6.285,False,False,0.4988
nyc-taxi,grad-p,0,12,False,0.0115,0.796,0.026,0.822,8.3721,False,False,0.4977
nyc-taxi,grad-p,0,49,False,0.0311,0.754,0.068,0.822,7.5039,False,False,0.4985
nyc-taxi,grad-p,0,33,False,0.0,0.822,0.0,0.822,8.3496,False,False,0.4977
nyc-taxi,grad-p,0,67,False,0.0,0.822,0.0,0.822,5.646,False,False,0.5019
nyc-taxi,grad-p,0,35,False,0.038,0.74,0.082,0.822,11.8468,False,False,0.4959
nyc-taxi,grad-p,0,68,False,0.0244,0.768,0.054,0.822,11.5364,False,False,0.4961
nyc-taxi,grad-p,0,45,False,0.0389,0.738,0.084,0.822,9.3555,False,False,0.4983
nyc-taxi,grad-p,0,81,True,-0.0841,0.68,0.142,0.822,3941.759,True,False,1.6927
nyc-taxi,grad-p,0,84,True,-0.0192,0.088,0.734,0.822,4658.7384,False,True,2.0922
nyc-taxi,grad-p,0,85,True,0.0148,0.34,0.482,0.822,4633.8785,False,True,2.0784
nyc-taxi,grad-p,0,83,True,0.1403,0.232,0.59,0.822,4694.8566,False,True,2.1123
nyc-taxi,grad-p,1,23,False,-0.0171,0.356,0.18,0.536,9.8491,False,False,0.4989
nyc-taxi,grad-p,1,39,False,0.0,0.536,0.0,0.536,6.4465,False,False,0.4992
nyc-taxi,grad-p,1,69,False,0.0,0.536,0.0,0.536,7.2716,False,False,0.4991
nyc-taxi,grad-p,1,74,False,0.0,0.536,0.0,0.536,7.5582,False,False,0.4993
nyc-taxi,grad-p,1,0,False,-0.0387,0.312,0.224,0.536,6.9665,False,False,0.5009
nyc-taxi,grad-p,1,1,False,0.0,0.464,1.0,0.536,13.4697,False,False,0.4992
nyc-taxi,grad-p,1,38,False,-0.0608,0.45,0.086,0.536,7.5045,True,False,0.4986
nyc-taxi,grad-p,1,45,False,-0.0192,0.396,0.14,0.536,8.9127,False,False,0.4982
nyc-taxi,grad-p,1,72,False,-0.0409,0.43,0.106,0.536,6.5872,False,False,0.4987
nyc-taxi,grad-p,1,63,False,-0.0239,0.308,0.228,0.536,7.2618,False,False,0.5005
nyc-taxi,grad-p,1,8,False,-0.0105,0.486,0.05,0.536,6.5913,False,False,0.4989
nyc-taxi,grad-p,1,13,False,0.0,0.536,0.0,0.536,4.9923,False,False,0.5007
nyc-taxi,grad-p,1,15,False,-0.0625,0.438,0.098,0.536,6.0572,True,False,0.4994
nyc-taxi,grad-p,1,41,False,-0.0486,0.456,0.08,0.536,8.5662,False,False,0.4979
nyc-taxi,grad-p,1,54,False,0.0,0.536,0.0,0.536,6.849,False,False,0.4994
nyc-taxi,grad-p,1,5,False,-0.0303,0.398,0.138,0.536,7.5527,False,False,0.4991
nyc-taxi,grad-p,1,94,True,0.1278,0.066,0.47,0.536,3671.3588,False,False,1.8049
nyc-taxi,grad-p,1,82,True,-0.0962,0.136,0.4,0.536,3974.368,True,False,1.9955
nyc-taxi,grad-p,1,95,True,0.0838,0.42,0.956,0.536,4062.2456,False,True,2.0508
nyc-taxi,grad-p,1,96,True,-0.0653,0.158,0.378,0.536,4199.0629,True,True,2.1369
nyc-taxi,grad-p,2,49,False,-0.0807,0.14,0.092,0.232,6.4915,False,False,0.4956
nyc-taxi,grad-p,2,43,False,-0.1039,0.026,0.206,0.232,6.8584,False,False,0.4979
nyc-taxi,grad-p,2,38,False,-0.1026,0.164,0.068,0.232,6.6145,False,False,0.4954
nyc-taxi,grad-p,2,46,False,-0.1095,0.12,0.112,0.232,6.8078,False,False,0.4955
nyc-taxi,grad-p,2,79,False,-0.126,0.128,0.104,0.232,8.4828,False,False,0.4943
nyc-taxi,grad-p,2,24,False,0.0,0.232,0.0,0.232,10.689,False,False,0.4943
nyc-taxi,grad-p,2,19,False,-0.1091,0.14,0.092,0.232,6.5835,False,False,0.4957
nyc-taxi,grad-p,2,62,False,-0.0195,0.222,0.01,0.232,6.244,False,False,0.4961
nyc-taxi,grad-p,2,56,False,-0.115,0.116,0.116,0.232,8.4553,False,False,0.4957
nyc-taxi,grad-p,2,73,False,-0.0829,0.148,0.084,0.232,6.8202,False,False,0.4958
nyc-taxi,grad-p,2,32,False,-0.1091,0.14,0.092,0.232,8.6698,False,False,0.4943
nyc-taxi,grad-p,2,77,False,0.0,0.232,0.0,0.232,16.8454,False,False,0.4909
nyc-taxi,grad-p,2,39,False,0.0,0.232,0.0,0.232,6.8204,False,False,0.4957
nyc-taxi,grad-p,2,7,False,-0.0783,0.17,0.062,0.232,15.422,False,False,0.4908
nyc-taxi,grad-p,2,63,False,-0.128,0.076,0.156,0.232,7.6318,False,False,0.4969
nyc-taxi,grad-p,2,42,False,-0.1057,0.162,0.07,0.232,8.7925,False,False,0.4944
nyc-taxi,grad-p,2,91,True,-0.0318,0.044,0.276,0.232,3826.7444,False,False,1.7308
nyc-taxi,grad-p,2,80,True,0.101,0.146,0.086,0.232,4404.3998,False,True,2.0678
nyc-taxi,grad-p,2,87,True,-0.0227,0.178,0.41,0.232,5075.955,False,True,2.4595
nyc-taxi,grad-p,2,88,True,0.0362,0.208,0.024,0.232,3707.4172,False,False,1.6612
nyc-taxi,grad-p,3,55,False,0.1674,0.208,0.112,0.32,7.8834,False,False,0.4991
nyc-taxi,grad-p,3,25,False,0.0266,0.29,0.03,0.32,6.2967,False,False,0.5001
nyc-taxi,grad-p,3,10,False,0.0,0.32,0.0,0.32,8.1894,False,False,0.4994
nyc-taxi,grad-p,3,19,False,0.1242,0.232,0.088,0.32,6.988,False,False,0.4998
nyc-taxi,grad-p,3,45,False,0.1085,0.218,0.102,0.32,8.8795,False,False,0.4993
nyc-taxi,grad-p,3,1,False,0.0,0.68,1.0,0.32,13.7257,False,False,0.4998
nyc-taxi,grad-p,3,73,False,0.0937,0.222,0.098,0.32,7.088,False,False,0.4999
nyc-taxi,grad-p,3,21,False,0.1602,0.21,0.11,0.32,8.748,False,False,0.4991
nyc-taxi,grad-p,3,54,False,0.0,0.32,0.0,0.32,6.6903,False,False,0.5003
nyc-taxi,grad-p,3,2,False,0.2449,0.12,0.2,0.32,7.6217,False,False,0.5005
nyc-taxi,grad-p,3,20,False,0.1124,0.22,0.1,0.32,7.7679,False,False,0.4988
nyc-taxi,grad-p,3,33,False,0.0868,0.272,0.048,0.32,11.782,False,False,0.4971
nyc-taxi,grad-p,3,29,False,0.2055,0.16,0.16,0.32,8.5215,False,False,0.4989
nyc-taxi,grad-p,3,62,False,-0.0173,0.286,0.034,0.32,6.2071,False,False,0.5001
nyc-taxi,grad-p,3,7,False,-0.0024,0.3,0.02,0.32,14.4996,False,False,0.4951
nyc-taxi,grad-p,3,77,False,0.0,0.32,0.0,0.32,14.4771,False,False,0.4961
nyc-taxi,grad-p,3,80,True,0.0894,0.542,0.862,0.32,4166.7947,False,True,2.0439
nyc-taxi,grad-p,3,81,True,-0.1768,0.146,0.466,0.32,3996.4412,True,False,1.9397
