seed,Attack,Byz κ,Ben κ,κ gap,Byz shift,Ben shift,Byz grad,Ben grad,Grad gap,Kappa-only det (%)
42,grad-p,0.001,0.1791,0.1781,0.3969,0.3262,3886.4566,9.0424,3877.4143,47.5
42,spf,0.4202,0.4757,0.0555,0.2183,0.1974,9.4131,8.0064,1.4067,25.0
42,lfp,0.3373,0.5324,0.1952,0.2151,0.18,9.0674,8.2459,0.8215,47.5
42,ooa,0.3939,0.3715,-0.0224,0.2635,0.2424,7.3353,8.1771,-0.8418,15.0
43,grad-p,-0.0268,0.3863,0.4131,0.3616,0.2457,4335.8682,7.8645,4328.0036,47.5
43,spf,0.2405,0.2905,0.0501,0.3106,0.2957,10.4993,7.768,2.7313,22.5
43,lfp,0.2568,0.4073,0.1506,0.2398,0.2483,9.8564,7.6209,2.2355,37.5
43,ooa,0.4145,0.4809,0.0665,0.2091,0.2003,9.7022,7.6601,2.0421,35.0
44,grad-p,0.0306,0.5553,0.5247,0.3222,0.2019,4064.6229,8.0733,4056.5495,50.0
44,spf,0.4272,0.4172,-0.01,0.2227,0.2337,10.168,8.0975,2.0705,10.0
44,lfp,0.3035,0.4111,0.1076,0.2278,0.238,9.7302,7.7767,1.9535,32.5
44,ooa,0.5937,0.559,-0.0347,0.134,0.161,7.8873,7.9145,-0.0272,15.0
45,grad-p,-0.0011,0.0468,0.0479,0.4316,0.4177,3722.5092,8.4449,3714.0643,10.0
45,spf,0.4076,0.4266,0.019,0.2305,0.2481,8.7672,7.9399,0.8273,22.5
45,lfp,0.1783,0.207,0.0287,0.2518,0.3397,9.4654,8.0811,1.3843,25.0
45,ooa,0.569,0.5654,-0.0036,0.1511,0.1688,6.8076,7.6361,-0.8284,20.0
46,grad-p,0.0314,0.0823,0.0509,0.5628,0.4022,3677.9183,7.8132,3670.1051,15.0
46,spf,0.5808,0.5466,-0.0342,0.1507,0.1763,9.8601,7.5339,2.3262,22.5
46,lfp,0.1921,0.1705,-0.0215,0.2822,0.3451,9.5627,7.6481,1.9146,10.0
46,ooa,0.548,0.425,-0.1231,0.1846,0.2382,7.78,7.414,0.366,5.0
47,grad-p,-0.0186,0.4103,0.4289,0.3537,0.2539,4236.5793,7.8588,4228.7204,32.5
47,spf,0.5457,0.4763,-0.0694,0.1561,0.2321,9.8813,7.295,2.5864,10.0
47,lfp,0.4317,0.4671,0.0355,0.1639,0.2501,10.013,7.5152,2.4977,25.0
47,ooa,0.6562,0.5703,-0.0859,0.1196,0.1672,7.7668,7.4502,0.3166,5.0
48,grad-p,-0.0006,0.0725,0.0731,0.5918,0.455,4610.9849,8.3141,4602.6708,2.5
48,spf,0.4,0.5461,0.1461,0.2518,0.2012,10.7112,7.9711,2.7401,52.5
48,lfp,0.2648,0.4447,0.18,0.2641,0.2461,9.9362,7.9325,2.0037,55.0
48,ooa,0.4122,0.5283,0.1161,0.2535,0.1939,9.1521,8.2207,0.9314,40.0
49,grad-p,0.0486,0.034,-0.0146,0.4645,0.4382,3826.4808,8.8469,3817.6339,0.0
49,spf,0.247,0.3886,0.1416,0.2785,0.2772,9.4651,8.3868,1.0784,50.0
49,lfp,0.2602,0.4904,0.2302,0.2699,0.2184,9.3137,8.5224,0.7913,45.0
49,ooa,0.3944,0.464,0.0696,0.2301,0.2298,7.3184,8.3392,-1.0208,50.0
50,grad-p,-0.0289,0.2901,0.319,0.3923,0.2546,4049.3125,8.2146,4041.0979,40.0
50,spf,0.5482,0.4837,-0.0644,0.1579,0.1914,9.6458,7.7847,1.861,15.0
50,lfp,0.3132,0.4196,0.1064,0.216,0.2386,10.112,8.0138,2.0982,32.5
50,ooa,0.5486,0.4201,-0.1285,0.1786,0.2374,8.3231,7.8393,0.4838,0.0
51,grad-p,-0.0042,0.0892,0.0934,0.5035,0.3893,3791.1097,8.3174,3782.7923,15.0
51,spf,0.4828,0.5117,0.029,0.2601,0.2033,9.7872,7.9816,1.8056,25.0
51,lfp,0.3641,0.5386,0.1745,0.2213,0.1839,9.1603,8.0255,1.1348,47.5
51,ooa,0.492,0.5296,0.0375,0.2193,0.1901,9.1004,7.837,1.2634,25.0
