n_clients,Method,Avg (ms),Std (ms),Overhead (×),Complexity
20,FedAvg,0.04,0.0,1.0,O(nd)
20,Multi-Krum,0.27,0.01,7.0,O(n²d)
20,TrimmedMean,0.03,0.0,0.75,O(nd log n)
20,Bulyan,0.27,0.01,7.03,O(n²d)
20,RFVIR,0.22,0.02,5.73,O(nd)
20,FLAME,5.26,0.05,136.41,O(nd + n² )
20,Ours,6.0,0.58,155.77,O(nd + n·m)
50,FedAvg,0.08,0.0,1.0,O(nd)
50,Multi-Krum,0.72,0.01,9.09,O(n²d)
50,TrimmedMean,0.05,0.0,0.65,O(nd log n)
50,Bulyan,0.72,0.01,9.1,O(n²d)
50,RFVIR,0.35,0.01,4.5,O(nd)
50,FLAME,6.84,0.3,86.68,O(nd + n² )
50,Ours,12.94,0.5,164.12,O(nd + n·m)
100,FedAvg,0.14,0.0,1.0,O(nd)
100,Multi-Krum,1.56,0.02,11.41,O(n²d)
100,TrimmedMean,0.09,0.0,0.63,O(nd log n)
100,Bulyan,1.54,0.01,11.24,O(n²d)
100,RFVIR,0.56,0.02,4.07,O(nd)
100,FLAME,8.68,0.51,63.54,O(nd + n² )
100,Ours,25.6,1.17,187.42,O(nd + n·m)
200,FedAvg,0.26,0.0,1.0,O(nd)
200,Multi-Krum,4.03,0.09,15.36,O(n²d)
200,TrimmedMean,0.17,0.03,0.64,O(nd log n)
200,Bulyan,3.98,0.07,15.17,O(n²d)
200,RFVIR,1.13,0.26,4.3,O(nd)
200,FLAME,10.42,0.07,39.66,O(nd + n² )
200,Ours,54.11,5.01,206.04,O(nd + n·m)
