round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,19.25,0.0,0.0,0.0,0.0,6.2
1,False,34.4,25.0,0.0,0.0,25.0,12.5
2,False,52.15,25.0,0.0,0.0,25.0,6.2
3,False,61.35,25.0,0.0,0.0,25.0,0.0
4,False,76.55,0.0,0.0,0.0,0.0,6.2
5,False,89.0,25.0,0.0,0.0,25.0,6.2
6,False,95.85,0.0,0.0,0.0,0.0,25.0
7,False,97.9,25.0,0.0,0.0,25.0,12.5
8,False,97.9,25.0,25.0,0.0,50.0,18.8
9,False,97.9,0.0,25.0,0.0,25.0,18.8
10,False,97.9,25.0,0.0,0.0,25.0,12.5
11,False,97.9,0.0,0.0,0.0,0.0,6.7
12,False,97.9,25.0,0.0,0.0,25.0,6.2
13,False,97.9,0.0,0.0,0.0,0.0,12.5
14,False,97.9,25.0,50.0,0.0,75.0,20.0
15,False,97.9,25.0,25.0,25.0,50.0,6.2
16,False,97.9,25.0,25.0,0.0,25.0,0.0
17,False,97.9,0.0,0.0,0.0,0.0,13.3
18,False,97.9,0.0,0.0,0.0,0.0,12.5
19,False,97.9,25.0,0.0,0.0,25.0,6.2
20,True,97.9,0.0,0.0,0.0,0.0,12.5
21,True,97.9,0.0,0.0,0.0,0.0,13.3
22,True,97.9,0.0,0.0,0.0,0.0,12.5
23,True,97.9,0.0,0.0,0.0,0.0,0.0
24,True,97.9,0.0,0.0,0.0,0.0,12.5
25,True,97.9,0.0,0.0,0.0,0.0,20.0
26,True,97.9,0.0,0.0,0.0,0.0,12.5
27,True,97.9,0.0,0.0,0.0,0.0,12.5
28,True,97.9,0.0,0.0,0.0,0.0,12.5
29,True,97.9,0.0,0.0,0.0,0.0,6.7
30,True,97.9,0.0,0.0,0.0,0.0,12.5
31,True,97.9,0.0,0.0,0.0,0.0,18.8
32,True,97.9,0.0,0.0,0.0,0.0,6.2
33,True,97.9,0.0,0.0,0.0,0.0,18.8
34,True,97.9,0.0,0.0,0.0,0.0,6.2
35,True,97.9,0.0,0.0,0.0,0.0,25.0
36,True,97.9,0.0,0.0,0.0,0.0,6.2
37,True,97.9,0.0,0.0,0.0,0.0,26.7
38,True,97.9,0.0,0.0,0.0,0.0,6.7
39,True,97.9,0.0,0.0,0.0,0.0,6.2
40,True,97.9,0.0,0.0,0.0,0.0,18.8
41,True,97.9,0.0,0.0,0.0,0.0,6.2
42,True,97.9,0.0,0.0,0.0,0.0,6.2
43,True,97.9,0.0,0.0,0.0,0.0,12.5
44,True,97.9,0.0,0.0,0.0,0.0,6.2
45,True,97.9,0.0,0.0,0.0,0.0,12.5
46,True,97.9,0.0,0.0,0.0,0.0,18.8
47,True,97.9,0.0,0.0,0.0,0.0,6.2
48,True,97.9,0.0,0.0,0.0,0.0,6.2
49,True,97.9,0.0,0.0,0.0,0.0,12.5
50,True,97.9,0.0,0.0,0.0,0.0,18.8
51,True,97.9,0.0,0.0,0.0,0.0,12.5
52,True,97.9,0.0,0.0,0.0,0.0,6.2
53,True,97.9,0.0,0.0,0.0,0.0,0.0
54,True,97.9,0.0,0.0,0.0,0.0,18.8
55,True,97.9,0.0,0.0,0.0,0.0,20.0
56,True,97.9,0.0,0.0,0.0,0.0,12.5
57,True,97.9,0.0,0.0,0.0,0.0,12.5
58,True,97.9,0.0,0.0,0.0,0.0,12.5
59,True,97.9,0.0,0.0,0.0,0.0,18.8
