round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,58.7,25.0,0.0,0.0,25.0,12.5
1,False,77.55,25.0,0.0,0.0,25.0,12.5
2,False,87.7,25.0,0.0,0.0,25.0,6.2
3,False,83.9,25.0,0.0,0.0,25.0,0.0
4,False,96.05,0.0,0.0,0.0,0.0,12.5
5,False,97.25,0.0,0.0,0.0,0.0,6.2
6,False,97.6,0.0,0.0,0.0,0.0,31.2
7,False,97.75,25.0,0.0,0.0,25.0,12.5
8,False,97.8,25.0,25.0,0.0,50.0,25.0
9,False,97.9,0.0,25.0,0.0,25.0,25.0
10,False,97.9,25.0,0.0,0.0,25.0,18.8
11,False,97.9,0.0,0.0,0.0,0.0,6.7
12,False,97.9,25.0,0.0,0.0,25.0,6.2
13,False,97.9,0.0,0.0,0.0,0.0,12.5
14,False,97.9,0.0,50.0,0.0,50.0,20.0
15,False,97.9,25.0,25.0,25.0,50.0,6.2
16,False,97.9,25.0,25.0,0.0,25.0,0.0
17,False,97.9,0.0,0.0,0.0,0.0,13.3
18,False,97.9,0.0,0.0,0.0,0.0,12.5
19,False,97.9,25.0,0.0,0.0,25.0,6.2
20,True,97.9,0.0,25.0,0.0,25.0,12.5
21,True,97.9,25.0,50.0,0.0,75.0,13.3
22,True,97.9,0.0,50.0,0.0,50.0,12.5
23,True,97.9,25.0,25.0,25.0,25.0,6.2
24,True,97.9,0.0,0.0,0.0,0.0,18.8
25,True,97.9,0.0,25.0,0.0,25.0,20.0
26,True,97.9,0.0,25.0,0.0,25.0,12.5
27,True,97.9,0.0,50.0,0.0,50.0,12.5
28,True,97.9,25.0,50.0,25.0,75.0,12.5
29,True,97.9,0.0,0.0,0.0,0.0,6.7
30,True,97.9,0.0,25.0,0.0,25.0,18.8
31,True,97.9,0.0,25.0,0.0,25.0,18.8
32,True,97.9,0.0,75.0,0.0,75.0,6.2
33,True,97.9,0.0,25.0,0.0,25.0,25.0
34,True,97.9,25.0,50.0,0.0,50.0,12.5
35,True,97.9,0.0,25.0,0.0,25.0,31.2
36,True,97.9,0.0,25.0,0.0,25.0,6.2
37,True,97.9,0.0,25.0,0.0,25.0,26.7
38,True,97.9,25.0,25.0,25.0,50.0,6.7
39,True,97.9,0.0,0.0,0.0,0.0,18.8
40,True,97.9,0.0,25.0,0.0,25.0,25.0
41,True,97.9,25.0,25.0,0.0,50.0,12.5
42,True,97.9,0.0,25.0,25.0,25.0,6.2
43,True,97.9,0.0,25.0,0.0,25.0,18.8
44,True,97.9,0.0,25.0,0.0,25.0,6.2
45,True,97.9,0.0,25.0,25.0,50.0,18.8
46,True,97.9,0.0,25.0,25.0,25.0,18.8
47,True,97.9,0.0,25.0,0.0,25.0,6.2
48,True,97.9,0.0,25.0,0.0,25.0,6.2
49,True,97.9,25.0,25.0,0.0,50.0,12.5
50,True,97.9,0.0,0.0,0.0,0.0,25.0
51,True,97.9,0.0,0.0,0.0,0.0,12.5
52,True,97.9,0.0,50.0,25.0,50.0,12.5
53,True,97.9,25.0,25.0,25.0,25.0,13.3
54,True,97.9,0.0,0.0,0.0,0.0,18.8
55,True,97.9,0.0,0.0,25.0,25.0,26.7
56,True,97.95,0.0,25.0,25.0,25.0,18.8
57,True,97.95,0.0,0.0,0.0,0.0,18.8
58,True,98.0,0.0,25.0,0.0,25.0,12.5
59,True,98.15,25.0,25.0,25.0,50.0,18.8
