round,attack_active,accuracy,det_outlier_pct,det_kappa_pct,det_trust_pct,det_any_pct,fpr_pct
0,False,2.1,25.0,0.0,0.0,25.0,6.2
1,False,2.1,25.0,0.0,0.0,25.0,12.5
2,False,6.05,25.0,0.0,0.0,25.0,6.2
3,False,4.5,25.0,0.0,0.0,25.0,0.0
4,False,11.75,0.0,0.0,0.0,0.0,12.5
5,False,26.65,25.0,0.0,0.0,25.0,6.2
6,False,45.25,0.0,0.0,0.0,0.0,12.5
7,False,70.65,25.0,0.0,0.0,25.0,12.5
8,False,62.55,0.0,0.0,0.0,0.0,6.2
9,False,59.55,0.0,0.0,0.0,0.0,6.2
10,False,43.85,25.0,0.0,0.0,25.0,0.0
11,False,65.15,0.0,0.0,0.0,0.0,6.7
12,False,79.8,25.0,0.0,0.0,25.0,6.2
13,False,87.2,0.0,0.0,0.0,0.0,12.5
14,False,92.0,0.0,0.0,0.0,0.0,0.0
15,False,92.95,25.0,0.0,0.0,25.0,6.2
16,False,96.8,25.0,0.0,0.0,25.0,6.2
17,False,98.1,25.0,0.0,0.0,25.0,6.7
18,False,98.25,0.0,0.0,0.0,0.0,12.5
19,False,98.5,0.0,0.0,0.0,0.0,6.2
20,True,98.5,25.0,0.0,0.0,25.0,12.5
21,True,98.4,25.0,0.0,0.0,25.0,13.3
22,True,98.3,0.0,0.0,0.0,0.0,12.5
23,True,98.25,25.0,0.0,0.0,25.0,0.0
24,True,98.3,0.0,0.0,0.0,0.0,12.5
25,True,98.35,0.0,0.0,0.0,0.0,20.0
26,True,98.35,0.0,25.0,0.0,25.0,12.5
27,True,98.3,0.0,25.0,0.0,25.0,12.5
28,True,98.25,0.0,25.0,0.0,25.0,6.2
29,True,98.25,0.0,25.0,0.0,25.0,6.7
30,True,98.25,0.0,25.0,0.0,25.0,18.8
31,True,98.25,0.0,75.0,0.0,75.0,18.8
32,True,98.25,0.0,0.0,0.0,0.0,6.2
33,True,98.25,0.0,50.0,0.0,50.0,25.0
34,True,98.15,25.0,25.0,0.0,25.0,12.5
35,True,98.2,0.0,25.0,0.0,25.0,25.0
36,True,98.2,0.0,25.0,0.0,25.0,6.2
37,True,98.15,0.0,75.0,0.0,75.0,26.7
38,True,98.15,25.0,75.0,0.0,100.0,6.7
39,True,98.1,0.0,50.0,0.0,50.0,18.8
40,True,98.1,0.0,0.0,0.0,0.0,18.8
41,True,98.1,0.0,25.0,0.0,25.0,12.5
42,True,98.05,0.0,0.0,0.0,0.0,12.5
43,True,98.0,0.0,25.0,0.0,25.0,18.8
44,True,98.1,0.0,50.0,0.0,50.0,6.2
45,True,98.1,0.0,25.0,0.0,25.0,12.5
46,True,98.1,0.0,25.0,0.0,25.0,25.0
47,True,98.1,0.0,50.0,0.0,50.0,6.2
48,True,98.1,0.0,0.0,0.0,0.0,6.2
49,True,98.1,25.0,50.0,0.0,75.0,12.5
50,True,98.15,0.0,75.0,0.0,75.0,12.5
51,True,98.35,0.0,75.0,0.0,75.0,12.5
52,True,98.4,25.0,25.0,0.0,25.0,12.5
53,True,98.4,25.0,50.0,0.0,50.0,6.7
54,True,98.4,0.0,25.0,0.0,25.0,18.8
55,True,98.45,0.0,25.0,0.0,25.0,20.0
56,True,98.45,0.0,50.0,0.0,50.0,12.5
57,True,98.5,0.0,0.0,0.0,0.0,12.5
58,True,98.5,25.0,50.0,25.0,75.0,6.2
59,True,98.5,0.0,25.0,0.0,25.0,12.5
