n_clients,Method,Avg (ms),Std (ms),Overhead (×),Complexity
20,FedAvg,0.04,0.0,1.0,O(nd)
20,Multi-Krum,0.27,0.01,7.19,O(n²d)
20,TrimmedMean,0.03,0.0,0.77,O(nd log n)
20,Bulyan,0.28,0.01,7.33,O(n²d)
20,RFVIR,0.23,0.01,5.94,O(nd)
20,FLAME,5.46,0.2,143.71,O(nd + n² )
20,Ours,5.74,0.13,151.16,O(nd + n·m)
50,FedAvg,0.08,0.0,1.0,O(nd)
50,Multi-Krum,0.7,0.01,9.22,O(n²d)
50,TrimmedMean,0.05,0.0,0.7,O(nd log n)
50,Bulyan,0.7,0.0,9.24,O(n²d)
50,RFVIR,0.38,0.01,5.07,O(nd)
50,FLAME,6.61,0.09,87.23,O(nd + n² )
50,Ours,13.49,0.43,178.15,O(nd + n·m)
100,FedAvg,0.13,0.0,1.0,O(nd)
100,Multi-Krum,1.61,0.05,12.43,O(n²d)
100,TrimmedMean,0.09,0.0,0.71,O(nd log n)
100,Bulyan,1.9,0.44,14.71,O(n²d)
100,RFVIR,0.66,0.08,5.13,O(nd)
100,FLAME,8.8,0.57,68.12,O(nd + n² )
100,Ours,26.55,1.04,205.56,O(nd + n·m)
200,FedAvg,0.26,0.0,1.0,O(nd)
200,Multi-Krum,4.23,0.16,16.35,O(n²d)
200,TrimmedMean,0.17,0.0,0.64,O(nd log n)
200,Bulyan,4.25,0.35,16.43,O(n²d)
200,RFVIR,1.19,0.01,4.61,O(nd)
200,FLAME,10.55,0.19,40.78,O(nd + n² )
200,Ours,58.26,5.39,225.25,O(nd + n·m)
