dataset,attack,round,client_id,is_byzantine,kappa,semantic_shift,p_fraud_client,p_fraud_global,gradient_dist,flagged_kappa,flagged_gradient,z_score
yelp,grad-p,0,30,False,0.1308,0.174,0.502,0.676,7.0793,False,False,0.4583
yelp,grad-p,0,0,False,0.0,0.676,0.0,0.676,6.3118,False,False,0.4593
yelp,grad-p,0,22,False,0.0,0.676,0.0,0.676,4.9765,False,False,0.4609
yelp,grad-p,0,31,False,0.0,0.676,0.0,0.676,6.87,False,False,0.4587
yelp,grad-p,0,18,False,-0.0024,0.252,0.424,0.676,7.8613,False,False,0.4583
yelp,grad-p,0,28,False,0.0,0.676,0.0,0.676,5.8888,False,False,0.4591
yelp,grad-p,0,10,False,0.0533,0.25,0.426,0.676,7.989,False,False,0.4581
yelp,grad-p,0,70,False,0.0,0.676,0.0,0.676,6.9126,False,False,0.4587
yelp,grad-p,0,4,False,0.0,0.676,0.0,0.676,12.7271,False,False,0.4556
yelp,grad-p,0,12,False,0.033,0.248,0.428,0.676,6.961,False,False,0.4602
yelp,grad-p,0,49,False,0.1086,0.196,0.48,0.676,7.7149,False,False,0.4585
yelp,grad-p,0,33,False,-0.0396,0.592,0.084,0.676,5.0705,True,False,0.4596
yelp,grad-p,0,67,False,0.0,0.676,0.0,0.676,7.8202,False,False,0.4584
yelp,grad-p,0,35,False,0.0492,0.626,0.05,0.676,8.1047,False,False,0.4579
yelp,grad-p,0,68,False,0.0586,0.186,0.49,0.676,6.1393,False,False,0.4611
yelp,grad-p,0,45,False,-0.0618,0.292,0.968,0.676,8.6625,True,False,0.4627
yelp,grad-p,0,81,True,0.0091,0.556,0.12,0.676,1415.4886,False,False,0.4213
yelp,grad-p,0,84,True,0.0,0.324,1.0,0.676,5322.2009,False,True,2.8672
yelp,grad-p,0,85,True,-0.0177,0.57,0.106,0.676,3987.6764,True,True,2.0317
yelp,grad-p,0,83,True,0.0,0.676,0.0,0.676,3977.3423,False,True,2.0253
yelp,grad-p,1,23,False,0.0,0.524,1.0,0.476,8.6808,False,False,0.4699
yelp,grad-p,1,39,False,0.3151,0.01,0.486,0.476,5.5153,False,False,0.4677
yelp,grad-p,1,69,False,0.5218,0.112,0.364,0.476,8.6645,False,False,0.466
yelp,grad-p,1,74,False,0.4036,0.122,0.354,0.476,7.2329,False,False,0.4665
yelp,grad-p,1,0,False,0.0,0.476,0.0,0.476,7.0248,False,False,0.4672
yelp,grad-p,1,1,False,0.3192,0.012,0.488,0.476,7.0666,False,False,0.4673
yelp,grad-p,1,38,False,0.2666,0.052,0.424,0.476,6.3758,False,False,0.467
yelp,grad-p,1,45,False,-0.038,0.486,0.962,0.476,8.3419,False,False,0.4697
yelp,grad-p,1,72,False,0.3053,0.316,0.16,0.476,9.2911,False,False,0.4658
yelp,grad-p,1,63,False,0.0,0.476,0.0,0.476,7.4087,False,False,0.4666
yelp,grad-p,1,8,False,0.0,0.476,0.0,0.476,7.5486,False,False,0.4668
yelp,grad-p,1,13,False,0.3795,0.052,0.424,0.476,5.6667,False,False,0.4676
yelp,grad-p,1,15,False,0.0,0.476,0.0,0.476,4.413,False,False,0.4677
yelp,grad-p,1,41,False,0.0,0.476,0.0,0.476,5.3945,False,False,0.4672
yelp,grad-p,1,54,False,0.0,0.476,0.0,0.476,7.499,False,False,0.4668
yelp,grad-p,1,5,False,0.2462,0.054,0.53,0.476,6.4779,False,False,0.4678
yelp,grad-p,1,94,True,-0.0297,0.25,0.726,0.476,3658.0941,False,False,1.2404
yelp,grad-p,1,82,True,-0.1638,0.42,0.896,0.476,4606.2774,True,False,1.6841
yelp,grad-p,1,95,True,0.0759,0.474,0.95,0.476,7880.1716,False,True,3.216
yelp,grad-p,1,96,True,0.02,0.492,0.968,0.476,3864.6959,False,False,1.337
yelp,grad-p,2,49,False,0.029,0.226,0.484,0.258,7.6639,False,False,0.4581
yelp,grad-p,2,43,False,0.0069,0.116,0.374,0.258,6.6477,False,False,0.4581
yelp,grad-p,2,38,False,0.0437,0.138,0.396,0.258,6.3256,False,False,0.4588
yelp,grad-p,2,46,False,0.0,0.258,0.0,0.258,7.6221,False,False,0.4584
yelp,grad-p,2,79,False,0.0101,0.336,0.594,0.258,7.6854,False,False,0.4604
yelp,grad-p,2,24,False,0.0,0.258,0.0,0.258,9.1038,False,False,0.4574
yelp,grad-p,2,19,False,-0.0122,0.054,0.312,0.258,5.7538,False,False,0.4613
yelp,grad-p,2,62,False,0.431,0.152,0.106,0.258,5.6681,False,False,0.4587
yelp,grad-p,2,56,False,0.1036,0.154,0.412,0.258,6.4461,False,False,0.4592
yelp,grad-p,2,73,False,0.1394,0.114,0.144,0.258,8.4382,False,False,0.4574
yelp,grad-p,2,32,False,0.2758,0.152,0.106,0.258,10.3596,False,False,0.4568
yelp,grad-p,2,77,False,-0.044,0.428,0.686,0.258,8.4198,True,False,0.4607
yelp,grad-p,2,39,False,0.0781,0.204,0.462,0.258,5.8838,False,False,0.4596
yelp,grad-p,2,7,False,0.0,0.258,0.0,0.258,13.865,False,False,0.4551
yelp,grad-p,2,63,False,0.0598,0.022,0.28,0.258,8.6137,False,False,0.4576
yelp,grad-p,2,42,False,0.0376,0.218,0.476,0.258,7.6046,False,False,0.4583
yelp,grad-p,2,91,True,-0.002,0.706,0.964,0.258,7278.0812,False,True,3.3542
yelp,grad-p,2,80,True,-0.0824,0.4,0.658,0.258,3500.8712,True,False,1.373
yelp,grad-p,2,87,True,0.0141,0.722,0.98,0.258,2947.8486,False,False,1.083
yelp,grad-p,2,88,True,0.1109,0.238,0.02,0.258,3791.961,False,False,1.5257
