attack,byz,method,accuracy
lfp,0.1,Ours,92.93
lfp,0.1,FedAvg,95.77
lfp,0.1,Multi-Krum,96.04
lfp,0.2,Ours,96.71
lfp,0.2,FedAvg,95.64
lfp,0.2,Multi-Krum,96.3
lfp,0.3,Ours,96.27
lfp,0.3,FedAvg,94.77
lfp,0.3,Multi-Krum,95.55
lfp,0.4,Ours,93.82
lfp,0.4,FedAvg,93.06
lfp,0.4,Multi-Krum,95.6
spf,0.1,Ours,96.49
spf,0.1,FedAvg,95.5
spf,0.1,Multi-Krum,96.35
spf,0.2,Ours,96.16
spf,0.2,FedAvg,95.88
spf,0.2,Multi-Krum,96.34
spf,0.3,Ours,96.31
spf,0.3,FedAvg,94.59
spf,0.3,Multi-Krum,95.37
spf,0.4,Ours,95.19
spf,0.4,FedAvg,95.91
spf,0.4,Multi-Krum,96.07
ooa,0.1,Ours,88.93
ooa,0.1,FedAvg,94.81
ooa,0.1,Multi-Krum,95.96
ooa,0.2,Ours,96.38
ooa,0.2,FedAvg,96.15
ooa,0.2,Multi-Krum,96.62
ooa,0.3,Ours,96.55
ooa,0.3,FedAvg,96.49
ooa,0.3,Multi-Krum,95.69
ooa,0.4,Ours,95.24
ooa,0.4,FedAvg,96.12
ooa,0.4,Multi-Krum,96.23
grad-p,0.1,Ours,96.53
grad-p,0.1,FedAvg,93.11
grad-p,0.1,Multi-Krum,95.87
grad-p,0.2,Ours,93.18
grad-p,0.2,FedAvg,92.63
grad-p,0.2,Multi-Krum,96.53
grad-p,0.3,Ours,91.82
grad-p,0.3,FedAvg,92.9
grad-p,0.3,Multi-Krum,96.43
grad-p,0.4,Ours,92.23
grad-p,0.4,FedAvg,90.14
grad-p,0.4,Multi-Krum,96.43
