method,round,acc,f1
FedAvg,0,41.75,5.82
FedAvg,1,63.35,8.03
FedAvg,2,80.2,12.39
FedAvg,3,92.85,25.91
FedAvg,4,98.65,59.7
FedAvg,5,98.75,59.02
FedAvg,6,98.45,41.51
FedAvg,7,98.25,28.57
FedAvg,8,98.2,25.0
FedAvg,9,98.1,17.39
FedAvg,10,98.0,9.09
FedAvg,11,98.0,9.09
FedAvg,12,97.9,0.0
FedAvg,13,97.9,0.0
FedAvg,14,97.9,0.0
FedAvg,15,97.9,0.0
FedAvg,16,97.9,0.0
FedAvg,17,97.9,0.0
FedAvg,18,97.9,0.0
FedAvg,19,97.9,0.0
FedAvg,20,97.9,0.0
FedAvg,21,97.9,0.0
FedAvg,22,98.0,9.09
FedAvg,23,98.0,9.09
FedAvg,24,98.0,9.09
FedAvg,25,97.9,0.0
FedAvg,26,98.0,9.09
FedAvg,27,98.0,9.09
FedAvg,28,98.05,13.33
FedAvg,29,98.1,17.39
FedAvg,30,98.15,21.28
FedAvg,31,98.1,17.39
FedAvg,32,98.1,17.39
FedAvg,33,98.15,21.28
FedAvg,34,98.2,25.0
FedAvg,35,98.2,25.0
FedAvg,36,98.2,25.0
FedAvg,37,98.2,25.0
FedAvg,38,98.25,28.57
FedAvg,39,98.25,28.57
FedAvg,40,98.3,32.0
FedAvg,41,98.45,41.51
FedAvg,42,98.45,41.51
FedAvg,43,98.45,41.51
FedAvg,44,98.4,38.46
FedAvg,45,98.45,41.51
FedAvg,46,98.45,41.51
FedAvg,47,98.45,41.51
FedAvg,48,98.5,44.44
FedAvg,49,98.45,41.51
Multi-Krum,0,41.2,6.07
Multi-Krum,1,65.6,8.02
Multi-Krum,2,78.2,11.38
Multi-Krum,3,90.7,21.19
Multi-Krum,4,97.45,48.48
Multi-Krum,5,98.75,60.32
Multi-Krum,6,98.35,35.29
Multi-Krum,7,98.1,17.39
Multi-Krum,8,98.1,17.39
Multi-Krum,9,97.95,4.65
Multi-Krum,10,97.9,0.0
Multi-Krum,11,97.9,0.0
Multi-Krum,12,97.9,0.0
Multi-Krum,13,97.9,0.0
Multi-Krum,14,97.9,0.0
Multi-Krum,15,97.9,0.0
Multi-Krum,16,97.9,0.0
Multi-Krum,17,97.9,0.0
Multi-Krum,18,97.9,0.0
Multi-Krum,19,97.9,0.0
Multi-Krum,20,97.9,0.0
Multi-Krum,21,97.9,0.0
Multi-Krum,22,97.9,0.0
Multi-Krum,23,97.9,0.0
Multi-Krum,24,97.9,0.0
Multi-Krum,25,97.9,0.0
Multi-Krum,26,97.9,0.0
Multi-Krum,27,97.9,0.0
Multi-Krum,28,97.9,0.0
Multi-Krum,29,97.9,0.0
Multi-Krum,30,97.9,0.0
Multi-Krum,31,97.9,0.0
Multi-Krum,32,97.9,0.0
Multi-Krum,33,97.9,0.0
Multi-Krum,34,98.0,9.09
Multi-Krum,35,98.15,21.28
Multi-Krum,36,98.1,17.39
Multi-Krum,37,98.15,21.28
Multi-Krum,38,98.15,21.28
Multi-Krum,39,98.0,9.09
Multi-Krum,40,98.15,21.28
Multi-Krum,41,98.2,25.0
Multi-Krum,42,98.2,25.0
Multi-Krum,43,98.15,21.28
Multi-Krum,44,98.15,21.28
Multi-Krum,45,98.15,21.28
Multi-Krum,46,98.15,21.28
Multi-Krum,47,98.15,21.28
Multi-Krum,48,98.15,21.28
Multi-Krum,49,98.15,21.28
TrimmedMean,0,43.15,5.96
TrimmedMean,1,65.4,8.22
TrimmedMean,2,81.4,12.26
TrimmedMean,3,93.6,28.09
TrimmedMean,4,98.7,59.38
TrimmedMean,5,98.75,59.02
TrimmedMean,6,98.45,41.51
TrimmedMean,7,98.25,28.57
TrimmedMean,8,98.2,25.0
TrimmedMean,9,98.1,17.39
TrimmedMean,10,98.0,9.09
TrimmedMean,11,98.0,9.09
TrimmedMean,12,97.9,0.0
TrimmedMean,13,97.9,0.0
TrimmedMean,14,97.9,0.0
TrimmedMean,15,97.9,0.0
TrimmedMean,16,97.9,0.0
TrimmedMean,17,97.9,0.0
TrimmedMean,18,97.9,0.0
TrimmedMean,19,97.9,0.0
TrimmedMean,20,97.9,0.0
TrimmedMean,21,97.9,0.0
TrimmedMean,22,98.0,9.09
TrimmedMean,23,98.0,9.09
TrimmedMean,24,98.0,9.09
TrimmedMean,25,97.9,0.0
TrimmedMean,26,98.0,9.09
TrimmedMean,27,98.0,9.09
TrimmedMean,28,98.05,13.33
TrimmedMean,29,98.1,17.39
TrimmedMean,30,98.15,21.28
TrimmedMean,31,98.15,21.28
TrimmedMean,32,98.15,21.28
TrimmedMean,33,98.2,25.0
TrimmedMean,34,98.2,25.0
TrimmedMean,35,98.2,25.0
TrimmedMean,36,98.2,25.0
TrimmedMean,37,98.25,28.57
TrimmedMean,38,98.25,28.57
TrimmedMean,39,98.3,32.0
TrimmedMean,40,98.4,38.46
TrimmedMean,41,98.45,41.51
TrimmedMean,42,98.45,41.51
TrimmedMean,43,98.45,41.51
TrimmedMean,44,98.45,41.51
TrimmedMean,45,98.5,44.44
TrimmedMean,46,98.5,44.44
TrimmedMean,47,98.6,50.0
TrimmedMean,48,98.6,50.0
TrimmedMean,49,98.6,50.0
Bulyan,0,43.55,5.84
Bulyan,1,63.35,6.62
Bulyan,2,73.2,9.15
Bulyan,3,89.65,14.11
Bulyan,4,96.55,33.01
Bulyan,5,98.6,53.33
Bulyan,6,98.2,25.0
Bulyan,7,98.0,9.09
Bulyan,8,98.0,9.09
Bulyan,9,97.9,0.0
Bulyan,10,97.9,0.0
Bulyan,11,97.9,0.0
Bulyan,12,97.9,0.0
Bulyan,13,97.9,0.0
Bulyan,14,97.9,0.0
Bulyan,15,97.9,0.0
Bulyan,16,97.9,0.0
Bulyan,17,97.9,0.0
Bulyan,18,97.9,0.0
Bulyan,19,97.9,0.0
Bulyan,20,97.9,0.0
Bulyan,21,97.9,0.0
Bulyan,22,97.9,0.0
Bulyan,23,97.9,0.0
Bulyan,24,97.9,0.0
Bulyan,25,97.9,0.0
Bulyan,26,97.9,0.0
Bulyan,27,97.9,0.0
Bulyan,28,97.9,0.0
Bulyan,29,97.9,0.0
Bulyan,30,97.9,0.0
Bulyan,31,97.9,0.0
Bulyan,32,97.9,0.0
Bulyan,33,97.9,0.0
Bulyan,34,98.0,9.09
Bulyan,35,98.0,9.09
Bulyan,36,97.9,0.0
Bulyan,37,98.0,9.09
Bulyan,38,98.1,17.39
Bulyan,39,97.95,4.65
Bulyan,40,98.1,17.39
Bulyan,41,98.1,17.39
Bulyan,42,98.2,25.0
Bulyan,43,98.1,17.39
Bulyan,44,98.15,21.28
Bulyan,45,98.2,25.0
Bulyan,46,98.35,35.29
Bulyan,47,98.35,35.29
Bulyan,48,98.35,35.29
Bulyan,49,98.35,35.29
RFVIR,0,40.9,6.04
RFVIR,1,61.85,7.74
RFVIR,2,78.4,11.48
RFVIR,3,89.75,20.23
RFVIR,4,97.85,51.69
RFVIR,5,98.8,63.64
RFVIR,6,98.6,50.0
RFVIR,7,98.2,25.0
RFVIR,8,98.1,17.39
RFVIR,9,98.0,9.09
RFVIR,10,97.9,0.0
RFVIR,11,97.9,0.0
RFVIR,12,97.9,0.0
RFVIR,13,97.9,0.0
RFVIR,14,97.9,0.0
RFVIR,15,97.9,0.0
RFVIR,16,97.9,0.0
RFVIR,17,97.9,0.0
RFVIR,18,97.9,0.0
RFVIR,19,97.9,0.0
RFVIR,20,97.9,0.0
RFVIR,21,97.9,0.0
RFVIR,22,97.9,0.0
RFVIR,23,97.9,0.0
RFVIR,24,97.9,0.0
RFVIR,25,97.9,0.0
RFVIR,26,97.9,0.0
RFVIR,27,97.9,0.0
RFVIR,28,97.9,0.0
RFVIR,29,97.9,0.0
RFVIR,30,97.9,0.0
RFVIR,31,97.9,0.0
RFVIR,32,97.9,0.0
RFVIR,33,97.9,0.0
RFVIR,34,97.9,0.0
RFVIR,35,97.9,0.0
RFVIR,36,97.9,0.0
RFVIR,37,97.9,0.0
RFVIR,38,97.9,0.0
RFVIR,39,97.9,0.0
RFVIR,40,97.9,0.0
RFVIR,41,97.9,0.0
RFVIR,42,97.9,0.0
RFVIR,43,97.9,0.0
RFVIR,44,97.9,0.0
RFVIR,45,97.9,0.0
RFVIR,46,97.9,0.0
RFVIR,47,97.9,0.0
RFVIR,48,97.9,0.0
RFVIR,49,97.9,0.0
FLAME,0,43.8,6.02
FLAME,1,67.0,8.33
FLAME,2,83.15,13.37
FLAME,3,95.0,29.58
FLAME,4,98.5,55.88
FLAME,5,98.8,63.64
FLAME,6,98.9,66.67
FLAME,7,98.7,55.17
FLAME,8,98.7,55.17
FLAME,9,98.85,62.3
FLAME,10,98.4,38.46
FLAME,11,98.3,32.0
FLAME,12,98.3,32.0
FLAME,13,98.3,32.0
FLAME,14,98.3,32.0
FLAME,15,98.35,35.29
FLAME,16,98.3,32.0
FLAME,17,98.4,38.46
FLAME,18,98.5,44.44
FLAME,19,98.6,50.0
FLAME,20,98.75,59.02
FLAME,21,98.65,54.24
FLAME,22,98.7,56.67
FLAME,23,98.8,61.29
FLAME,24,98.85,63.49
FLAME,25,98.85,63.49
FLAME,26,98.8,63.64
FLAME,27,98.65,61.97
FLAME,28,98.8,64.71
FLAME,29,98.65,61.97
FLAME,30,98.65,61.97
FLAME,31,98.7,62.86
FLAME,32,98.65,61.97
FLAME,33,98.65,61.97
FLAME,34,98.65,61.97
FLAME,35,98.7,63.89
FLAME,36,98.7,63.89
FLAME,37,98.7,63.89
FLAME,38,98.7,63.89
FLAME,39,98.7,63.89
FLAME,40,98.7,63.89
FLAME,41,98.75,65.75
FLAME,42,98.75,65.75
FLAME,43,98.65,64.0
FLAME,44,98.65,64.0
FLAME,45,98.65,64.0
FLAME,46,98.55,62.34
FLAME,47,98.55,62.34
FLAME,48,98.55,62.34
