attack,measure,AUC_mean,AUC_std
lfp,kappa,0.594,0.064
lfp,KL,0.008,0.013
lfp,KL_sym,0.001,0.001
lfp,Renyi_0.5,0.001,0.001
lfp,Renyi_2,0.022,0.023
lfp,Renyi_inf,0.09,0.06
spf,kappa,0.493,0.07
spf,KL,0.441,0.043
spf,KL_sym,0.344,0.049
spf,Renyi_0.5,0.425,0.049
spf,Renyi_2,0.468,0.039
spf,Renyi_inf,0.487,0.034
ooa,kappa,0.524,0.073
ooa,KL,0.503,0.03
ooa,KL_sym,0.486,0.065
ooa,Renyi_0.5,0.494,0.039
ooa,Renyi_2,0.508,0.025
ooa,Renyi_inf,0.511,0.027
grad-p,kappa,0.742,0.122
grad-p,KL,0.979,0.012
grad-p,KL_sym,0.994,0.007
grad-p,Renyi_0.5,0.985,0.01
grad-p,Renyi_2,0.975,0.014
grad-p,Renyi_inf,0.97,0.016
